# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-31-25 UTC;-1;1.50;0.00;90.73;1.75;0.00;6.02
salmon;1;2014-05-26 20-31-26 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-27 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-28 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-29 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-30 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-31 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-32 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-33 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-34 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-35 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-36 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-37 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-38 UTC;-1;8.23;0.00;91.27;0.25;0.00;0.25
salmon;1;2014-05-26 20-31-39 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-40 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-41 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-42 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-43 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-44 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-31-50 UTC;-1;7.52;0.00;87.22;0.00;0.00;5.26
salmon;1;2014-05-26 20-31-51 UTC;-1;6.80;0.00;93.20;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-52 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-53 UTC;-1;0.50;0.00;99.25;0.00;0.00;0.25
salmon;1;2014-05-26 20-31-54 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-55 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-56 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-57 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;2;2014-05-26 20-32-00 UTC;-1;0.62;0.00;99.38;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-01 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-02 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-03 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-04 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-05 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-06 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-07 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-08 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-32-09 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
