# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-31-25 UTC;336796;3712812;91.68;229300;2035816;3760380;45.63;1913152;1432164
salmon;1;2014-05-26 20-31-26 UTC;332704;3716904;91.78;229440;2038076;3761648;45.64;1924528;1425108
salmon;1;2014-05-26 20-31-27 UTC;323900;3725708;92.00;230064;2045268;3762956;45.66;1929384;1428832
salmon;1;2014-05-26 20-31-28 UTC;319560;3730048;92.11;230556;2049144;3762956;45.66;1932876;1429796
salmon;1;2014-05-26 20-31-29 UTC;323280;3726328;92.02;230580;2044060;3763776;45.67;1935212;1423184
salmon;1;2014-05-26 20-31-30 UTC;324396;3725212;91.99;230620;2041900;3764440;45.67;1936284;1420976
salmon;1;2014-05-26 20-31-31 UTC;324148;3725460;92.00;230788;2042164;3764572;45.68;1936344;1421436
salmon;1;2014-05-26 20-31-32 UTC;324024;3725584;92.00;230816;2042192;3764572;45.68;1936496;1421444
salmon;1;2014-05-26 20-31-33 UTC;317452;3732156;92.16;230892;2049176;3764704;45.68;1936644;1428112
salmon;1;2014-05-26 20-31-34 UTC;321420;3728188;92.06;231064;2044300;3764836;45.68;1937044;1423620
salmon;1;2014-05-26 20-31-35 UTC;322784;3726824;92.03;231156;2042676;3765100;45.68;1936916;1422084
salmon;1;2014-05-26 20-31-36 UTC;320304;3729304;92.09;231288;2044948;3765232;45.68;1937148;1424416
salmon;1;2014-05-26 20-31-37 UTC;313956;3735652;92.25;231424;2046020;3771072;45.76;1942052;1425392
salmon;1;2014-05-26 20-31-38 UTC;312468;3737140;92.28;231432;2046648;3771360;45.76;1942560;1425968
salmon;1;2014-05-26 20-31-39 UTC;314452;3735156;92.24;231432;2044176;3771360;45.76;1942472;1423960
salmon;1;2014-05-26 20-31-40 UTC;314064;3735544;92.24;231440;2044560;3771360;45.76;1942668;1424120
salmon;1;2014-05-26 20-31-41 UTC;307988;3741620;92.39;231448;2051004;3771360;45.76;1942620;1430576
salmon;1;2014-05-26 20-31-42 UTC;311848;3737760;92.30;231452;2047236;3771360;45.76;1942708;1426772
salmon;1;2014-05-26 20-31-43 UTC;314328;3735280;92.24;231460;2044376;3771360;45.76;1942556;1424176
salmon;1;2014-05-26 20-31-44 UTC;311072;3738536;92.32;231480;2048256;3773048;45.78;1942992;1427428
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-31-50 UTC;307136;3742472;92.42;231528;2047440;3771648;45.76;1929476;1440160
salmon;1;2014-05-26 20-31-51 UTC;306656;3742952;92.43;231532;2047484;3771520;45.76;1929596;1440076
salmon;1;2014-05-26 20-31-52 UTC;306656;3742952;92.43;231532;2047568;3771520;45.76;1929612;1440224
salmon;1;2014-05-26 20-31-53 UTC;306656;3742952;92.43;231532;2047568;3771520;45.76;1929612;1440300
salmon;1;2014-05-26 20-31-54 UTC;306408;3743200;92.43;231532;2047844;3771520;45.76;1929668;1440512
salmon;1;2014-05-26 20-31-55 UTC;306284;3743324;92.44;231532;2047792;3771520;45.76;1929704;1440516
salmon;1;2014-05-26 20-31-56 UTC;306408;3743200;92.43;231532;2047904;3771520;45.76;1929704;1440592
salmon;1;2014-05-26 20-31-57 UTC;306408;3743200;92.43;231536;2047788;3771520;45.76;1929704;1440368
salmon;2;2014-05-26 20-32-00 UTC;306284;3743324;92.44;231548;2047960;3771520;45.76;1929876;1440420
salmon;1;2014-05-26 20-32-01 UTC;306128;3743480;92.44;231552;2047712;3771520;45.76;1929888;1440384
salmon;1;2014-05-26 20-32-02 UTC;306128;3743480;92.44;231552;2047920;3771520;45.76;1929888;1440400
salmon;1;2014-05-26 20-32-03 UTC;306128;3743480;92.44;231552;2047936;3771520;45.76;1929972;1440300
salmon;1;2014-05-26 20-32-04 UTC;305864;3743744;92.45;231552;2048108;3771520;45.76;1930120;1440216
salmon;1;2014-05-26 20-32-05 UTC;305740;3743868;92.45;231552;2048132;3771520;45.76;1931184;1439360
salmon;1;2014-05-26 20-32-06 UTC;305508;3744100;92.46;231552;2048160;3771520;45.76;1938804;1431828
salmon;1;2014-05-26 20-32-07 UTC;305616;3743992;92.45;231556;2047944;3771520;45.76;1944648;1425784
salmon;1;2014-05-26 20-32-08 UTC;305492;3744116;92.46;231556;2048228;3771520;45.76;1944868;1425700
salmon;1;2014-05-26 20-32-09 UTC;305492;3744116;92.46;231556;2048228;3771520;45.76;1945040;1425604
