# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-43-29 UTC;-1;6.05;0.00;87.91;0.25;0.00;5.79
salmon;1;2014-05-26 03-43-30 UTC;-1;13.97;0.00;86.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-31 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-32 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-33 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-34 UTC;-1;7.02;0.00;92.98;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-35 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-36 UTC;-1;11.78;0.00;88.22;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-37 UTC;-1;17.41;0.00;82.59;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-38 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-39 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-40 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-41 UTC;-1;7.52;0.00;92.48;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-42 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-43 UTC;-1;6.23;0.00;93.77;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-44 UTC;-1;5.01;0.00;94.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-45 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-46 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-47 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-48 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-43-55 UTC;-1;1.75;0.00;93.25;0.00;0.00;5.00
salmon;1;2014-05-26 03-43-56 UTC;-1;5.51;0.00;94.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-57 UTC;-1;1.49;0.00;98.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-58 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-43-59 UTC;-1;9.77;0.00;90.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-00 UTC;-1;8.73;0.00;91.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-01 UTC;-1;7.52;0.00;92.48;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-02 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-03 UTC;-1;13.25;0.00;86.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-04 UTC;-1;9.48;0.00;90.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-05 UTC;-1;13.50;0.00;86.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-06 UTC;-1;5.26;0.00;94.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-07 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-08 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-09 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-10 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-11 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-12 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-13 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-44-14 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
