# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-43-29 UTC;881180;3168428;78.24;324360;1577336;3691040;44.78;2017324;915540
salmon;1;2014-05-26 03-43-30 UTC;878220;3171388;78.31;324368;1573688;3739684;45.37;2024772;911688
salmon;1;2014-05-26 03-43-31 UTC;875388;3174220;78.38;324372;1572216;3743224;45.42;2028176;910348
salmon;1;2014-05-26 03-43-32 UTC;872876;3176732;78.45;324372;1572208;3753452;45.54;2030212;910420
salmon;1;2014-05-26 03-43-33 UTC;868804;3180804;78.55;324372;1574924;3755132;45.56;2031876;912996
salmon;1;2014-05-26 03-43-34 UTC;873756;3175852;78.42;324376;1567428;3756328;45.58;2033192;905864
salmon;1;2014-05-26 03-43-35 UTC;868980;3180628;78.54;324388;1571908;3757664;45.59;2034384;910196
salmon;1;2014-05-26 03-43-36 UTC;871312;3178296;78.48;324388;1568228;3758996;45.61;2035748;906544
salmon;1;2014-05-26 03-43-37 UTC;864972;3184636;78.64;324388;1570300;3763296;45.66;2039884;908328
salmon;1;2014-05-26 03-43-38 UTC;864916;3184692;78.64;324388;1570012;3763296;45.66;2039904;908204
salmon;1;2014-05-26 03-43-39 UTC;860548;3189060;78.75;324388;1575172;3763296;45.66;2039940;913192
salmon;1;2014-05-26 03-43-40 UTC;866352;3183256;78.61;324388;1567760;3771492;45.76;2039948;905932
salmon;1;2014-05-26 03-43-41 UTC;862800;3186808;78.69;324388;1570944;3772180;45.77;2040604;909028
salmon;1;2014-05-26 03-43-42 UTC;859360;3190248;78.78;324388;1570068;3775620;45.81;2045528;908288
salmon;1;2014-05-26 03-43-43 UTC;849308;3200300;79.03;324400;1573508;3777252;45.83;2051876;911268
salmon;1;2014-05-26 03-43-44 UTC;849056;3200552;79.03;324424;1570560;3780952;45.87;2055492;908236
salmon;1;2014-05-26 03-43-45 UTC;853008;3196600;78.94;324424;1570320;3775660;45.81;2051244;907476
salmon;1;2014-05-26 03-43-46 UTC;853548;3196060;78.92;324432;1570780;3775800;45.81;2051488;907732
salmon;1;2014-05-26 03-43-47 UTC;854432;3195176;78.90;324432;1570672;3775932;45.81;2051648;907508
salmon;1;2014-05-26 03-43-48 UTC;850228;3199380;79.00;324432;1568964;3782080;45.89;2056248;905896
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-43-55 UTC;886340;3163268;78.11;324444;1568212;3711064;45.03;1999248;923316
salmon;1;2014-05-26 03-43-56 UTC;886308;3163300;78.11;324448;1568568;3711348;45.03;1999840;923648
salmon;1;2014-05-26 03-43-57 UTC;874312;3175296;78.41;324448;1580000;3711348;45.03;2016924;917864
salmon;1;2014-05-26 03-43-58 UTC;881364;3168244;78.24;324448;1572096;3691200;44.79;2019604;908660
salmon;1;2014-05-26 03-43-59 UTC;876232;3173376;78.36;324452;1569088;3740828;45.39;2027352;905540
salmon;1;2014-05-26 03-44-00 UTC;859708;3189900;78.77;324452;1581756;3744260;45.43;2031060;918176
salmon;1;2014-05-26 03-44-01 UTC;870976;3178632;78.49;324452;1569616;3753596;45.54;2032268;906068
salmon;1;2014-05-26 03-44-02 UTC;869340;3180268;78.53;324452;1569340;3755212;45.56;2033660;906036
salmon;1;2014-05-26 03-44-03 UTC;857404;3192204;78.83;324452;1579116;3757228;45.59;2035756;915196
salmon;1;2014-05-26 03-44-04 UTC;857132;3192476;78.83;324452;1575988;3759556;45.62;2038052;912236
salmon;1;2014-05-26 03-44-05 UTC;860484;3189124;78.75;324456;1569276;3762644;45.65;2041348;905980
salmon;1;2014-05-26 03-44-06 UTC;857348;3192260;78.83;324456;1571928;3763404;45.66;2041948;908360
salmon;1;2014-05-26 03-44-07 UTC;849288;3200320;79.03;324456;1579968;3772220;45.77;2042536;916356
salmon;1;2014-05-26 03-44-08 UTC;851024;3198584;78.99;324456;1571256;3775824;45.81;2050016;907812
salmon;1;2014-05-26 03-44-09 UTC;847676;3201932;79.07;324456;1571640;3775824;45.81;2052348;907912
salmon;1;2014-05-26 03-44-10 UTC;850280;3199328;79.00;324460;1569364;3775988;45.81;2052332;905672
salmon;1;2014-05-26 03-44-11 UTC;846932;3202676;79.09;324468;1572924;3775988;45.81;2052584;909008
salmon;1;2014-05-26 03-44-12 UTC;842584;3207024;79.19;324468;1571828;3781296;45.88;2057416;908028
salmon;1;2014-05-26 03-44-13 UTC;836128;3213480;79.35;324468;1578836;3781296;45.88;2057352;914760
salmon;1;2014-05-26 03-44-14 UTC;846544;3203064;79.10;324468;1573504;3777220;45.83;2052740;909548
