# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-40-29 UTC;-1;5.29;0.00;89.42;0.00;0.00;5.29
salmon;1;2014-05-26 03-40-30 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-31 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-32 UTC;-1;15.38;0.00;84.62;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-33 UTC;-1;18.55;0.00;81.45;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-34 UTC;-1;12.75;0.00;87.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-35 UTC;-1;14.21;0.00;85.79;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-36 UTC;-1;14.32;0.00;85.68;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-37 UTC;-1;5.49;0.00;94.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-38 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-39 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-40 UTC;-1;3.48;0.00;96.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-41 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-42 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-43 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-44 UTC;-1;9.25;0.00;90.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-45 UTC;-1;11.78;0.00;88.22;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-46 UTC;-1;8.50;0.00;91.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-47 UTC;-1;5.50;0.00;94.25;0.00;0.00;0.25
salmon;1;2014-05-26 03-40-48 UTC;-1;7.75;0.00;92.25;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-40-54 UTC;-1;4.04;0.00;90.15;0.00;0.00;5.81
salmon;1;2014-05-26 03-40-55 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-56 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-57 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-58 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-40-59 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-00 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-01 UTC;-1;13.00;0.00;87.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-02 UTC;-1;8.52;0.00;91.48;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-03 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-04 UTC;-1;9.25;0.00;90.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-05 UTC;-1;6.98;0.00;93.02;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-06 UTC;-1;8.04;0.00;91.96;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-07 UTC;-1;7.75;0.00;92.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-08 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-09 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-10 UTC;-1;8.50;0.00;91.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-11 UTC;-1;15.38;0.00;84.37;0.00;0.00;0.25
salmon;1;2014-05-26 03-41-12 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-41-13 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
