# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-40-29 UTC;907632;3141976;77.59;323820;1554124;3712104;45.04;1977860;929376
salmon;1;2014-05-26 03-40-30 UTC;918740;3130868;77.31;323820;1542468;3712388;45.04;1979164;916956
salmon;1;2014-05-26 03-40-31 UTC;916700;3132908;77.36;323820;1542444;3692912;44.81;1981620;916528
salmon;1;2014-05-26 03-40-32 UTC;910340;3139268;77.52;323820;1547696;3703172;44.93;1983528;921380
salmon;1;2014-05-26 03-40-33 UTC;908508;3141100;77.57;323824;1545796;3705640;44.96;1986252;919588
salmon;1;2014-05-26 03-40-34 UTC;900672;3148936;77.76;323824;1547320;3901008;47.33;1991744;921204
salmon;1;2014-05-26 03-40-35 UTC;899296;3150312;77.79;323824;1549164;3802552;46.14;1992308;923356
salmon;1;2014-05-26 03-40-36 UTC;903992;3145616;77.68;323824;1543292;3803584;46.15;1995288;915136
salmon;1;2014-05-26 03-40-37 UTC;903496;3146112;77.69;323824;1543356;3803584;46.15;1995628;915228
salmon;1;2014-05-26 03-40-38 UTC;902124;3147484;77.72;323824;1545600;3803584;46.15;1995572;917404
salmon;1;2014-05-26 03-40-39 UTC;898744;3150864;77.81;323828;1547612;3803584;46.15;1995536;919560
salmon;1;2014-05-26 03-40-40 UTC;900960;3148648;77.75;323828;1545956;3803584;46.15;1995656;917896
salmon;1;2014-05-26 03-40-41 UTC;898960;3150648;77.80;323828;1547848;3803584;46.15;1995616;919708
salmon;1;2014-05-26 03-40-42 UTC;901300;3148308;77.74;323828;1545072;3803584;46.15;1995628;917216
salmon;1;2014-05-26 03-40-43 UTC;895720;3153888;77.88;323828;1544644;3842492;46.62;2001668;916484
salmon;1;2014-05-26 03-40-44 UTC;884000;3165608;78.17;323828;1548308;3859312;46.83;2009144;919604
salmon;1;2014-05-26 03-40-45 UTC;879468;3170140;78.28;323828;1547548;3864616;46.89;2014604;919108
salmon;1;2014-05-26 03-40-46 UTC;902176;3147432;77.72;323828;1543316;3812416;46.26;2000464;910948
salmon;1;2014-05-26 03-40-47 UTC;900780;3148828;77.76;323832;1545312;3812416;46.26;2000476;912952
salmon;1;2014-05-26 03-40-48 UTC;897936;3151672;77.83;323832;1547536;3814148;46.28;2000756;915048
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-40-54 UTC;912640;3136968;77.46;323844;1544056;3690472;44.78;1979916;917528
salmon;1;2014-05-26 03-40-55 UTC;909888;3139720;77.53;323856;1547356;3712140;45.04;1992824;907932
salmon;1;2014-05-26 03-40-56 UTC;912576;3137032;77.47;323856;1543688;3712404;45.04;1995340;902080
salmon;1;2014-05-26 03-40-57 UTC;911616;3137992;77.49;323860;1543580;3691608;44.79;1996544;901864
salmon;1;2014-05-26 03-40-58 UTC;908896;3140712;77.56;323860;1543900;3702804;44.93;1998912;902304
salmon;1;2014-05-26 03-40-59 UTC;908960;3140648;77.55;323860;1543640;3702804;44.93;1998888;902028
salmon;1;2014-05-26 03-41-00 UTC;908216;3141392;77.57;323860;1544240;3703428;44.93;1999696;902352
salmon;1;2014-05-26 03-41-01 UTC;907736;3141872;77.58;323860;1543912;3704380;44.95;2000520;902240
salmon;1;2014-05-26 03-41-02 UTC;903632;3145976;77.69;323864;1543868;3781900;45.89;2004300;902064
salmon;1;2014-05-26 03-41-03 UTC;893636;3155972;77.93;323864;1552488;3783372;45.90;2005920;910676
salmon;1;2014-05-26 03-41-04 UTC;894772;3154836;77.90;323864;1549096;3802164;46.13;2007764;907072
salmon;1;2014-05-26 03-41-05 UTC;893160;3156448;77.94;323868;1550724;3802736;46.14;2008244;908904
salmon;1;2014-05-26 03-41-06 UTC;896880;3152728;77.85;323872;1547020;3802964;46.14;2008532;905284
salmon;1;2014-05-26 03-41-07 UTC;895904;3153704;77.88;323876;1546788;3803208;46.15;2008956;905144
salmon;1;2014-05-26 03-41-08 UTC;890804;3158804;78.00;323876;1552156;3803208;46.15;2009012;910288
salmon;1;2014-05-26 03-41-09 UTC;891392;3158216;77.99;323876;1548160;3839196;46.58;2011708;906176
salmon;1;2014-05-26 03-41-10 UTC;885476;3164132;78.13;323876;1548860;3852724;46.75;2016072;907040
salmon;1;2014-05-26 03-41-11 UTC;870688;3178920;78.50;323876;1552308;3864492;46.89;2028048;910408
salmon;1;2014-05-26 03-41-12 UTC;894460;3155148;77.91;323876;1546928;3812256;46.25;2009740;905028
salmon;1;2014-05-26 03-41-13 UTC;895048;3154560;77.90;323880;1546508;3813804;46.27;2009996;904864
