# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-58-57 UTC;-1;7.52;0.00;86.72;0.00;0.00;5.76
salmon;1;2014-05-26 03-58-58 UTC;-1;13.03;0.00;86.97;0.00;0.00;0.00
salmon;1;2014-05-26 03-58-59 UTC;-1;12.25;0.00;87.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-00 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-01 UTC;-1;9.73;0.00;90.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-02 UTC;-1;6.52;0.00;93.48;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-03 UTC;-1;10.50;0.00;89.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-04 UTC;-1;20.75;0.00;79.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-05 UTC;-1;19.20;0.00;80.80;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-06 UTC;-1;11.00;0.00;89.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-07 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-08 UTC;-1;14.25;0.00;85.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-09 UTC;-1;11.00;0.00;89.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-10 UTC;-1;12.00;0.00;88.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-11 UTC;-1;8.73;0.00;91.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-12 UTC;-1;10.28;0.00;89.72;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-13 UTC;-1;17.96;0.00;82.04;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-14 UTC;-1;20.55;0.00;79.45;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-15 UTC;-1;27.68;0.00;72.32;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-16 UTC;-1;23.25;0.00;76.75;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-59-22 UTC;-1;4.01;0.00;90.23;0.00;0.00;5.76
salmon;1;2014-05-26 03-59-23 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-24 UTC;-1;7.21;0.00;92.79;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-25 UTC;-1;7.75;0.00;92.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-26 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-27 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-28 UTC;-1;7.48;0.00;92.27;0.00;0.00;0.25
salmon;1;2014-05-26 03-59-29 UTC;-1;1.49;0.00;98.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-30 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-31 UTC;-1;9.02;0.00;90.98;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-32 UTC;-1;14.71;0.00;85.29;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-33 UTC;-1;18.00;0.00;82.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-34 UTC;-1;10.47;0.00;89.53;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-35 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-36 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-37 UTC;-1;9.25;0.00;90.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-38 UTC;-1;10.75;0.00;89.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-39 UTC;-1;17.71;0.00;82.29;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-40 UTC;-1;8.77;0.00;91.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-59-41 UTC;-1;7.98;0.00;92.02;0.00;0.00;0.00
