# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-58-57 UTC;526704;3522904;86.99;322976;1914692;3792492;46.02;2157112;1115328
salmon;1;2014-05-26 03-58-58 UTC;514260;3535348;87.30;322976;1915724;3793752;46.03;2169304;1115852
salmon;1;2014-05-26 03-58-59 UTC;505556;3544052;87.52;322976;1917536;3797876;46.08;2177916;1115872
salmon;1;2014-05-26 03-59-00 UTC;492744;3556864;87.83;322976;1921488;3799932;46.11;2187312;1119248
salmon;1;2014-05-26 03-59-01 UTC;492516;3557092;87.84;322976;1917660;3800060;46.11;2190892;1115176
salmon;1;2014-05-26 03-59-02 UTC;490192;3559416;87.90;322976;1919912;3800072;46.11;2192364;1117156
salmon;1;2014-05-26 03-59-03 UTC;475304;3574304;88.26;322976;1919236;3802612;46.14;2207800;1116344
salmon;1;2014-05-26 03-59-04 UTC;460900;3588708;88.62;322976;1914896;3803192;46.14;2225976;1111772
salmon;1;2014-05-26 03-59-05 UTC;450592;3599016;88.87;322976;1919792;3810276;46.23;2232368;1115876
salmon;1;2014-05-26 03-59-06 UTC;444080;3605528;89.03;322976;1918120;3824064;46.40;2241128;1113696
salmon;1;2014-05-26 03-59-07 UTC;449660;3599948;88.90;322976;1917024;3826204;46.42;2236756;1112268
salmon;1;2014-05-26 03-59-08 UTC;436532;3613076;89.22;322976;1917044;3832500;46.50;2251008;1111612
salmon;1;2014-05-26 03-59-09 UTC;420612;3628996;89.61;322976;1920752;3845764;46.66;2264212;1114212
salmon;1;2014-05-26 03-59-10 UTC;406724;3642884;89.96;322980;1917192;3850704;46.72;2281468;1110480
salmon;1;2014-05-26 03-59-11 UTC;407048;3642560;89.95;322980;1915736;3851164;46.73;2283528;1108688
salmon;1;2014-05-26 03-59-12 UTC;397352;3652256;90.19;322980;1917104;3856296;46.79;2292464;1109608
salmon;1;2014-05-26 03-59-13 UTC;382068;3667540;90.57;322980;1924500;3859448;46.83;2300540;1116000
salmon;1;2014-05-26 03-59-14 UTC;381820;3667788;90.57;322980;1915236;3879084;47.07;2310228;1106572
salmon;1;2014-05-26 03-59-15 UTC;367792;3681816;90.92;322980;1920244;3881716;47.10;2319556;1111184
salmon;1;2014-05-26 03-59-16 UTC;348188;3701420;91.40;322980;1919260;3914636;47.50;2341028;1108752
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-59-22 UTC;529404;3520204;86.93;323004;1915636;3769576;45.74;2148128;1117488
salmon;1;2014-05-26 03-59-23 UTC;507040;3542568;87.48;323008;1929692;3792476;46.01;2171464;1115396
salmon;1;2014-05-26 03-59-24 UTC;507908;3541700;87.46;323008;1919956;3792680;46.02;2180308;1106024
salmon;1;2014-05-26 03-59-25 UTC;504032;3545576;87.55;323008;1916208;3795772;46.05;2187780;1102428
salmon;1;2014-05-26 03-59-26 UTC;499732;3549876;87.66;323008;1916428;3798956;46.09;2191804;1102408
salmon;1;2014-05-26 03-59-27 UTC;497128;3552480;87.72;323012;1916204;3799988;46.11;2194944;1102140
salmon;1;2014-05-26 03-59-28 UTC;477504;3572104;88.21;323012;1927504;3799988;46.11;2203128;1113480
salmon;1;2014-05-26 03-59-29 UTC;487704;3561904;87.96;323016;1916372;3799988;46.11;2203232;1102436
salmon;1;2014-05-26 03-59-30 UTC;486712;3562896;87.98;323016;1916248;3799988;46.11;2204936;1102468
salmon;1;2014-05-26 03-59-31 UTC;476248;3573360;88.24;323016;1916108;3802244;46.13;2215748;1101992
salmon;1;2014-05-26 03-59-32 UTC;449928;3599680;88.89;323016;1926960;3803160;46.14;2231224;1112672
salmon;1;2014-05-26 03-59-33 UTC;451540;3598068;88.85;323020;1924952;3801132;46.12;2231444;1110676
salmon;1;2014-05-26 03-59-34 UTC;450888;3598720;88.87;323020;1918620;3810528;46.23;2238092;1104696
salmon;1;2014-05-26 03-59-35 UTC;445324;3604284;89.00;323020;1917640;3813608;46.27;2244972;1103704
salmon;1;2014-05-26 03-59-36 UTC;444428;3605180;89.03;323020;1916460;3814972;46.29;2247088;1102280
salmon;1;2014-05-26 03-59-37 UTC;434012;3615596;89.28;323020;1920724;3818572;46.33;2253040;1106696
salmon;1;2014-05-26 03-59-38 UTC;425572;3624036;89.49;323020;1920476;3828132;46.45;2261528;1106448
salmon;1;2014-05-26 03-59-39 UTC;402508;3647100;90.06;323024;1920696;3833468;46.51;2284464;1106640
salmon;1;2014-05-26 03-59-40 UTC;395804;3653804;90.23;323024;1920932;3845728;46.66;2290836;1106844
salmon;1;2014-05-26 03-59-41 UTC;393540;3656068;90.28;323024;1918680;3851176;46.73;2295436;1104652
