# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-54-13 UTC;-1;10.83;0.00;83.63;0.00;0.00;5.54
salmon;1;2014-05-26 03-54-14 UTC;-1;16.54;0.00;83.46;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-15 UTC;-1;11.47;0.00;88.53;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-16 UTC;-1;19.50;0.00;80.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-17 UTC;-1;25.50;0.00;74.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-18 UTC;-1;9.25;0.00;90.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-19 UTC;-1;18.05;0.00;81.95;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-20 UTC;-1;14.50;0.00;85.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-21 UTC;-1;10.50;0.00;89.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-22 UTC;-1;15.50;0.00;84.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-23 UTC;-1;11.25;0.00;88.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-24 UTC;-1;12.19;0.00;87.81;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-25 UTC;-1;15.00;0.00;85.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-26 UTC;-1;11.03;0.00;88.97;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-27 UTC;-1;12.97;0.00;87.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-28 UTC;-1;10.75;0.00;89.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-29 UTC;-1;16.00;0.00;84.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-30 UTC;-1;18.50;0.00;81.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-31 UTC;-1;12.22;0.00;87.78;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-32 UTC;-1;9.27;0.00;90.73;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-54-38 UTC;-1;11.00;0.00;83.25;0.00;0.00;5.75
salmon;1;2014-05-26 03-54-39 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-40 UTC;-1;8.73;0.00;91.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-41 UTC;-1;7.23;0.00;92.77;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-42 UTC;-1;15.00;0.00;85.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-43 UTC;-1;29.50;0.00;70.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-44 UTC;-1;14.25;0.00;85.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-45 UTC;-1;12.50;0.00;87.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-46 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-47 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-48 UTC;-1;20.55;0.00;79.45;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-49 UTC;-1;14.25;0.00;85.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-50 UTC;-1;8.48;0.00;91.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-51 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-52 UTC;-1;12.00;0.00;88.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-53 UTC;-1;14.75;0.00;85.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-54 UTC;-1;16.79;0.00;83.21;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-55 UTC;-1;16.46;0.00;83.54;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-56 UTC;-1;12.75;0.00;87.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-54-57 UTC;-1;16.00;0.00;84.00;0.00;0.00;0.00
