# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-54-13 UTC;602356;3447252;85.13;319808;1846852;3689232;44.76;2109780;1090612
salmon;1;2014-05-26 03-54-14 UTC;586356;3463252;85.52;319808;1847924;3754124;45.55;2124920;1090636
salmon;1;2014-05-26 03-54-15 UTC;574852;3474756;85.80;319808;1846864;3805764;46.18;2139940;1086888
salmon;1;2014-05-26 03-54-16 UTC;533364;3516244;86.83;319808;1863716;3864340;46.89;2168196;1099764
salmon;1;2014-05-26 03-54-17 UTC;533912;3515696;86.82;319808;1856044;3855628;46.78;2174980;1091984
salmon;1;2014-05-26 03-54-18 UTC;534484;3515124;86.80;319808;1854988;3855628;46.78;2175148;1091184
salmon;1;2014-05-26 03-54-19 UTC;534296;3515312;86.81;319808;1854652;3855628;46.78;2175572;1091056
salmon;1;2014-05-26 03-54-20 UTC;532856;3516752;86.84;319808;1856048;3855628;46.78;2176496;1092016
salmon;1;2014-05-26 03-54-21 UTC;532864;3516744;86.84;319808;1854720;3855628;46.78;2177392;1090252
salmon;1;2014-05-26 03-54-22 UTC;526640;3522968;87.00;319808;1861888;3855628;46.78;2177532;1096780
salmon;1;2014-05-26 03-54-23 UTC;530732;3518876;86.89;319808;1857816;3855628;46.78;2177732;1092908
salmon;1;2014-05-26 03-54-24 UTC;526724;3522884;86.99;319808;1860844;3855628;46.78;2178500;1096024
salmon;1;2014-05-26 03-54-25 UTC;529120;3520488;86.93;319808;1857988;3855628;46.78;2178756;1093032
salmon;1;2014-05-26 03-54-26 UTC;522204;3527404;87.10;319808;1864652;3855628;46.78;2178892;1099572
salmon;1;2014-05-26 03-54-27 UTC;520072;3529536;87.16;319808;1866276;3857648;46.81;2179932;1100996
salmon;1;2014-05-26 03-54-28 UTC;529000;3520608;86.94;319808;1856448;3857648;46.81;2179972;1091636
salmon;1;2014-05-26 03-54-29 UTC;529020;3520588;86.94;319808;1856316;3856608;46.79;2180324;1091468
salmon;1;2014-05-26 03-54-30 UTC;527128;3522480;86.98;319808;1857864;3857884;46.81;2180892;1093072
salmon;1;2014-05-26 03-54-31 UTC;522292;3527316;87.10;319808;1862096;3857132;46.80;2181248;1097080
salmon;1;2014-05-26 03-54-32 UTC;522440;3527168;87.10;319808;1861796;3858564;46.82;2181552;1096928
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-54-38 UTC;593768;3455840;85.34;319828;1848012;3715380;45.08;2133312;1070436
salmon;1;2014-05-26 03-54-39 UTC;582716;3466892;85.61;319832;1847188;3744524;45.43;2147628;1066040
salmon;1;2014-05-26 03-54-40 UTC;562000;3487608;86.12;319832;1859712;3767948;45.72;2156408;1078224
salmon;1;2014-05-26 03-54-41 UTC;568808;3480800;85.95;319832;1847800;3805660;46.17;2161128;1066604
salmon;1;2014-05-26 03-54-42 UTC;529336;3520272;86.93;319836;1861152;3863776;46.88;2187428;1079664
salmon;1;2014-05-26 03-54-43 UTC;525948;3523660;87.01;319836;1859176;3855588;46.78;2192300;1077632
salmon;1;2014-05-26 03-54-44 UTC;521476;3528132;87.12;319836;1863124;3855588;46.78;2192592;1081828
salmon;1;2014-05-26 03-54-45 UTC;524940;3524668;87.04;319836;1859144;3855588;46.78;2193136;1077552
salmon;1;2014-05-26 03-54-46 UTC;526784;3522824;86.99;319836;1856816;3855588;46.78;2193436;1075680
salmon;1;2014-05-26 03-54-47 UTC;522172;3527436;87.11;319836;1861176;3855588;46.78;2193876;1079612
salmon;1;2014-05-26 03-54-48 UTC;522924;3526684;87.09;319840;1860652;3855588;46.78;2194128;1079296
salmon;1;2014-05-26 03-54-49 UTC;522296;3527312;87.10;319840;1859600;3856208;46.79;2194968;1078448
salmon;1;2014-05-26 03-54-50 UTC;515956;3533652;87.26;319840;1865648;3856208;46.79;2195184;1084288
salmon;1;2014-05-26 03-54-51 UTC;517552;3532056;87.22;319840;1864288;3855588;46.78;2195276;1082924
salmon;1;2014-05-26 03-54-52 UTC;520296;3529312;87.15;319840;1861068;3855588;46.78;2195512;1079524
salmon;1;2014-05-26 03-54-53 UTC;523892;3525716;87.06;319844;1856332;3848192;46.69;2196388;1075052
salmon;1;2014-05-26 03-54-54 UTC;519420;3530188;87.17;319844;1858388;3850632;46.72;2198064;1077092
salmon;1;2014-05-26 03-54-55 UTC;517544;3532064;87.22;319844;1860684;3849440;46.71;2198464;1079284
salmon;1;2014-05-26 03-54-56 UTC;518644;3530964;87.19;319844;1859004;3849440;46.71;2198604;1077724
salmon;1;2014-05-26 03-54-57 UTC;514876;3534732;87.29;319844;1862156;3851188;46.73;2198876;1080768
