# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-26-43 UTC;-1;9.57;0.00;84.38;0.00;0.00;6.05
salmon;1;2014-05-26 14-26-44 UTC;-1;9.20;0.00;90.80;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-45 UTC;-1;8.52;0.00;91.48;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-46 UTC;-1;8.50;0.00;91.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-47 UTC;-1;17.50;0.00;82.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-48 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-49 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-50 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-51 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-52 UTC;-1;3.27;0.00;96.73;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-53 UTC;-1;3.26;0.00;96.74;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-54 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-55 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-56 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-57 UTC;-1;4.48;0.00;95.52;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-58 UTC;-1;7.52;0.00;92.48;0.00;0.00;0.00
salmon;1;2014-05-26 14-26-59 UTC;-1;7.73;0.00;92.27;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-00 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-01 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-02 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-27-08 UTC;-1;6.27;0.00;87.72;0.00;0.00;6.02
salmon;1;2014-05-26 14-27-09 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-10 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-11 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-12 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-13 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-14 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-15 UTC;-1;9.23;0.00;90.77;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-16 UTC;-1;14.75;0.00;85.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-17 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-18 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-19 UTC;-1;1.76;0.00;98.24;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-20 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-21 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-22 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-23 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-24 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-25 UTC;-1;4.22;0.00;95.53;0.25;0.00;0.00
salmon;1;2014-05-26 14-27-26 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
salmon;1;2014-05-26 14-27-27 UTC;-1;4.48;0.00;95.52;0.00;0.00;0.00
