# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-26-43 UTC;121396;3928212;97.00;462748;2009728;3735796;45.33;2204992;1344180
salmon;1;2014-05-26 14-26-44 UTC;151848;3897760;96.25;455256;1978512;3771868;45.76;2185600;1335052
salmon;1;2014-05-26 14-26-45 UTC;153056;3896552;96.22;455260;1973812;3816560;46.31;2189068;1330552
salmon;1;2014-05-26 14-26-46 UTC;148404;3901204;96.34;455260;1973224;3830052;46.47;2194816;1329520
salmon;1;2014-05-26 14-26-47 UTC;126168;3923440;96.88;455260;1977228;3885744;47.15;2212572;1332988
salmon;1;2014-05-26 14-26-48 UTC;111820;3937788;97.24;455260;1974564;3901424;47.34;2229800;1328616
salmon;1;2014-05-26 14-26-49 UTC;112440;3937168;97.22;455260;1974756;3901424;47.34;2229996;1328700
salmon;1;2014-05-26 14-26-50 UTC;110332;3939276;97.28;455260;1977248;3901424;47.34;2230100;1330868
salmon;1;2014-05-26 14-26-51 UTC;106100;3943508;97.38;455260;1981424;3901424;47.34;2230276;1335036
salmon;1;2014-05-26 14-26-52 UTC;111556;3938052;97.25;455260;1975684;3901588;47.34;2230628;1329460
salmon;1;2014-05-26 14-26-53 UTC;111152;3938456;97.26;455260;1975464;3901748;47.34;2230920;1329088
salmon;1;2014-05-26 14-26-54 UTC;106316;3943292;97.37;455260;1981056;3901748;47.34;2231304;1334144
salmon;1;2014-05-26 14-26-55 UTC;109248;3940360;97.30;455260;1977772;3901748;47.34;2231252;1330976
salmon;1;2014-05-26 14-26-56 UTC;105564;3944044;97.39;455260;1981364;3918156;47.54;2231352;1334524
salmon;1;2014-05-26 14-26-57 UTC;111640;3937968;97.24;455260;1974624;3918316;47.54;2231408;1328056
salmon;1;2014-05-26 14-26-58 UTC;108980;3940628;97.31;455260;1978144;3918316;47.54;2231452;1330984
salmon;1;2014-05-26 14-26-59 UTC;105936;3943672;97.38;455260;1981408;3918316;47.54;2231716;1334068
salmon;1;2014-05-26 14-27-00 UTC;108804;3940804;97.31;455260;1978400;3918316;47.54;2231516;1331276
salmon;1;2014-05-26 14-27-01 UTC;104712;3944896;97.41;455260;1974816;3925576;47.63;2238012;1327848
salmon;1;2014-05-26 14-27-02 UTC;167404;3882204;95.87;446568;1927456;3920060;47.56;2165732;1338588
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-27-08 UTC;239084;3810524;94.10;446592;1919380;3725988;45.21;2092672;1339916
salmon;1;2014-05-26 14-27-09 UTC;234992;3814616;94.20;446596;1919492;3729368;45.25;2096332;1339948
salmon;1;2014-05-26 14-27-10 UTC;234992;3814616;94.20;446596;1919384;3729368;45.25;2096376;1340020
salmon;1;2014-05-26 14-27-11 UTC;220956;3828652;94.54;446600;1919888;3766920;45.70;2109560;1340104
salmon;1;2014-05-26 14-27-12 UTC;216476;3833132;94.65;446600;1920388;3771000;45.75;2113356;1340332
salmon;1;2014-05-26 14-27-13 UTC;213344;3836264;94.73;446600;1920692;3791068;46.00;2116160;1340616
salmon;1;2014-05-26 14-27-14 UTC;210220;3839388;94.81;446600;1920708;3817976;46.32;2119404;1340216
salmon;1;2014-05-26 14-27-15 UTC;196668;3852940;95.14;446600;1924804;3856388;46.79;2128900;1344336
salmon;1;2014-05-26 14-27-16 UTC;170200;3879408;95.80;446600;1924708;3901060;47.33;2166844;1333028
salmon;1;2014-05-26 14-27-17 UTC;169828;3879780;95.81;446600;1924740;3901328;47.34;2167352;1332616
salmon;1;2014-05-26 14-27-18 UTC;169812;3879796;95.81;446600;1924676;3901328;47.34;2170276;1329672
salmon;1;2014-05-26 14-27-19 UTC;169564;3880044;95.81;446600;1925004;3901328;47.34;2170824;1329572
salmon;1;2014-05-26 14-27-20 UTC;168448;3881160;95.84;446600;1925352;3901608;47.34;2171368;1329880
salmon;1;2014-05-26 14-27-21 UTC;166588;3883020;95.89;446600;1927440;3901608;47.34;2171400;1331952
salmon;1;2014-05-26 14-27-22 UTC;160992;3888616;96.02;446604;1932936;3901744;47.34;2172572;1336196
salmon;1;2014-05-26 14-27-23 UTC;159488;3890120;96.06;446604;1934564;3901744;47.34;2172836;1337516
salmon;1;2014-05-26 14-27-24 UTC;158000;3891608;96.10;446604;1935736;3901904;47.34;2173032;1338672
salmon;1;2014-05-26 14-27-25 UTC;157612;3891996;96.11;446608;1935976;3901904;47.34;2173132;1338804
salmon;1;2014-05-26 14-27-26 UTC;158908;3890700;96.08;446608;1926488;3910308;47.44;2181812;1328400
salmon;1;2014-05-26 14-27-27 UTC;166060;3883548;95.90;446608;1926488;3912132;47.47;2174756;1328400
