# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle;
salmon;1;2014-05-26 19-23-09 UTC;-1;2.51;0;91.96;0.75;0;4.77;amarok
salmon;1;2014-05-26 19-23-10 UTC;-1;9.5;0;90.5;0;0;0;
salmon;1;2014-05-26 19-23-11 UTC;-1;4.26;0;95.74;0;0;0;
salmon;1;2014-05-26 19-23-12 UTC;-1;9.5;0;90.5;0;0;0;
salmon;1;2014-05-26 19-23-13 UTC;-1;6;0;94;0;0;0;
salmon;1;2014-05-26 19-23-14 UTC;-1;14.32;0;85.68;0;0;0;
salmon;1;2014-05-26 19-23-15 UTC;-1;14.36;0;85.64;0;0;0;
salmon;1;2014-05-26 19-23-16 UTC;-1;9.02;0;90.98;0;0;0;
salmon;1;2014-05-26 19-23-17 UTC;-1;12.25;0;87.75;0;0;0;
salmon;1;2014-05-26 19-23-18 UTC;-1;10.47;0;89.53;0;0;0;
salmon;1;2014-05-26 19-23-19 UTC;-1;15.29;0;84.71;0;0;0;
salmon;1;2014-05-26 19-23-20 UTC;-1;14.21;0;85.79;0;0;0;
salmon;1;2014-05-26 19-23-21 UTC;-1;13.25;0;86.75;0;0;0;
salmon;1;2014-05-26 19-23-22 UTC;-1;11.28;0;88.72;0;0;0;
salmon;1;2014-05-26 19-23-23 UTC;-1;12.97;0;87.03;0;0;0;
salmon;1;2014-05-26 19-23-24 UTC;-1;10.45;0;89.55;0;0;0;
salmon;1;2014-05-26 19-23-25 UTC;-1;14.5;0;85.25;0;0;0.25;
salmon;1;2014-05-26 19-23-26 UTC;-1;11.5;0;88.5;0;0;0;
salmon;1;2014-05-26 19-23-27 UTC;-1;13.47;0;86.53;0;0;0;
salmon;1;2014-05-26 19-23-28 UTC;-1;12;0;88;0;0;0;
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle;
salmon;1;2014-05-26 19-23-35 UTC;-1;6.53;0;88.94;0;0;4.52;
salmon;1;2014-05-26 19-23-36 UTC;-1;7.75;0;92.25;0;0;0;
salmon;1;2014-05-26 19-23-37 UTC;-1;4.26;0;95.74;0;0;0;
salmon;1;2014-05-26 19-23-38 UTC;-1;8;0;92;0;0;0;
salmon;1;2014-05-26 19-23-39 UTC;-1;12.53;0;87.47;0;0;0;
salmon;1;2014-05-26 19-23-40 UTC;-1;10.25;0;89.75;0;0;0;
salmon;1;2014-05-26 19-23-41 UTC;-1;12.75;0;87.25;0;0;0;
salmon;1;2014-05-26 19-23-42 UTC;-1;13.4;0;86.6;0;0;0;
salmon;1;2014-05-26 19-23-43 UTC;-1;10.5;0;89.5;0;0;0;
salmon;1;2014-05-26 19-23-44 UTC;-1;15.79;0;84.21;0;0;0;
salmon;1;2014-05-26 19-23-45 UTC;-1;9.25;0;90.75;0;0;0;
salmon;1;2014-05-26 19-23-46 UTC;-1;9;0;91;0;0;0;
salmon;1;2014-05-26 19-23-47 UTC;-1;19.55;0;80.45;0;0;0;
salmon;1;2014-05-26 19-23-48 UTC;-1;11.97;0;88.03;0;0;0;
salmon;1;2014-05-26 19-23-49 UTC;-1;15.5;0;84.5;0;0;0;
salmon;1;2014-05-26 19-23-50 UTC;-1;8.5;0;91.5;0;0;0;
salmon;1;2014-05-26 19-23-51 UTC;-1;14.54;0;85.46;0;0;0;
salmon;1;2014-05-26 19-23-52 UTC;-1;9.75;0;90.25;0;0;0;
salmon;1;2014-05-26 19-23-53 UTC;-1;12.47;0;87.53;0;0;0;
salmon;1;2014-05-26 19-23-54 UTC;-1;12.25;0;87.75;0;0;0;
