# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-23-09 UTC;572052;3477556;85.87;351632;1693996;3763456;45.66;1843992;1263396
salmon;1;2014-05-26 19-23-10 UTC;560108;3489500;86.17;351648;1695960;3800612;46.11;1872100;1246180
salmon;1;2014-05-26 19-23-11 UTC;547916;3501692;86.47;351652;1701516;3814856;46.29;1878596;1251248
salmon;1;2014-05-26 19-23-12 UTC;543552;3506056;86.58;351656;1697096;3853572;46.76;1888088;1246056
salmon;1;2014-05-26 19-23-13 UTC;538592;3511016;86.70;351660;1697080;3883200;47.12;1893952;1245424
salmon;1;2014-05-26 19-23-14 UTC;525204;3524404;87.03;351660;1697628;3942428;47.83;1913640;1239752
salmon;1;2014-05-26 19-23-15 UTC;507916;3541692;87.46;351664;1699380;3999716;48.53;1929032;1238924
salmon;1;2014-05-26 19-23-16 UTC;490016;3559592;87.90;351664;1703112;4003368;48.57;1945976;1240372
salmon;1;2014-05-26 19-23-17 UTC;462984;3586624;88.57;351664;1707536;4003368;48.57;1969800;1243344
salmon;1;2014-05-26 19-23-18 UTC;446988;3602620;88.96;351664;1702944;4003368;48.57;1992068;1238036
salmon;1;2014-05-26 19-23-19 UTC;404580;3645028;90.01;351664;1702856;4003368;48.57;2035112;1236704
salmon;1;2014-05-26 19-23-20 UTC;380552;3669056;90.60;351672;1705876;4061892;49.28;2056252;1239236
salmon;1;2014-05-26 19-23-21 UTC;362124;3687484;91.06;351672;1707504;4063632;49.30;2074700;1239700
salmon;1;2014-05-26 19-23-22 UTC;350344;3699264;91.35;351672;1705000;4063760;49.31;2089280;1236672
salmon;1;2014-05-26 19-23-23 UTC;328024;3721584;91.90;351676;1707544;4063760;49.31;2109732;1238436
salmon;1;2014-05-26 19-23-24 UTC;316476;3733132;92.19;351684;1703452;4080896;49.51;2126152;1233076
salmon;1;2014-05-26 19-23-25 UTC;294868;3754740;92.72;351776;1708384;4082424;49.53;2144028;1236868
salmon;1;2014-05-26 19-23-26 UTC;275400;3774208;93.20;351776;1710208;4082424;49.53;2162120;1237560
salmon;1;2014-05-26 19-23-27 UTC;254940;3794668;93.70;351776;1707592;4082928;49.54;2186168;1234184
salmon;1;2014-05-26 19-23-28 UTC;230580;3819028;94.31;351776;1711024;4084720;49.56;2207320;1236956
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-23-35 UTC;541700;3507908;86.62;351800;1704316;3815108;46.29;1897220;1235684
salmon;1;2014-05-26 19-23-36 UTC;532276;3517332;86.86;351800;1705792;3845260;46.66;1920544;1221328
salmon;1;2014-05-26 19-23-37 UTC;526788;3522820;86.99;351804;1705220;3883448;47.12;1929372;1217812
salmon;1;2014-05-26 19-23-38 UTC;505620;3543988;87.51;351804;1718608;3938552;47.79;1939464;1229732
salmon;1;2014-05-26 19-23-39 UTC;498968;3550640;87.68;351808;1704456;3999764;48.53;1956900;1216176
salmon;1;2014-05-26 19-23-40 UTC;481484;3568124;88.11;351808;1712372;4003444;48.57;1967444;1223260
salmon;1;2014-05-26 19-23-41 UTC;456644;3592964;88.72;351808;1709684;4064140;49.31;1995428;1219600
salmon;1;2014-05-26 19-23-42 UTC;435796;3613812;89.24;351808;1717656;4063796;49.31;2009876;1226608
salmon;1;2014-05-26 19-23-43 UTC;427828;3621780;89.44;351808;1709168;4063460;49.30;2026512;1217476
salmon;1;2014-05-26 19-23-44 UTC;383064;3666544;90.54;351940;1718332;4063548;49.30;2062388;1226036
salmon;1;2014-05-26 19-23-45 UTC;375748;3673860;90.72;351952;1712480;4063548;49.30;2075536;1220656
salmon;1;2014-05-26 19-23-46 UTC;356776;3692832;91.19;351952;1712936;4063548;49.30;2094084;1220864
salmon;1;2014-05-26 19-23-47 UTC;333828;3715780;91.76;351952;1715756;4063548;49.30;2115944;1222104
salmon;1;2014-05-26 19-23-48 UTC;307540;3742068;92.41;351952;1711648;4063548;49.30;2146828;1217724
salmon;1;2014-05-26 19-23-49 UTC;280972;3768636;93.06;351952;1714124;4068332;49.36;2170616;1219540
salmon;1;2014-05-26 19-23-50 UTC;260296;3789312;93.57;351952;1711684;4071192;49.40;2194164;1216884
salmon;1;2014-05-26 19-23-51 UTC;232388;3817220;94.26;352020;1712588;4072104;49.41;2221432;1217480
salmon;1;2014-05-26 19-23-52 UTC;208348;3841260;94.86;352024;1717580;4072104;49.41;2240620;1222480
salmon;1;2014-05-26 19-23-53 UTC;201528;3848080;95.02;352024;1714844;4072104;49.41;2251424;1218112
salmon;1;2014-05-26 19-23-54 UTC;178036;3871572;95.60;352024;1720584;4073368;49.42;2269924;1223292
