# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-19-37 UTC;-1;5.25;0.00;87.50;1.50;0.00;5.75
salmon;1;2014-05-26 19-19-38 UTC;-1;11.28;0.00;88.72;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-39 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-40 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-41 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-42 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-43 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-44 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-45 UTC;-1;8.77;0.00;91.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-46 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-47 UTC;-1;4.49;0.00;95.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-48 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-49 UTC;-1;4.74;0.00;95.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-50 UTC;-1;4.76;0.00;95.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-51 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-52 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-53 UTC;-1;3.98;0.00;95.77;0.00;0.00;0.25
salmon;1;2014-05-26 19-19-54 UTC;-1;7.02;0.00;92.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-55 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-19-56 UTC;-1;4.49;0.00;95.51;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-20-02 UTC;-1;8.79;0.00;86.18;0.00;0.00;5.03
salmon;1;2014-05-26 19-20-03 UTC;-1;6.23;0.00;93.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-04 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-05 UTC;-1;6.02;0.00;93.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-06 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-07 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-08 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-09 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-10 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-11 UTC;-1;4.24;0.00;95.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-12 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-13 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-14 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-15 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-16 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-17 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-18 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-19 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-20 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-20-21 UTC;-1;5.99;0.00;94.01;0.00;0.00;0.00
