# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-19-37 UTC;146264;3903344;96.39;443544;2015416;3817020;46.31;2129492;1392024
salmon;1;2014-05-26 19-19-38 UTC;133136;3916472;96.71;443732;2026888;3818488;46.33;2135220;1399380
salmon;1;2014-05-26 19-19-39 UTC;143524;3906084;96.46;443732;2015764;3818488;46.33;2135296;1388464
salmon;1;2014-05-26 19-19-40 UTC;143088;3906520;96.47;443732;2014964;3818488;46.33;2135724;1387928
salmon;1;2014-05-26 19-19-41 UTC;137136;3912472;96.61;443732;2022376;3818488;46.33;2135664;1394592
salmon;1;2014-05-26 19-19-42 UTC;135244;3914364;96.66;443732;2023384;3835776;46.54;2136600;1395280
salmon;1;2014-05-26 19-19-43 UTC;131012;3918596;96.76;443732;2027088;3835776;46.54;2136952;1399088
salmon;1;2014-05-26 19-19-44 UTC;141668;3907940;96.50;443732;2015924;3844764;46.65;2137708;1387932
salmon;1;2014-05-26 19-19-45 UTC;132908;3916700;96.72;443732;2024236;3845188;46.65;2138536;1395704
salmon;1;2014-05-26 19-19-46 UTC;140680;3908928;96.53;443732;2015404;3844908;46.65;2138516;1387260
salmon;1;2014-05-26 19-19-47 UTC;136332;3913276;96.63;443732;2019440;3846368;46.67;2140240;1390648
salmon;1;2014-05-26 19-19-48 UTC;136364;3913244;96.63;443732;2018364;3846368;46.67;2140404;1389916
salmon;1;2014-05-26 19-19-49 UTC;135992;3913616;96.64;443732;2019040;3846368;46.67;2140488;1390272
salmon;1;2014-05-26 19-19-50 UTC;135248;3914360;96.66;443732;2020768;3846368;46.67;2140640;1391696
salmon;1;2014-05-26 19-19-51 UTC;136880;3912728;96.62;443732;2019124;3846368;46.67;2140688;1389864
salmon;1;2014-05-26 19-19-52 UTC;136260;3913348;96.64;443732;2020000;3846368;46.67;2141104;1390600
salmon;1;2014-05-26 19-19-53 UTC;133664;3915944;96.70;443732;2021416;3846368;46.67;2141912;1391248
salmon;1;2014-05-26 19-19-54 UTC;136800;3912808;96.62;443732;2018164;3846368;46.67;2142324;1387640
salmon;1;2014-05-26 19-19-55 UTC;139176;3910432;96.56;443732;2015760;3846044;46.66;2143084;1384540
salmon;1;2014-05-26 19-19-56 UTC;132556;3917052;96.73;443732;2023176;3847504;46.68;2144044;1390488
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-20-02 UTC;138680;3910928;96.58;443752;2017348;3818472;46.33;2125056;1400312
salmon;1;2014-05-26 19-20-03 UTC;138028;3911580;96.59;443756;2018036;3818620;46.33;2140688;1385460
salmon;1;2014-05-26 19-20-04 UTC;138492;3911116;96.58;443756;2017132;3818620;46.33;2143436;1382016
salmon;1;2014-05-26 19-20-05 UTC;130104;3919504;96.79;443760;2025348;3835716;46.54;2144628;1389432
salmon;1;2014-05-26 19-20-06 UTC;136024;3913584;96.64;443760;2018080;3836816;46.55;2145536;1382536
salmon;1;2014-05-26 19-20-07 UTC;126880;3922728;96.87;443760;2027176;3836816;46.55;2145816;1391432
salmon;1;2014-05-26 19-20-08 UTC;133560;3916048;96.70;443760;2019932;3836912;46.55;2146048;1384172
salmon;1;2014-05-26 19-20-09 UTC;135048;3914560;96.67;443760;2017704;3837052;46.56;2146072;1382164
salmon;1;2014-05-26 19-20-10 UTC;128708;3920900;96.82;443760;2024032;3837052;46.56;2146308;1388180
salmon;1;2014-05-26 19-20-11 UTC;133032;3916576;96.71;443764;2020036;3837052;46.56;2146324;1384128
salmon;1;2014-05-26 19-20-12 UTC;132660;3916948;96.72;443764;2019912;3837052;46.56;2146236;1384140
salmon;1;2014-05-26 19-20-13 UTC;134644;3914964;96.68;443804;2017816;3837184;46.56;2146356;1382140
salmon;1;2014-05-26 19-20-14 UTC;124228;3925380;96.93;443804;2027568;3838196;46.57;2147812;1391580
salmon;1;2014-05-26 19-20-15 UTC;124012;3925596;96.94;443804;2028036;3838324;46.57;2147860;1391796
salmon;1;2014-05-26 19-20-16 UTC;133188;3916420;96.71;443828;2017864;3838324;46.57;2147592;1382012
salmon;1;2014-05-26 19-20-17 UTC;133576;3916032;96.70;443828;2017568;3838004;46.57;2147460;1381748
salmon;1;2014-05-26 19-20-18 UTC;133684;3915924;96.70;443832;2017440;3846200;46.67;2147512;1381592
salmon;1;2014-05-26 19-20-19 UTC;132932;3916676;96.72;443832;2017972;3855080;46.77;2148224;1381940
salmon;1;2014-05-26 19-20-20 UTC;131880;3917728;96.74;443832;2018548;3855080;46.77;2148492;1382524
salmon;1;2014-05-26 19-20-21 UTC;125424;3924184;96.90;443832;2025336;3856416;46.79;2148684;1389176
