# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-55-38 UTC;-1;3.78;0.00;88.16;1.76;0.00;6.30
salmon;1;2014-05-26 19-55-39 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-40 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-41 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-42 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-43 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-44 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-45 UTC;-1;4.24;0.00;95.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-46 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-47 UTC;-1;5.30;0.00;94.70;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-48 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-49 UTC;-1;15.04;0.00;84.96;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-50 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-51 UTC;-1;1.76;0.00;98.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-52 UTC;-1;8.48;0.00;91.52;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-53 UTC;-1;3.26;0.00;96.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-54 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-55 UTC;-1;8.71;0.00;91.29;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-56 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-55-57 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-56-04 UTC;-1;4.51;0.00;89.97;0.00;0.00;5.51
salmon;1;2014-05-26 19-56-05 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-06 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-07 UTC;-1;1.74;0.00;98.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-08 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-09 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-10 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-11 UTC;-1;7.25;0.00;92.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-12 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-13 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-14 UTC;-1;5.74;0.00;94.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-15 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-16 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-17 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-18 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-19 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-20 UTC;-1;6.27;0.00;93.48;0.25;0.00;0.00
salmon;1;2014-05-26 19-56-21 UTC;-1;9.20;0.00;90.80;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-22 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-23 UTC;-1;4.25;0.00;95.50;0.00;0.00;0.25
