# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-55-38 UTC;214240;3835368;94.71;231568;2155140;3790624;45.99;1868744;1597812
salmon;1;2014-05-26 19-55-39 UTC;202460;3847148;95.00;231776;2164852;3792340;46.01;1875340;1602668
salmon;1;2014-05-26 19-55-40 UTC;211264;3838344;94.78;232280;2155764;3792472;46.01;1877300;1592076
salmon;1;2014-05-26 19-55-41 UTC;202568;3847040;95.00;232296;2163964;3809772;46.22;1877828;1600232
salmon;1;2014-05-26 19-55-42 UTC;203304;3846304;94.98;232328;2162948;3809772;46.22;1877896;1599284
salmon;1;2014-05-26 19-55-43 UTC;207768;3841840;94.87;232416;2156580;3818960;46.34;1878460;1593164
salmon;1;2014-05-26 19-55-44 UTC;205288;3844320;94.93;232416;2158168;3820948;46.36;1879476;1594628
salmon;1;2014-05-26 19-55-45 UTC;200204;3849404;95.06;232432;2160544;3823868;46.40;1882520;1596952
salmon;1;2014-05-26 19-55-46 UTC;201692;3847916;95.02;232448;2158376;3824000;46.40;1882580;1594928
salmon;1;2014-05-26 19-55-47 UTC;199708;3849900;95.07;232472;2160564;3824000;46.40;1882628;1597088
salmon;1;2014-05-26 19-55-48 UTC;195112;3854496;95.18;232484;2163740;3826220;46.42;1884324;1600300
salmon;1;2014-05-26 19-55-49 UTC;197088;3852520;95.13;232508;2159552;3827976;46.45;1886256;1596172
salmon;1;2014-05-26 19-55-50 UTC;196468;3853140;95.15;232516;2159760;3827976;46.45;1886240;1596348
salmon;1;2014-05-26 19-55-51 UTC;190888;3858720;95.29;232516;2166004;3827976;46.45;1886504;1602344
salmon;1;2014-05-26 19-55-52 UTC;190500;3859108;95.30;232528;2164380;3838232;46.57;1888436;1600808
salmon;1;2014-05-26 19-55-53 UTC;194988;3854620;95.19;232576;2159716;3838232;46.57;1888404;1596192
salmon;1;2014-05-26 19-55-54 UTC;188408;3861200;95.35;232592;2162672;3841264;46.61;1891404;1599256
salmon;1;2014-05-26 19-55-55 UTC;167328;3882280;95.87;232612;2184372;3841264;46.61;1891640;1620544
salmon;1;2014-05-26 19-55-56 UTC;141412;3908196;96.51;232624;2209452;3841264;46.61;1891536;1645812
salmon;1;2014-05-26 19-55-57 UTC;130220;3919388;96.78;232624;2219560;3842160;46.62;1891588;1656120
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-56-04 UTC;139908;3909700;96.55;232852;2219996;3792344;46.01;1863680;1670060
salmon;1;2014-05-26 19-56-05 UTC;139020;3910588;96.57;232864;2220316;3809856;46.23;1864280;1670580
salmon;1;2014-05-26 19-56-06 UTC;139072;3910536;96.57;232868;2220328;3809856;46.23;1864624;1670488
salmon;1;2014-05-26 19-56-07 UTC;138700;3910908;96.57;232872;2220460;3809984;46.23;1864668;1670340
salmon;1;2014-05-26 19-56-08 UTC;133624;3915984;96.70;232872;2220432;3823960;46.40;1869484;1670308
salmon;1;2014-05-26 19-56-09 UTC;133748;3915860;96.70;232872;2220320;3824140;46.40;1869656;1670232
salmon;1;2014-05-26 19-56-10 UTC;133500;3916108;96.70;232876;2220528;3824284;46.40;1869920;1669856
salmon;1;2014-05-26 19-56-11 UTC;130120;3919488;96.79;232876;2220668;3827724;46.44;1873204;1670024
salmon;1;2014-05-26 19-56-12 UTC;129548;3920060;96.80;232880;2220928;3827896;46.44;1873536;1670308
salmon;1;2014-05-26 19-56-13 UTC;129232;3920376;96.81;232880;2220712;3828052;46.45;1873688;1670172
salmon;1;2014-05-26 19-56-14 UTC;126744;3922864;96.87;232880;2221196;3845940;46.66;1889964;1656264
salmon;1;2014-05-26 19-56-15 UTC;125496;3924112;96.90;232880;2222468;3845940;46.66;1890968;1656208
salmon;1;2014-05-26 19-56-16 UTC;122644;3926964;96.97;232880;2225416;3845940;46.66;1891400;1659384
salmon;1;2014-05-26 19-56-17 UTC;119172;3930436;97.06;232880;2228808;3845940;46.66;1892288;1661760
salmon;1;2014-05-26 19-56-18 UTC;116320;3933288;97.13;232880;2231564;3846852;46.67;1892508;1664344
salmon;1;2014-05-26 19-56-19 UTC;114212;3935396;97.18;232880;2232916;3847908;46.69;1893040;1665316
salmon;1;2014-05-26 19-56-20 UTC;116816;3932792;97.12;232884;2228748;3847908;46.69;1895232;1660212
salmon;1;2014-05-26 19-56-21 UTC;122968;3926640;96.96;232904;2222284;3849956;46.71;1895764;1653688
salmon;1;2014-05-26 19-56-22 UTC;122892;3926716;96.97;232904;2222100;3849956;46.71;1895900;1653600
salmon;1;2014-05-26 19-56-23 UTC;117224;3932384;97.11;232904;2222752;3855024;46.77;1901736;1653324
