# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-56-46 UTC;-1;14.82;0.00;79.90;0.00;0.00;5.28
salmon;1;2014-05-26 19-56-47 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-48 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-49 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-50 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-51 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-52 UTC;-1;5.49;0.00;94.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-53 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-54 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-55 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-56 UTC;-1;8.48;0.00;91.52;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-57 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-58 UTC;-1;3.73;0.00;96.27;0.00;0.00;0.00
salmon;1;2014-05-26 19-56-59 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-00 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-01 UTC;-1;7.98;0.00;92.02;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-02 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-03 UTC;-1;3.25;0.00;96.50;0.00;0.00;0.25
salmon;1;2014-05-26 19-57-04 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-05 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-57-11 UTC;-1;10.75;0.00;84.50;0.00;0.00;4.75
salmon;1;2014-05-26 19-57-12 UTC;-1;9.52;0.00;90.48;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-13 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-14 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-15 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-16 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-17 UTC;-1;6.77;0.00;93.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-18 UTC;-1;1.49;0.00;98.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-19 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-20 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-21 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-22 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-23 UTC;-1;6.02;0.00;93.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-24 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-25 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-26 UTC;-1;3.74;0.00;96.01;0.00;0.00;0.25
salmon;1;2014-05-26 19-57-27 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-28 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-29 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-57-30 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
