# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-56-46 UTC;123176;3926432;96.96;233372;2238384;3815344;46.29;1888996;1666452
salmon;1;2014-05-26 19-56-47 UTC;125816;3923792;96.89;233376;2235468;3815484;46.29;1891312;1661552
salmon;1;2014-05-26 19-56-48 UTC;129824;3919784;96.79;233384;2230032;3889772;47.20;1891920;1656508
salmon;1;2014-05-26 19-56-49 UTC;129388;3920220;96.80;233400;2230084;3848792;46.70;1891848;1656464
salmon;1;2014-05-26 19-56-50 UTC;126636;3922972;96.87;233412;2233428;3851044;46.73;1892684;1659504
salmon;1;2014-05-26 19-56-51 UTC;124404;3925204;96.93;233432;2232448;3853424;46.75;1895040;1658632
salmon;1;2014-05-26 19-56-52 UTC;123784;3925824;96.94;233444;2232664;3853556;46.76;1895140;1659204
salmon;1;2014-05-26 19-56-53 UTC;116840;3932768;97.11;233448;2239580;3853556;46.76;1895348;1665640
salmon;1;2014-05-26 19-56-54 UTC;119692;3929916;97.04;233464;2236828;3853556;46.76;1895340;1662896
salmon;1;2014-05-26 19-56-55 UTC;122992;3926616;96.96;233476;2232212;3853556;46.76;1896312;1658364
salmon;1;2014-05-26 19-56-56 UTC;118576;3931032;97.07;233484;2237308;3853556;46.76;1896524;1663316
salmon;1;2014-05-26 19-56-57 UTC;120064;3929544;97.04;233500;2235544;3853556;46.76;1896640;1661472
salmon;1;2014-05-26 19-56-58 UTC;118204;3931404;97.08;233512;2237764;3853556;46.76;1896712;1663632
salmon;1;2014-05-26 19-56-59 UTC;118452;3931156;97.07;233536;2237428;3853688;46.76;1896732;1663320
salmon;1;2014-05-26 19-57-00 UTC;118080;3931528;97.08;233684;2237372;3853688;46.76;1896856;1663384
salmon;1;2014-05-26 19-57-01 UTC;118148;3931460;97.08;233688;2237252;3886396;47.15;1896836;1663380
salmon;1;2014-05-26 19-57-02 UTC;118140;3931468;97.08;233704;2237584;3886988;47.16;1897452;1663652
salmon;1;2014-05-26 19-57-03 UTC;117188;3932420;97.11;233712;2238336;3886988;47.16;1897416;1664224
salmon;1;2014-05-26 19-57-04 UTC;120172;3929436;97.03;233724;2235400;3886988;47.16;1897372;1661244
salmon;1;2014-05-26 19-57-05 UTC;120396;3929212;97.03;233744;2233488;3888720;47.18;1897768;1659424
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-57-11 UTC;123552;3926056;96.95;233852;2233916;3814108;46.28;1883532;1667040
salmon;1;2014-05-26 19-57-12 UTC;121856;3927752;96.99;233852;2234292;3815724;46.30;1888460;1663988
salmon;1;2014-05-26 19-57-13 UTC;121368;3928240;97.00;233852;2234412;3815880;46.30;1888784;1663948
salmon;1;2014-05-26 19-57-14 UTC;121368;3928240;97.00;233856;2234564;3815880;46.30;1891724;1660860
salmon;1;2014-05-26 19-57-15 UTC;119136;3930472;97.06;233856;2236092;3815880;46.30;1892252;1662348
salmon;1;2014-05-26 19-57-16 UTC;118392;3931216;97.08;233860;2235976;3824076;46.40;1894772;1659776
salmon;1;2014-05-26 19-57-17 UTC;119872;3929736;97.04;233864;2234148;3824264;46.40;1895492;1657436
salmon;1;2014-05-26 19-57-18 UTC;112936;3936672;97.21;233864;2240916;3824264;46.40;1895664;1664240
salmon;1;2014-05-26 19-57-19 UTC;118508;3931100;97.07;233864;2234856;3828696;46.45;1896320;1658212
salmon;1;2014-05-26 19-57-20 UTC;117648;3931960;97.09;233864;2236280;3828696;46.45;1896420;1659500
salmon;1;2014-05-26 19-57-21 UTC;115828;3933780;97.14;233864;2236412;3830180;46.47;1898060;1659776
salmon;1;2014-05-26 19-57-22 UTC;115208;3934400;97.16;233864;2236700;3830180;46.47;1898088;1659800
salmon;1;2014-05-26 19-57-23 UTC;115052;3934556;97.16;233864;2236776;3854776;46.77;1898204;1660084
salmon;1;2014-05-26 19-57-24 UTC;114836;3934772;97.16;233864;2236768;3854776;46.77;1898228;1660076
salmon;1;2014-05-26 19-57-25 UTC;116976;3932632;97.11;233868;2234272;3854776;46.77;1898272;1657600
salmon;1;2014-05-26 19-57-26 UTC;116976;3932632;97.11;233868;2234600;3854776;46.77;1898288;1657876
salmon;1;2014-05-26 19-57-27 UTC;114016;3935592;97.18;233880;2238256;3854776;46.77;1898396;1661280
salmon;1;2014-05-26 19-57-28 UTC;108320;3941288;97.33;233880;2242512;3855008;46.77;1898664;1665860
salmon;1;2014-05-26 19-57-29 UTC;116628;3932980;97.12;233888;2234548;3855008;46.77;1898496;1657756
salmon;1;2014-05-26 19-57-30 UTC;110016;3939592;97.28;233900;2241196;3868808;46.94;1898676;1664300
