# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle;;;;
salmon;1;2014-05-26 01-38-10 UTC;-1;10.33;0;84.89;0;0;4.79;;firefox;%user;%system
salmon;1;2014-05-26 01-38-11 UTC;-1;12.03;0;87.97;0;0;0;;no lttng;10.3548333333;88.1293333333
salmon;1;2014-05-26 01-38-12 UTC;-1;12.22;0;87.78;0;0;0;;lttng;8.2261157025;90.1724793388
salmon;1;2014-05-26 01-38-13 UTC;-1;3.73;0;96.27;0;0;0;;;;
salmon;1;2014-05-26 01-38-14 UTC;-1;6.23;0;93.77;0;0;0;;;;
salmon;1;2014-05-26 01-38-15 UTC;-1;1.5;0;98.5;0;0;0;;;;
salmon;1;2014-05-26 01-38-16 UTC;-1;2.76;0;97.24;0;0;0;;;;
salmon;1;2014-05-26 01-38-17 UTC;-1;5.5;0;94.5;0;0;0;;;;
salmon;1;2014-05-26 01-38-18 UTC;-1;9.5;0;90.5;0;0;0;;;;
salmon;1;2014-05-26 01-38-19 UTC;-1;9.73;0;90.27;0;0;0;;;;
salmon;1;2014-05-26 01-38-20 UTC;-1;10.25;0;89.75;0;0;0;;;;
salmon;1;2014-05-26 01-38-21 UTC;-1;7.25;0;92.75;0;0;0;;;;
salmon;1;2014-05-26 01-38-22 UTC;-1;8.75;0;91.25;0;0;0;;;;
salmon;1;2014-05-26 01-38-23 UTC;-1;9.79;0;81.44;6.7;0;2.06;;;;
salmon;1;2014-05-26 01-38-24 UTC;-1;7.81;0;88.92;2.02;0;1.26;;;;
salmon;1;2014-05-26 01-38-25 UTC;-1;6.03;0;93.47;0.25;0;0.25;;;;
salmon;1;2014-05-26 01-38-26 UTC;-1;5.76;0;94.24;0;0;0;;;;
salmon;1;2014-05-26 01-38-27 UTC;-1;6.5;0;93.5;0;0;0;;;;
salmon;1;2014-05-26 01-38-28 UTC;-1;5.61;0;89.54;3.57;0;1.28;;;;
salmon;1;2014-05-26 01-38-29 UTC;-1;9.98;0;90.02;0;0;0;;;;
salmon;1;2014-05-26 01-38-30 UTC;-1;9;0;91;0;0;0;;;;
salmon;1;2014-05-26 01-38-31 UTC;-1;9.25;0;90.75;0;0;0;;;;
salmon;1;2014-05-26 01-38-32 UTC;-1;11.75;0;88.25;0;0;0;;;;
salmon;1;2014-05-26 01-38-33 UTC;-1;8.84;0;88.89;1.52;0;0.76;;;;
salmon;1;2014-05-26 01-38-34 UTC;-1;11;0;88.75;0.25;0;0;;;;
salmon;1;2014-05-26 01-38-35 UTC;-1;11.25;0;88.75;0;0;0;;;;
salmon;1;2014-05-26 01-38-36 UTC;-1;11.47;0;88.53;0;0;0;;;;
salmon;1;2014-05-26 01-38-37 UTC;-1;10.53;0;89.47;0;0;0;;;;
salmon;1;2014-05-26 01-38-38 UTC;-1;15.04;0;84.96;0;0;0;;;;
salmon;1;2014-05-26 01-38-39 UTC;-1;11.45;0;85.24;2.54;0;0.76;;;;
salmon;1;2014-05-26 01-38-40 UTC;-1;11.59;0;85.39;3.02;0;0;;;;
salmon;1;2014-05-26 01-38-41 UTC;-1;14;0;86;0;0;0;;;;
salmon;1;2014-05-26 01-38-42 UTC;-1;11.25;0;88.75;0;0;0;;;;
salmon;1;2014-05-26 01-38-43 UTC;-1;4.07;0;73.71;9.21;0;13.01;;;;
salmon;1;2014-05-26 01-38-44 UTC;-1;2.04;0;90.84;5.34;0;1.78;;;;
salmon;1;2014-05-26 01-38-45 UTC;-1;1.35;0;74.66;12.4;0;11.59;;;;
salmon;1;2014-05-26 01-38-46 UTC;-1;15.99;0;77.66;3.05;0;3.3;;;;
salmon;1;2014-05-26 01-38-47 UTC;-1;13.53;0;86.47;0;0;0;;;;
salmon;1;2014-05-26 01-38-48 UTC;-1;11.47;0;88.53;0;0;0;;;;
salmon;1;2014-05-26 01-38-49 UTC;-1;13.25;0;86.75;0;0;0;;;;
salmon;1;2014-05-26 01-38-50 UTC;-1;14.46;0;85.54;0;0;0;;;;
salmon;1;2014-05-26 01-38-51 UTC;-1;16.29;0;83.71;0;0;0;;;;
salmon;1;2014-05-26 01-38-52 UTC;-1;14.79;0;84.96;0.25;0;0;;;;
salmon;1;2014-05-26 01-38-53 UTC;-1;14.5;0;85.5;0;0;0;;;;
salmon;1;2014-05-26 01-38-54 UTC;-1;12.72;0;87.28;0;0;0;;;;
salmon;1;2014-05-26 01-38-55 UTC;-1;14.5;0;85.5;0;0;0;;;;
salmon;1;2014-05-26 01-38-56 UTC;-1;11.28;0;88.72;0;0;0;;;;
salmon;1;2014-05-26 01-38-57 UTC;-1;9.5;0;90.5;0;0;0;;;;
