# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;;;;
salmon;1;2014-05-26 01-38-10 UTC;1516424;2533184;62.55;220980;1177936;3460068;41.98;1504784;833248;;firefox;%user;%system
salmon;1;2014-05-26 01-38-11 UTC;1489204;2560404;63.23;221484;1177712;3518752;42.69;1546452;818192;;no lttng;1203.5651041667;2751.1302083333
salmon;1;2014-05-26 01-38-12 UTC;1473688;2575920;63.61;221932;1177452;3583880;43.48;1560488;818000;;lttng;1193.2757295971;2761.4195829029
salmon;1;2014-05-26 01-38-13 UTC;1471996;2577612;63.65;222688;1178852;3581832;43.46;1561152;819744;;;;
salmon;1;2014-05-26 01-38-14 UTC;1467020;2582588;63.77;223400;1180940;3593100;43.6;1564012;822548;;;;
salmon;1;2014-05-26 01-38-15 UTC;1466384;2583224;63.79;223928;1180292;3593100;43.6;1564664;822012;;;;
salmon;1;2014-05-26 01-38-16 UTC;1465020;2584588;63.82;224484;1181052;3594124;43.61;1565296;822944;;;;
salmon;1;2014-05-26 01-38-17 UTC;1454340;2595268;64.09;225240;1179588;3621844;43.94;1577756;820732;;;;
salmon;1;2014-05-26 01-38-18 UTC;1438220;2611388;64.48;225784;1179200;3653852;44.33;1593272;820908;;;;
salmon;1;2014-05-26 01-38-19 UTC;1422052;2627556;64.88;226424;1180396;3668508;44.51;1608124;822304;;;;
salmon;1;2014-05-26 01-38-20 UTC;1412440;2637168;65.12;226852;1184552;3678348;44.63;1613216;826592;;;;
salmon;1;2014-05-26 01-38-21 UTC;1429104;2620504;64.71;227572;1179868;3684140;44.7;1600520;822632;;;;
salmon;1;2014-05-26 01-38-22 UTC;1415304;2634304;65.05;228152;1182204;3686636;44.73;1612424;824884;;;;
salmon;1;2014-05-26 01-38-23 UTC;1401272;2648336;65.4;228352;1181632;3694824;44.83;1626636;823804;;;;
salmon;1;2014-05-26 01-38-24 UTC;1390396;2659212;65.67;228752;1186504;3708260;44.99;1632836;828052;;;;
salmon;1;2014-05-26 01-38-25 UTC;1386132;2663476;65.77;229096;1184900;3713508;45.06;1638640;826296;;;;
salmon;1;2014-05-26 01-38-26 UTC;1384180;2665428;65.82;229096;1183616;3717604;45.11;1642880;823972;;;;
salmon;1;2014-05-26 01-38-27 UTC;1375964;2673644;66.02;229272;1190236;3719716;45.13;1646004;830072;;;;
salmon;1;2014-05-26 01-38-28 UTC;1364864;2684744;66.3;229396;1190372;3741568;45.4;1655984;829796;;;;
salmon;1;2014-05-26 01-38-29 UTC;1341584;2708024;66.87;229856;1192996;3804376;46.16;1676768;831672;;;;
salmon;1;2014-05-26 01-38-30 UTC;1313276;2736332;67.57;230452;1192912;3908940;47.43;1703564;831884;;;;
salmon;1;2014-05-26 01-38-31 UTC;1306632;2742976;67.73;230776;1189996;3920340;47.57;1713468;828440;;;;
salmon;1;2014-05-26 01-38-32 UTC;1289184;2760424;68.17;231212;1194560;3958936;48.03;1727328;832720;;;;
salmon;1;2014-05-26 01-38-33 UTC;1271808;2777800;68.59;231744;1197100;3989900;48.41;1741736;834964;;;;
salmon;1;2014-05-26 01-38-34 UTC;1283092;2766516;68.32;232420;1195156;3978992;48.28;1733608;831968;;;;
salmon;1;2014-05-26 01-38-35 UTC;1282776;2766832;68.32;233016;1195052;3996620;48.49;1733512;831916;;;;
salmon;1;2014-05-26 01-38-36 UTC;1274624;2774984;68.52;233316;1195268;4004620;48.59;1742292;831612;;;;
salmon;1;2014-05-26 01-38-37 UTC;1282952;2766656;68.32;233912;1196384;4029072;48.89;1733272;832384;;;;
salmon;1;2014-05-26 01-38-38 UTC;1240712;2808896;69.36;234468;1200760;4130916;50.12;1771004;836124;;;;
salmon;1;2014-05-26 01-38-39 UTC;1223784;2825824;69.78;234844;1198668;4150296;50.36;1789676;834044;;;;
salmon;1;2014-05-26 01-38-40 UTC;1219492;2830116;69.89;235280;1201764;4149272;50.34;1791496;836448;;;;
salmon;1;2014-05-26 01-38-41 UTC;1204144;2845464;70.27;235844;1202932;4161624;50.49;1806052;837148;;;;
salmon;1;2014-05-26 01-38-42 UTC;1194580;2855028;70.5;236188;1205860;4324372;52.47;1812504;838912;;;;
salmon;1;2014-05-26 01-38-43 UTC;1188384;2861224;70.65;236192;1207344;4169952;50.59;1816080;839948;;;;
salmon;1;2014-05-26 01-38-44 UTC;1188700;2860908;70.65;236192;1208116;4169952;50.59;1816720;840112;;;;
salmon;1;2014-05-26 01-38-45 UTC;1189080;2860528;70.64;236192;1208444;4169952;50.59;1817192;840244;;;;
salmon;1;2014-05-26 01-38-46 UTC;1190872;2858736;70.59;236212;1211020;4177984;50.69;1813852;842116;;;;
salmon;1;2014-05-26 01-38-47 UTC;1196940;2852668;70.44;236620;1209960;4180952;50.73;1809308;840372;;;;
salmon;1;2014-05-26 01-38-48 UTC;1179644;2869964;70.87;236944;1209396;4198604;50.94;1826176;840176;;;;
salmon;1;2014-05-26 01-38-49 UTC;1171288;2878320;71.08;237520;1210368;4206972;51.04;1834600;840664;;;;
salmon;1;2014-05-26 01-38-50 UTC;1158056;2891552;71.4;238224;1214820;4216348;51.16;1843632;844296;;;;
salmon;1;2014-05-26 01-38-51 UTC;1152564;2897044;71.54;238556;1211428;4222716;51.23;1852340;840848;;;;
salmon;1;2014-05-26 01-38-52 UTC;1142256;2907352;71.79;238904;1214200;4231100;51.34;1860460;843036;;;;
salmon;1;2014-05-26 01-38-53 UTC;1136616;2912992;71.93;239432;1212092;4240124;51.45;1867096;841060;;;;
salmon;1;2014-05-26 01-38-54 UTC;1116760;2932848;72.42;239836;1212300;4260988;51.7;1887288;840916;;;;
salmon;1;2014-05-26 01-38-55 UTC;1108480;2941128;72.63;240448;1212332;4268284;51.79;1895764;841312;;;;
salmon;1;2014-05-26 01-38-56 UTC;1108028;2941580;72.64;241000;1215108;4270332;51.81;1894244;843668;;;;
salmon;1;2014-05-26 01-38-57 UTC;1070896;2978712;73.56;241260;1217276;4306300;52.25;1928668;845920;;;;
salmon;1;2014-05-26 01-38-58 UTC;1035480;3014128;74.43;241928;1216232;4371196;53.04;1964212;844908;;;;
salmon;1;2014-05-26 01-38-59 UTC;999236;3050372;75.33;242428;1218556;4374864;53.08;1998872;847484;;;;
salmon;1;2014-05-26 01-39-00 UTC;988564;3061044;75.59;243044;1220440;4393640;53.31;2007220;849716;;;;
