# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-19-51 UTC;-1;3.98;0.00;87.31;1.99;0.00;6.72
salmon;1;2014-05-26 20-19-52 UTC;-1;11.00;0.00;89.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-53 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-54 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-55 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-56 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-57 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-58 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-19-59 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-00 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-01 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-02 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-03 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-04 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-05 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-06 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-07 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-08 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-09 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-10 UTC;-1;3.02;0.00;96.98;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-20-16 UTC;-1;11.00;0.00;86.50;0.00;0.00;2.50
salmon;1;2014-05-26 20-20-17 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-18 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-19 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-20 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-21 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-22 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-23 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-24 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-25 UTC;-1;1.00;0.00;98.75;0.25;0.00;0.00
salmon;1;2014-05-26 20-20-26 UTC;-1;1.49;0.00;98.51;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-27 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-28 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-29 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-30 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-31 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-32 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-33 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-34 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 20-20-35 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
