# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-19-51 UTC;340644;3708964;91.59;227228;2028056;3831004;46.48;1929644;1411792
salmon;1;2014-05-26 20-19-52 UTC;333692;3715916;91.76;227256;2033944;3832572;46.50;1934744;1413472
salmon;1;2014-05-26 20-19-53 UTC;332320;3717288;91.79;227256;2034836;3832572;46.50;1934884;1414536
salmon;1;2014-05-26 20-19-54 UTC;334304;3715304;91.74;227256;2033316;3832572;46.50;1934904;1413184
salmon;1;2014-05-26 20-19-55 UTC;337680;3711928;91.66;227260;2029416;3832744;46.50;1934940;1409036
salmon;1;2014-05-26 20-19-56 UTC;338024;3711584;91.65;227280;2028384;3832744;46.50;1935244;1408296
salmon;1;2014-05-26 20-19-57 UTC;335792;3713816;91.71;227292;2031492;3832744;46.50;1935104;1411220
salmon;1;2014-05-26 20-19-58 UTC;331576;3718032;91.81;227300;2035528;3832828;46.50;1935232;1415124
salmon;1;2014-05-26 20-19-59 UTC;333188;3716420;91.77;227304;2034132;3832828;46.50;1935132;1413788
salmon;1;2014-05-26 20-20-00 UTC;338272;3711336;91.65;227312;2028436;3832828;46.50;1934948;1408100
salmon;1;2014-05-26 20-20-01 UTC;332272;3717336;91.79;227316;2033536;3890972;47.21;1935888;1413196
salmon;1;2014-05-26 20-20-02 UTC;336816;3712792;91.68;227332;2028752;3825404;46.41;1935996;1408448
salmon;1;2014-05-26 20-20-03 UTC;333716;3715892;91.76;227336;2031456;3825720;46.42;1936420;1411148
salmon;1;2014-05-26 20-20-04 UTC;334072;3715536;91.75;227336;2030812;3826012;46.42;1936488;1410360
salmon;1;2014-05-26 20-20-05 UTC;335080;3714528;91.73;227356;2029984;3826024;46.42;1936896;1409792
salmon;1;2014-05-26 20-20-06 UTC;333592;3716016;91.76;227356;2031572;3826024;46.42;1936788;1411096
salmon;1;2014-05-26 20-20-07 UTC;334088;3715520;91.75;227372;2031708;3826024;46.42;1936828;1411276
salmon;1;2014-05-26 20-20-08 UTC;331492;3718116;91.81;227420;2032896;3826024;46.42;1936940;1412488
salmon;1;2014-05-26 20-20-09 UTC;333940;3715668;91.75;227532;2030752;3850616;46.72;1936932;1410572
salmon;1;2014-05-26 20-20-10 UTC;334304;3715304;91.74;227548;2029284;3851828;46.73;1937412;1409444
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-20-16 UTC;332436;3717172;91.79;227632;2029308;3832680;46.50;1917220;1427128
salmon;1;2014-05-26 20-20-17 UTC;331700;3717908;91.81;227636;2029756;3832680;46.50;1917376;1427504
salmon;1;2014-05-26 20-20-18 UTC;331692;3717916;91.81;227636;2029640;3832680;46.50;1917448;1427204
salmon;1;2014-05-26 20-20-19 UTC;331444;3718164;91.82;227636;2029824;3832680;46.50;1917552;1427248
salmon;1;2014-05-26 20-20-20 UTC;331444;3718164;91.82;227636;2029824;3832680;46.50;1917588;1427360
salmon;1;2014-05-26 20-20-21 UTC;331320;3718288;91.82;227636;2029900;3832680;46.50;1917640;1427236
salmon;1;2014-05-26 20-20-22 UTC;331072;3718536;91.82;227636;2029868;3832680;46.50;1920484;1424524
salmon;1;2014-05-26 20-20-23 UTC;331320;3718288;91.82;227636;2029848;3832680;46.50;1923356;1421620
salmon;1;2014-05-26 20-20-24 UTC;331320;3718288;91.82;227640;2029932;3832680;46.50;1923616;1421460
salmon;1;2014-05-26 20-20-25 UTC;331196;3718412;91.82;227640;2030096;3832680;46.50;1923712;1421520
salmon;1;2014-05-26 20-20-26 UTC;331072;3718536;91.82;227648;2030280;3832680;46.50;1923928;1421556
salmon;1;2014-05-26 20-20-27 UTC;326360;3723248;91.94;227652;2034828;3832680;46.50;1933728;1416124
salmon;1;2014-05-26 20-20-28 UTC;327848;3721760;91.90;227652;2033020;3832680;46.50;1934032;1414044
salmon;1;2014-05-26 20-20-29 UTC;326236;3723372;91.94;227652;2034648;3832800;46.50;1934700;1415304
salmon;1;2014-05-26 20-20-30 UTC;322392;3727216;92.04;227652;2038416;3832800;46.50;1935004;1418792
salmon;1;2014-05-26 20-20-31 UTC;324376;3725232;91.99;227680;2036088;3832800;46.50;1935316;1416212
salmon;1;2014-05-26 20-20-32 UTC;323516;3726092;92.01;227680;2036924;3832800;46.50;1935336;1416768
salmon;1;2014-05-26 20-20-33 UTC;323648;3725960;92.01;227680;2036684;3832800;46.50;1935380;1416704
salmon;1;2014-05-26 20-20-34 UTC;323276;3726332;92.02;227684;2037364;3832800;46.50;1936128;1416504
salmon;1;2014-05-26 20-20-35 UTC;329700;3719908;91.86;227684;2029404;3834420;46.52;1936168;1408760
