# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-37-51 UTC;-1;11.34;0.00;82.62;0.00;0.00;6.05
salmon;1;2014-05-26 03-37-52 UTC;-1;17.50;0.00;82.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-53 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-54 UTC;-1;10.28;0.00;89.72;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-55 UTC;-1;8.27;0.00;91.73;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-56 UTC;-1;7.96;0.00;92.04;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-57 UTC;-1;6.02;0.00;93.98;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-58 UTC;-1;8.50;0.00;91.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-37-59 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-00 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-01 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-02 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-03 UTC;-1;6.77;0.00;93.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-04 UTC;-1;4.49;0.00;95.51;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-05 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-06 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-07 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-08 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-09 UTC;-1;5.47;0.00;94.53;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-10 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-38-16 UTC;-1;9.23;0.00;84.79;0.00;0.00;5.99
salmon;1;2014-05-26 03-38-17 UTC;-1;14.54;0.00;85.46;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-18 UTC;-1;9.48;0.00;90.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-19 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-20 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-21 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-22 UTC;-1;4.76;0.00;95.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-23 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-24 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-25 UTC;-1;6.52;0.00;93.48;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-26 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-27 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-28 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-29 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-30 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-31 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-32 UTC;-1;3.48;0.00;96.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-33 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-34 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-38-35 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
