# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-37-51 UTC;866976;3182632;78.59;322896;1500580;3799772;46.10;2046084;902156
salmon;1;2014-05-26 03-37-52 UTC;869624;3179984;78.53;322896;1495448;3802628;46.14;2048960;897020
salmon;1;2014-05-26 03-37-53 UTC;847240;3202368;79.08;322900;1497572;3822480;46.38;2074924;893404
salmon;1;2014-05-26 03-37-54 UTC;824188;3225420;79.65;322908;1500904;3841800;46.61;2102440;888484
salmon;1;2014-05-26 03-37-55 UTC;813748;3235860;79.91;322912;1503008;3859480;46.83;2114900;886792
salmon;1;2014-05-26 03-37-56 UTC;818164;3231444;79.80;322916;1498356;3859612;46.83;2115204;882276
salmon;1;2014-05-26 03-37-57 UTC;816472;3233136;79.84;322916;1500052;3859612;46.83;2115284;883776
salmon;1;2014-05-26 03-37-58 UTC;817092;3232516;79.82;322916;1499316;3859612;46.83;2115272;883316
salmon;1;2014-05-26 03-37-59 UTC;820464;3229144;79.74;322916;1495336;3859612;46.83;2115228;879460
salmon;1;2014-05-26 03-38-00 UTC;819636;3229972;79.76;322920;1495568;3860352;46.84;2115880;879608
salmon;1;2014-05-26 03-38-01 UTC;816180;3233428;79.85;322920;1499464;3860352;46.84;2115984;883612
salmon;1;2014-05-26 03-38-02 UTC;815528;3234080;79.86;322920;1500156;3860352;46.84;2116056;884080
salmon;1;2014-05-26 03-38-03 UTC;818876;3230732;79.78;322920;1496472;3860352;46.84;2116092;880300
salmon;1;2014-05-26 03-38-04 UTC;815156;3234452;79.87;322920;1499848;3860352;46.84;2116156;883628
salmon;1;2014-05-26 03-38-05 UTC;816028;3233580;79.85;322924;1500560;3860352;46.84;2116200;884248
salmon;1;2014-05-26 03-38-06 UTC;815840;3233768;79.85;322928;1499968;3860352;46.84;2116192;883676
salmon;1;2014-05-26 03-38-07 UTC;817204;3232404;79.82;322932;1498664;3860352;46.84;2116164;881960
salmon;1;2014-05-26 03-38-08 UTC;819420;3230188;79.77;322936;1496076;3860352;46.84;2116184;879624
salmon;1;2014-05-26 03-38-09 UTC;817384;3232224;79.82;322936;1497980;3860352;46.84;2116220;881736
salmon;1;2014-05-26 03-38-10 UTC;814608;3235000;79.88;322940;1500292;3861856;46.86;2116532;883960
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-38-16 UTC;945808;3103800;76.64;322964;1495636;3703044;44.93;1984584;882136
salmon;1;2014-05-26 03-38-17 UTC;936444;3113164;76.88;322964;1502424;3705484;44.96;1988412;887500
salmon;1;2014-05-26 03-38-18 UTC;931156;3118452;77.01;322964;1495428;3716940;45.10;2002144;878740
salmon;1;2014-05-26 03-38-19 UTC;916384;3133224;77.37;322964;1494896;3732296;45.28;2017252;878208
salmon;1;2014-05-26 03-38-20 UTC;905348;3144260;77.64;322968;1495680;3743156;45.42;2028252;878732
salmon;1;2014-05-26 03-38-21 UTC;900768;3148840;77.76;322968;1495740;3747572;45.47;2032700;878748
salmon;1;2014-05-26 03-38-22 UTC;892460;3157148;77.96;322972;1497116;3762852;45.66;2039760;880040
salmon;1;2014-05-26 03-38-23 UTC;886632;3162976;78.11;322972;1502312;3762984;45.66;2039760;885304
salmon;1;2014-05-26 03-38-24 UTC;891220;3158388;77.99;322972;1497520;3762984;45.66;2039616;880660
salmon;1;2014-05-26 03-38-25 UTC;892452;3157156;77.96;322972;1495124;3763800;45.67;2040316;878328
salmon;1;2014-05-26 03-38-26 UTC;892204;3157404;77.97;322972;1495532;3763800;45.67;2040540;878520
salmon;1;2014-05-26 03-38-27 UTC;892792;3156816;77.95;322972;1495544;3763800;45.67;2040396;878476
salmon;1;2014-05-26 03-38-28 UTC;892668;3156940;77.96;322976;1495204;3763800;45.67;2040464;878256
salmon;1;2014-05-26 03-38-29 UTC;888452;3161156;78.06;322976;1499636;3763800;45.67;2040664;882996
salmon;1;2014-05-26 03-38-30 UTC;891924;3157684;77.98;322980;1496156;3763800;45.67;2040564;879144
salmon;1;2014-05-26 03-38-31 UTC;892388;3157220;77.96;322980;1495400;3763800;45.67;2040496;878460
salmon;1;2014-05-26 03-38-32 UTC;892324;3157284;77.97;322980;1495656;3763800;45.67;2040520;878672
salmon;1;2014-05-26 03-38-33 UTC;887976;3161632;78.07;322988;1499552;3763796;45.67;2040632;882664
salmon;1;2014-05-26 03-38-34 UTC;887332;3162276;78.09;322992;1501064;3763796;45.67;2040680;883820
salmon;1;2014-05-26 03-38-35 UTC;885572;3164036;78.13;322992;1502216;3765524;45.69;2040928;884872
