# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-31-58 UTC;-1;9.55;0.00;83.67;0.75;0.00;6.03
salmon;1;2014-05-26 03-31-59 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-00 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-01 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-02 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-03 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-04 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-05 UTC;-1;3.23;0.00;96.77;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-06 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-07 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-08 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-09 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-10 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-11 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-12 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-13 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-14 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-15 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-16 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-17 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-32-24 UTC;-1;7.59;0.00;87.09;0.00;0.00;5.32
salmon;1;2014-05-26 03-32-25 UTC;-1;5.96;0.00;94.04;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-26 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-27 UTC;-1;7.75;0.00;92.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-28 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-29 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-30 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-31 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-32 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-33 UTC;-1;13.50;0.00;86.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-34 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-35 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-36 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-37 UTC;-1;6.02;0.00;93.98;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-38 UTC;-1;7.48;0.00;92.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-39 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-40 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-41 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-42 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-32-43 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
