# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-28-43 UTC;-1;8.59;0.00;85.86;0.00;0.00;5.56
salmon;1;2014-05-26 03-28-44 UTC;-1;12.22;0.00;87.78;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-45 UTC;-1;10.50;0.00;89.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-46 UTC;-1;9.77;0.00;90.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-47 UTC;-1;9.73;0.00;90.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-48 UTC;-1;9.73;0.00;90.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-49 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-50 UTC;-1;10.78;0.00;89.22;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-51 UTC;-1;20.00;0.00;80.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-52 UTC;-1;20.25;0.00;79.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-53 UTC;-1;18.50;0.00;81.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-54 UTC;-1;18.30;0.00;81.70;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-55 UTC;-1;17.21;0.00;82.79;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-56 UTC;-1;9.80;0.00;90.20;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-57 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-58 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-28-59 UTC;-1;16.42;0.00;83.58;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-00 UTC;-1;18.20;0.00;81.80;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-01 UTC;-1;20.55;0.00;79.45;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-02 UTC;-1;19.00;0.00;81.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-29-08 UTC;-1;5.49;0.00;89.78;0.25;0.00;4.49
salmon;1;2014-05-26 03-29-09 UTC;-1;11.28;0.00;88.72;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-10 UTC;-1;9.25;0.00;90.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-11 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-12 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-13 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-14 UTC;-1;7.25;0.00;92.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-15 UTC;-1;10.78;0.00;89.22;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-16 UTC;-1;14.21;0.00;85.79;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-17 UTC;-1;13.75;0.00;86.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-18 UTC;-1;16.29;0.00;83.71;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-19 UTC;-1;17.75;0.00;82.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-20 UTC;-1;16.71;0.00;83.29;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-21 UTC;-1;10.25;0.00;89.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-22 UTC;-1;11.03;0.00;88.97;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-23 UTC;-1;12.97;0.00;87.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-24 UTC;-1;13.50;0.00;86.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-25 UTC;-1;13.75;0.00;86.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-26 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-29-27 UTC;-1;6.77;0.00;93.23;0.00;0.00;0.00
