# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-28-43 UTC;1051436;2998172;74.04;317072;1406204;3748852;45.49;1918592;858428
salmon;1;2014-05-26 03-28-44 UTC;1050520;2999088;74.06;317076;1404056;3751540;45.52;1921556;856352
salmon;1;2014-05-26 03-28-45 UTC;1045016;3004592;74.19;317080;1409540;3752232;45.53;1922316;861436
salmon;1;2014-05-26 03-28-46 UTC;1047140;3002468;74.14;317096;1406576;3753028;45.54;1923260;858648
salmon;1;2014-05-26 03-28-47 UTC;1046380;3003228;74.16;317096;1406388;3754056;45.55;1924076;858324
salmon;1;2014-05-26 03-28-48 UTC;1039136;3010472;74.34;317108;1406800;3755720;45.57;1930616;858944
salmon;1;2014-05-26 03-28-49 UTC;1038500;3011108;74.36;317120;1406312;3756948;45.58;1931568;858440
salmon;1;2014-05-26 03-28-50 UTC;1036328;3013280;74.41;317124;1408736;3756948;45.58;1931504;860792
salmon;1;2014-05-26 03-28-51 UTC;1034792;3014816;74.45;317136;1409556;3756948;45.58;1932012;861496
salmon;1;2014-05-26 03-28-52 UTC;1033984;3015624;74.47;317152;1410416;3757192;45.59;1932376;862224
salmon;1;2014-05-26 03-28-53 UTC;1034808;3014800;74.45;317160;1409092;3757704;45.59;1932904;860732
salmon;1;2014-05-26 03-28-54 UTC;1039212;3010396;74.34;317160;1404716;3757192;45.59;1932400;856796
salmon;1;2014-05-26 03-28-55 UTC;1036608;3013000;74.40;317164;1406476;3758216;45.60;1933568;858332
salmon;1;2014-05-26 03-28-56 UTC;1037664;3011944;74.38;317172;1405032;3758216;45.60;1933840;856456
salmon;1;2014-05-26 03-28-57 UTC;1031076;3018532;74.54;317184;1412468;3758216;45.60;1933836;863844
salmon;1;2014-05-26 03-28-58 UTC;1036708;3012900;74.40;317184;1404804;3759248;45.61;1934728;856684
salmon;1;2014-05-26 03-28-59 UTC;1032476;3017132;74.50;317192;1409216;3759248;45.61;1935112;860580
salmon;1;2014-05-26 03-29-00 UTC;1034472;3015136;74.46;317204;1407264;3759440;45.61;1935156;858632
salmon;1;2014-05-26 03-29-01 UTC;1033972;3015636;74.47;317208;1407712;3759628;45.62;1935448;859068
salmon;1;2014-05-26 03-29-02 UTC;1028900;3020708;74.59;317220;1413068;3760796;45.63;1935688;864120
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-29-08 UTC;1052612;2996996;74.01;317244;1406396;3730208;45.26;1910240;861140
salmon;1;2014-05-26 03-29-09 UTC;1044312;3005296;74.21;317244;1406416;3751060;45.51;1922256;857824
salmon;1;2014-05-26 03-29-10 UTC;1037616;3011992;74.38;317248;1412948;3751672;45.52;1922848;864120
salmon;1;2014-05-26 03-29-11 UTC;1041832;3007776;74.27;317248;1406124;3753140;45.54;1924336;857328
salmon;1;2014-05-26 03-29-12 UTC;1030796;3018812;74.55;317256;1417312;3754232;45.55;1925724;868096
salmon;1;2014-05-26 03-29-13 UTC;1033780;3015828;74.47;317256;1407616;3755424;45.57;1931756;858752
salmon;1;2014-05-26 03-29-14 UTC;1033656;3015952;74.48;317256;1406376;3756972;45.58;1932764;857512
salmon;1;2014-05-26 03-29-15 UTC;1027068;3022540;74.64;317256;1413276;3756972;45.58;1932964;864260
salmon;1;2014-05-26 03-29-16 UTC;1031540;3018068;74.53;317260;1407784;3757348;45.59;1933556;858800
salmon;1;2014-05-26 03-29-17 UTC;1032904;3016704;74.49;317268;1406832;3757348;45.59;1933744;857764
salmon;1;2014-05-26 03-29-18 UTC;1025740;3023868;74.67;317268;1413820;3757348;45.59;1934020;864356
salmon;1;2014-05-26 03-29-19 UTC;1029432;3020176;74.58;317272;1410112;3757348;45.59;1933960;860980
salmon;1;2014-05-26 03-29-20 UTC;1032408;3017200;74.51;317272;1406492;3757348;45.59;1933908;857392
salmon;1;2014-05-26 03-29-21 UTC;1028440;3021168;74.60;317272;1410536;3757348;45.59;1934108;861180
salmon;1;2014-05-26 03-29-22 UTC;1032408;3017200;74.51;317276;1406280;3757348;45.59;1934008;857076
salmon;1;2014-05-26 03-29-23 UTC;1025552;3024056;74.68;317276;1413376;3757348;45.59;1934168;863964
salmon;1;2014-05-26 03-29-24 UTC;1026092;3023516;74.66;317276;1413072;3757348;45.59;1934104;863788
salmon;1;2014-05-26 03-29-25 UTC;1028244;3021364;74.61;317276;1410760;3757348;45.59;1934032;861472
salmon;1;2014-05-26 03-29-26 UTC;1028200;3021408;74.61;317280;1411164;3757348;45.59;1934040;861872
salmon;1;2014-05-26 03-29-27 UTC;1031896;3017712;74.52;317280;1406640;3759276;45.61;1934428;857460
