# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-35-20 UTC;-1;23.93;0.00;72.04;0.00;0.00;4.03
salmon;1;2014-05-26 03-35-21 UTC;-1;22.50;0.00;77.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-22 UTC;-1;20.00;0.00;80.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-23 UTC;-1;18.05;0.00;81.95;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-24 UTC;-1;19.06;0.00;80.94;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-25 UTC;-1;21.41;0.00;78.59;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-26 UTC;-1;19.25;0.00;80.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-27 UTC;-1;20.45;0.00;79.55;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-28 UTC;-1;24.75;0.00;75.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-29 UTC;-1;20.55;0.00;79.45;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-30 UTC;-1;21.75;0.00;78.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-31 UTC;-1;18.75;0.00;81.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-32 UTC;-1;14.25;0.00;85.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-33 UTC;-1;15.21;0.00;84.54;0.00;0.00;0.25
salmon;1;2014-05-26 03-35-34 UTC;-1;12.50;0.00;87.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-35 UTC;-1;13.50;0.00;86.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-36 UTC;-1;18.25;0.00;81.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-37 UTC;-1;16.92;0.00;83.08;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-38 UTC;-1;24.69;0.00;75.31;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-39 UTC;-1;21.25;0.00;78.75;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-35-46 UTC;-1;12.56;0.00;82.41;0.00;0.00;5.03
salmon;1;2014-05-26 03-35-47 UTC;-1;10.75;0.00;89.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-48 UTC;-1;7.73;0.00;92.27;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-49 UTC;-1;9.27;0.00;90.73;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-50 UTC;-1;9.48;0.00;90.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-51 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-52 UTC;-1;8.52;0.00;91.48;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-53 UTC;-1;17.00;0.00;83.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-54 UTC;-1;10.22;0.00;89.53;0.00;0.00;0.25
salmon;1;2014-05-26 03-35-55 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-56 UTC;-1;8.75;0.00;91.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-57 UTC;-1;10.95;0.00;89.05;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-58 UTC;-1;10.28;0.00;89.72;0.00;0.00;0.00
salmon;1;2014-05-26 03-35-59 UTC;-1;12.28;0.00;87.72;0.00;0.00;0.00
salmon;1;2014-05-26 03-36-00 UTC;-1;11.22;0.00;88.78;0.00;0.00;0.00
salmon;1;2014-05-26 03-36-01 UTC;-1;7.48;0.00;92.52;0.00;0.00;0.00
salmon;1;2014-05-26 03-36-02 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-36-03 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-36-04 UTC;-1;13.72;0.00;86.28;0.00;0.00;0.00
salmon;1;2014-05-26 03-36-05 UTC;-1;11.28;0.00;88.47;0.25;0.00;0.00
