# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-35-20 UTC;703576;3346032;82.63;321532;1471192;4081116;49.52;2237340;878824
salmon;1;2014-05-26 03-35-21 UTC;688396;3361212;83.00;321536;1462996;4115204;49.93;2260716;869432
salmon;1;2014-05-26 03-35-22 UTC;662160;3387448;83.65;321536;1465412;4139860;50.23;2285512;871632
salmon;1;2014-05-26 03-35-23 UTC;618076;3431532;84.74;321536;1463364;4186312;50.79;2331732;869600
salmon;1;2014-05-26 03-35-24 UTC;567680;3481928;85.98;321536;1465256;4238368;51.42;2380084;871680
salmon;1;2014-05-26 03-35-25 UTC;504816;3544792;87.53;321540;1463372;4299020;52.16;2444608;869668
salmon;1;2014-05-26 03-35-26 UTC;478364;3571244;88.19;321540;1468184;4321560;52.43;2467080;873888
salmon;1;2014-05-26 03-35-27 UTC;474020;3575588;88.29;321540;1468196;4325516;52.48;2471596;873736
salmon;1;2014-05-26 03-35-28 UTC;471500;3578108;88.36;321540;1470824;4325516;52.48;2471736;876284
salmon;1;2014-05-26 03-35-29 UTC;471908;3577700;88.35;321540;1463948;4331660;52.56;2477612;869276
salmon;1;2014-05-26 03-35-30 UTC;460308;3589300;88.63;321540;1475276;4331660;52.56;2478096;880460
salmon;1;2014-05-26 03-35-31 UTC;463372;3586236;88.56;321544;1471880;4331660;52.56;2478036;877360
salmon;1;2014-05-26 03-35-32 UTC;425000;3624608;89.51;321544;1466696;4380812;53.15;2522088;872260
salmon;1;2014-05-26 03-35-33 UTC;418052;3631556;89.68;321544;1466728;4387660;53.24;2528748;872228
salmon;1;2014-05-26 03-35-34 UTC;408508;3641100;89.91;321544;1467808;4395224;53.33;2536756;873532
salmon;1;2014-05-26 03-35-35 UTC;390784;3658824;90.35;321544;1469252;4416516;53.59;2553992;874404
salmon;1;2014-05-26 03-35-36 UTC;352604;3697004;91.29;321544;1474448;4444860;53.93;2586240;879708
salmon;1;2014-05-26 03-35-37 UTC;333700;3715908;91.76;321544;1477380;4460916;54.13;2602292;882700
salmon;1;2014-05-26 03-35-38 UTC;336132;3713476;91.70;321548;1471904;4463768;54.16;2605108;877588
salmon;1;2014-05-26 03-35-39 UTC;334156;3715452;91.75;321548;1469932;4468752;54.22;2609152;875272
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-35-46 UTC;965064;3084544;76.17;321572;1470784;3753116;45.54;1956940;894232
salmon;1;2014-05-26 03-35-47 UTC;933312;3116296;76.95;321572;1470628;3797160;46.07;1989660;893112
salmon;1;2014-05-26 03-35-48 UTC;885720;3163888;78.13;321572;1470888;3844204;46.64;2050600;879504
salmon;1;2014-05-26 03-35-49 UTC;793236;3256372;80.41;321572;1471456;3942668;47.84;2143024;879608
salmon;1;2014-05-26 03-35-50 UTC;741756;3307852;81.68;321572;1473796;3984860;48.35;2192076;881660
salmon;1;2014-05-26 03-35-51 UTC;730020;3319588;81.97;321572;1473028;3996984;48.50;2207104;878056
salmon;1;2014-05-26 03-35-52 UTC;732440;3317168;81.91;321572;1470556;3996984;48.50;2206944;875788
salmon;1;2014-05-26 03-35-53 UTC;723944;3325664;82.12;321576;1471288;4001088;48.55;2214860;876448
salmon;1;2014-05-26 03-35-54 UTC;716840;3332768;82.30;321576;1473948;4001088;48.55;2220052;878824
salmon;1;2014-05-26 03-35-55 UTC;708492;3341116;82.50;321576;1481812;4001088;48.55;2220208;886796
salmon;1;2014-05-26 03-35-56 UTC;719092;3330516;82.24;321576;1470736;4001088;48.55;2220208;875972
salmon;1;2014-05-26 03-35-57 UTC;713976;3335632;82.37;321576;1475828;4001088;48.55;2220276;881140
salmon;1;2014-05-26 03-35-58 UTC;708504;3341104;82.50;321580;1481576;4001088;48.55;2220192;886580
salmon;1;2014-05-26 03-35-59 UTC;718284;3331324;82.26;321580;1471740;4001088;48.55;2220416;876724
salmon;1;2014-05-26 03-36-00 UTC;711460;3338148;82.43;321580;1478124;4001088;48.55;2220420;883076
salmon;1;2014-05-26 03-36-01 UTC;719340;3330268;82.24;321580;1470724;4001088;48.55;2220428;875624
salmon;1;2014-05-26 03-36-02 UTC;713792;3335816;82.37;321580;1473248;4004368;48.59;2223816;877960
salmon;1;2014-05-26 03-36-03 UTC;701392;3348216;82.68;321580;1478956;4011024;48.67;2230528;883640
salmon;1;2014-05-26 03-36-04 UTC;705236;3344372;82.59;321584;1474316;4011216;48.67;2230872;879424
salmon;1;2014-05-26 03-36-05 UTC;701156;3348452;82.69;321584;1477024;4013788;48.70;2231852;882120
