# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-30-34 UTC;-1;2.01;0.00;90.20;2.26;0.00;5.53
salmon;1;2014-05-26 03-30-35 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-36 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-37 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-38 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-39 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-40 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-41 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-42 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-43 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-44 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-45 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-46 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-47 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-48 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-49 UTC;-1;4.27;0.00;95.73;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-50 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-51 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-52 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-30-53 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 03-30-59 UTC;-1;12.78;0.00;82.21;0.00;0.00;5.01
salmon;1;2014-05-26 03-31-00 UTC;-1;11.03;0.00;88.97;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-01 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-02 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-03 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-04 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-05 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-06 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-07 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-08 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-09 UTC;-1;10.22;0.00;89.53;0.00;0.00;0.25
salmon;1;2014-05-26 03-31-10 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-11 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-12 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-13 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-14 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-15 UTC;-1;7.98;0.00;92.02;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-16 UTC;-1;7.25;0.00;92.75;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-17 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 03-31-18 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
