# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-30-34 UTC;1065516;2984092;73.69;317300;1409828;3671024;44.54;1884588;878932
salmon;1;2014-05-26 03-30-35 UTC;1059772;2989836;73.83;317332;1414136;3688412;44.75;1900872;868052
salmon;1;2014-05-26 03-30-36 UTC;1058244;2991364;73.87;317624;1414124;3688976;44.76;1904732;865096
salmon;1;2014-05-26 03-30-37 UTC;1053812;2995796;73.98;317648;1418604;3692920;44.81;1905412;869544
salmon;1;2014-05-26 03-30-38 UTC;1050556;2999052;74.06;317796;1418660;3696128;44.85;1908092;869636
salmon;1;2014-05-26 03-30-39 UTC;1048052;3001556;74.12;318420;1420544;3695520;44.84;1908540;871428
salmon;1;2014-05-26 03-30-40 UTC;1039728;3009880;74.33;318768;1426864;3695680;44.84;1909344;877792
salmon;1;2014-05-26 03-30-41 UTC;1041108;3008500;74.29;318768;1425180;3696336;44.85;1909464;876428
salmon;1;2014-05-26 03-30-42 UTC;1042624;3006984;74.25;318772;1420820;3698596;44.88;1911268;872132
salmon;1;2014-05-26 03-30-43 UTC;1037120;3012488;74.39;318772;1421392;3704852;44.95;1917084;872492
salmon;1;2014-05-26 03-30-44 UTC;1032640;3016968;74.50;318776;1425620;3704852;44.95;1917420;876876
salmon;1;2014-05-26 03-30-45 UTC;1033320;3016288;74.48;318776;1422312;3706268;44.97;1919592;873500
salmon;1;2014-05-26 03-30-46 UTC;1031664;3017944;74.52;318776;1422868;3707488;44.98;1920908;873960
salmon;1;2014-05-26 03-30-47 UTC;1014676;3034932;74.94;318916;1429324;3717816;45.11;1931400;880312
salmon;1;2014-05-26 03-30-48 UTC;1005984;3043624;75.16;318920;1430236;3725576;45.20;1939052;881432
salmon;1;2014-05-26 03-30-49 UTC;1005440;3044168;75.17;318936;1425372;3730412;45.26;1943884;876984
salmon;1;2014-05-26 03-30-50 UTC;1003176;3046432;75.23;318940;1428136;3730412;45.26;1944080;879280
salmon;1;2014-05-26 03-30-51 UTC;1008616;3040992;75.09;318944;1428032;3724624;45.19;1939532;878068
salmon;1;2014-05-26 03-30-52 UTC;1008500;3041108;75.10;318952;1426064;3728720;45.24;1943228;874428
salmon;1;2014-05-26 03-30-53 UTC;997912;3051696;75.36;318960;1426908;3738528;45.36;1953012;875284
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-30-59 UTC;1034064;3015544;74.47;318988;1427200;3695796;44.84;1906504;881360
salmon;1;2014-05-26 03-31-00 UTC;1012852;3036756;74.99;319000;1436748;3708116;44.99;1924432;884344
salmon;1;2014-05-26 03-31-01 UTC;1008140;3041468;75.11;319004;1431844;3717972;45.11;1937556;877296
salmon;1;2014-05-26 03-31-02 UTC;999220;3050388;75.33;319004;1426984;3730428;45.26;1950452;872236
salmon;1;2014-05-26 03-31-03 UTC;994260;3055348;75.45;319012;1432388;3730572;45.26;1950868;877164
salmon;1;2014-05-26 03-31-04 UTC;1003064;3046544;75.23;319020;1429484;3724420;45.19;1944688;874420
salmon;1;2014-05-26 03-31-05 UTC;1004784;3044824;75.19;319564;1427356;3724420;45.19;1944620;872844
salmon;1;2014-05-26 03-31-06 UTC;1004496;3045112;75.20;319852;1427528;3724420;45.19;1944716;873132
salmon;1;2014-05-26 03-31-07 UTC;998132;3051476;75.35;319852;1433960;3724420;45.19;1944980;879344
salmon;1;2014-05-26 03-31-08 UTC;1001464;3048144;75.27;319852;1430364;3724420;45.19;1944908;875764
salmon;1;2014-05-26 03-31-09 UTC;996256;3053352;75.40;319860;1433204;3728528;45.24;1947140;878488
salmon;1;2014-05-26 03-31-10 UTC;990056;3059552;75.55;319860;1427412;3744824;45.44;1958748;872972
salmon;1;2014-05-26 03-31-11 UTC;993884;3055724;75.46;319864;1437336;3724936;45.20;1945648;882616
salmon;1;2014-05-26 03-31-12 UTC;1002392;3047216;75.25;319876;1428908;3724936;45.20;1945484;874328
salmon;1;2014-05-26 03-31-13 UTC;998092;3051516;75.35;320116;1430840;3724936;45.20;1946048;875920
salmon;1;2014-05-26 03-31-14 UTC;993100;3056508;75.48;320180;1429616;3729556;45.25;1951096;874352
salmon;1;2014-05-26 03-31-15 UTC;975964;3073644;75.90;320180;1435544;3740644;45.39;1962304;880184
salmon;1;2014-05-26 03-31-16 UTC;967160;3082448;76.12;320184;1433836;3750560;45.51;1972140;878348
salmon;1;2014-05-26 03-31-17 UTC;970012;3079596;76.05;320188;1429412;3752760;45.53;1973508;874128
salmon;1;2014-05-26 03-31-18 UTC;965220;3084388;76.17;320188;1431556;3782284;45.89;1976236;876240
