# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-30-28 UTC;-1;6.75;0.00;85.75;1.25;0.00;6.25
salmon;1;2014-05-26 20-30-29 UTC;-1;13.03;0.00;86.97;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-30 UTC;-1;5.74;0.00;94.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-31 UTC;-1;5.01;0.00;94.99;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-32 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-33 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-34 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-35 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-36 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-37 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-38 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-39 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-40 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-41 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-42 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-43 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-44 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-45 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-46 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-47 UTC;-1;4.76;0.00;95.24;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-30-54 UTC;-1;11.34;0.00;83.12;0.00;0.00;5.54
salmon;1;2014-05-26 20-30-55 UTC;-1;6.52;0.00;93.48;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-56 UTC;-1;4.99;0.00;95.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-57 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-58 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-30-59 UTC;-1;1.75;0.00;98.00;0.25;0.00;0.00
salmon;1;2014-05-26 20-31-00 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-01 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-02 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-03 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-04 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-05 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-06 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-07 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-08 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-09 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-10 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-11 UTC;-1;3.23;0.00;96.77;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-12 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 20-31-13 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
