# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-30-28 UTC;339028;3710580;91.63;228872;2028920;3789968;45.98;1934528;1408064
salmon;1;2014-05-26 20-30-29 UTC;337692;3711916;91.66;228884;2030084;3790556;45.99;1935264;1409256
salmon;1;2014-05-26 20-30-30 UTC;337940;3711668;91.65;228884;2029376;3790556;45.99;1935424;1408476
salmon;1;2014-05-26 20-30-31 UTC;333448;3716160;91.77;228908;2033880;3790556;45.99;1935464;1412880
salmon;1;2014-05-26 20-30-32 UTC;334096;3715512;91.75;228912;2032916;3790556;45.99;1935484;1411760
salmon;1;2014-05-26 20-30-33 UTC;332468;3717140;91.79;228916;2034300;3790556;45.99;1935536;1413392
salmon;1;2014-05-26 20-30-34 UTC;335336;3714272;91.72;228932;2031588;3790556;45.99;1935452;1410632
salmon;1;2014-05-26 20-30-35 UTC;335452;3714156;91.72;228956;2031708;3790556;45.99;1935564;1410604
salmon;1;2014-05-26 20-30-36 UTC;332972;3716636;91.78;228964;2035008;3790556;45.99;1935552;1413676
salmon;1;2014-05-26 20-30-37 UTC;335824;3713784;91.71;228976;2031392;3790556;45.99;1935524;1410440
salmon;1;2014-05-26 20-30-38 UTC;337188;3712420;91.67;228988;2029456;3798792;46.09;1935596;1408488
salmon;1;2014-05-26 20-30-39 UTC;335452;3714156;91.72;228996;2031908;3798792;46.09;1935608;1410736
salmon;1;2014-05-26 20-30-40 UTC;335080;3714528;91.73;229004;2031672;3798792;46.09;1935696;1410472
salmon;1;2014-05-26 20-30-41 UTC;330120;3719488;91.85;229012;2036148;3798792;46.09;1935864;1415096
salmon;1;2014-05-26 20-30-42 UTC;336816;3712792;91.68;229016;2030228;3798792;46.09;1935688;1409084
salmon;1;2014-05-26 20-30-43 UTC;336568;3713040;91.69;229020;2030224;3806988;46.19;1935896;1409084
salmon;1;2014-05-26 20-30-44 UTC;336700;3712908;91.69;229020;2030048;3806988;46.19;1935972;1409064
salmon;1;2014-05-26 20-30-45 UTC;331020;3718588;91.83;229024;2036684;3807124;46.19;1935912;1415224
salmon;1;2014-05-26 20-30-46 UTC;334748;3714860;91.73;229028;2032208;3807124;46.19;1935920;1410940
salmon;1;2014-05-26 20-30-47 UTC;334588;3715020;91.74;229044;2031720;3808276;46.21;1936012;1410548
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-30-54 UTC;332284;3717324;91.79;229112;2030228;3790656;45.99;1917320;1427132
salmon;1;2014-05-26 20-30-55 UTC;332400;3717208;91.79;229116;2030068;3790656;45.99;1917612;1427140
salmon;1;2014-05-26 20-30-56 UTC;332144;3717464;91.80;229120;2030292;3790656;45.99;1917624;1427140
salmon;1;2014-05-26 20-30-57 UTC;332012;3717596;91.80;229120;2030516;3790656;45.99;1917616;1427288
salmon;1;2014-05-26 20-30-58 UTC;331920;3717688;91.80;229120;2030604;3790656;45.99;1917684;1427564
salmon;1;2014-05-26 20-30-59 UTC;331764;3717844;91.81;229124;2030600;3790656;45.99;1917776;1427564
salmon;1;2014-05-26 20-31-00 UTC;331268;3718340;91.82;229124;2030888;3790656;45.99;1918236;1427392
salmon;1;2014-05-26 20-31-01 UTC;331268;3718340;91.82;229124;2030884;3790656;45.99;1923684;1421792
salmon;1;2014-05-26 20-31-02 UTC;331020;3718588;91.83;229124;2030704;3790656;45.99;1929772;1415856
salmon;1;2014-05-26 20-31-03 UTC;330896;3718712;91.83;229124;2030960;3798832;46.09;1929896;1415804
salmon;1;2014-05-26 20-31-04 UTC;324200;3725408;91.99;229128;2038264;3798832;46.09;1934208;1418432
salmon;1;2014-05-26 20-31-05 UTC;321844;3727764;92.05;229144;2040140;3798832;46.09;1934748;1420108
salmon;1;2014-05-26 20-31-06 UTC;321348;3728260;92.06;229156;2040788;3798832;46.09;1935000;1420416
salmon;1;2014-05-26 20-31-07 UTC;330276;3719332;91.84;229156;2030528;3799104;46.10;1936848;1409032
salmon;1;2014-05-26 20-31-08 UTC;329780;3719828;91.86;229156;2031088;3799104;46.10;1936944;1409308
salmon;1;2014-05-26 20-31-09 UTC;329036;3720572;91.87;229156;2031792;3799104;46.10;1936988;1409944
salmon;1;2014-05-26 20-31-10 UTC;327424;3722184;91.91;229156;2033192;3799236;46.10;1937068;1411248
salmon;1;2014-05-26 20-31-11 UTC;320728;3728880;92.08;229160;2040452;3799236;46.10;1937148;1418448
salmon;1;2014-05-26 20-31-12 UTC;327804;3721804;91.91;229160;2032936;3799368;46.10;1937076;1411000
salmon;1;2014-05-26 20-31-13 UTC;327680;3721928;91.91;229160;2033144;3807564;46.20;1937024;1411260
