# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-27-20 UTC;-1;17.59;0.00;77.39;0.00;0.00;5.03
salmon;1;2014-05-26 19-27-21 UTC;-1;17.50;0.00;82.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-22 UTC;-1;23.50;0.00;76.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-23 UTC;-1;19.80;0.00;80.20;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-24 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-25 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-26 UTC;-1;19.45;0.00;80.30;0.00;0.00;0.25
salmon;1;2014-05-26 19-27-27 UTC;-1;12.00;0.00;88.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-28 UTC;-1;10.28;0.00;89.72;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-29 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-30 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-31 UTC;-1;8.00;0.00;91.75;0.00;0.00;0.25
salmon;1;2014-05-26 19-27-32 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-33 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-34 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-35 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-36 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-37 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-38 UTC;-1;13.97;0.00;86.03;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-39 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-27-46 UTC;-1;8.06;0.00;86.65;0.00;0.00;5.29
salmon;1;2014-05-26 19-27-47 UTC;-1;10.45;0.00;89.55;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-48 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-49 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-50 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-51 UTC;-1;15.50;0.00;84.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-52 UTC;-1;9.23;0.00;90.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-53 UTC;-1;19.65;0.00;80.35;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-54 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-55 UTC;-1;1.00;0.00;98.76;0.00;0.00;0.25
salmon;1;2014-05-26 19-27-56 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-57 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-58 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-27-59 UTC;-1;5.28;0.00;94.72;0.00;0.00;0.00
salmon;1;2014-05-26 19-28-00 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-28-01 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-28-02 UTC;-1;9.70;0.00;90.30;0.00;0.00;0.00
salmon;1;2014-05-26 19-28-03 UTC;-1;13.78;0.00;86.22;0.00;0.00;0.00
salmon;1;2014-05-26 19-28-04 UTC;-1;8.27;0.00;91.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-28-05 UTC;-1;9.02;0.00;90.98;0.00;0.00;0.00
