# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-27-20 UTC;506064;3543544;87.50;352956;1740028;3837496;46.56;1941128;1232476
salmon;1;2014-05-26 19-27-21 UTC;500476;3549132;87.64;352956;1736580;3846108;46.67;1953748;1224912
salmon;1;2014-05-26 19-27-22 UTC;486572;3563036;87.98;352956;1737000;3859520;46.83;1967652;1224644
salmon;1;2014-05-26 19-27-23 UTC;482964;3566644;88.07;352956;1740948;3868416;46.94;1968520;1227888
salmon;1;2014-05-26 19-27-24 UTC;485684;3563924;88.01;352960;1736952;3884952;47.14;1969376;1223760
salmon;1;2014-05-26 19-27-25 UTC;484816;3564792;88.03;352960;1737496;3885728;47.15;1972396;1222004
salmon;1;2014-05-26 19-27-26 UTC;475156;3574452;88.27;352960;1740108;3892692;47.23;1980372;1223688
salmon;1;2014-05-26 19-27-27 UTC;472928;3576680;88.32;352960;1742140;3892692;47.23;1980544;1225676
salmon;1;2014-05-26 19-27-28 UTC;474152;3575456;88.29;352960;1741268;3892924;47.23;1981184;1224252
salmon;1;2014-05-26 19-27-29 UTC;477640;3571968;88.21;352960;1737224;3892948;47.23;1982024;1219440
salmon;1;2014-05-26 19-27-30 UTC;476864;3572744;88.22;352960;1737028;3893232;47.24;1980688;1220728
salmon;1;2014-05-26 19-27-31 UTC;476524;3573084;88.23;352960;1737056;3893232;47.24;1981132;1220476
salmon;1;2014-05-26 19-27-32 UTC;471748;3577860;88.35;352960;1742232;3893168;47.24;1981960;1224844
salmon;1;2014-05-26 19-27-33 UTC;476336;3573272;88.24;352960;1737256;3893168;47.24;1982152;1219632
salmon;1;2014-05-26 19-27-34 UTC;471828;3577780;88.35;352960;1741888;3893080;47.24;1982932;1223760
salmon;1;2014-05-26 19-27-35 UTC;472944;3576664;88.32;352960;1741152;3893080;47.24;1983256;1222420
salmon;1;2014-05-26 19-27-36 UTC;477160;3572448;88.22;352960;1737260;3893080;47.24;1983772;1217916
salmon;1;2014-05-26 19-27-37 UTC;477160;3572448;88.22;352960;1737176;3893080;47.24;1984056;1217468
salmon;1;2014-05-26 19-27-38 UTC;470684;3578924;88.38;352960;1736984;3899396;47.31;1990888;1217112
salmon;1;2014-05-26 19-27-39 UTC;466288;3583320;88.49;352960;1741340;3901264;47.33;1991920;1221020
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-27-46 UTC;509604;3540004;87.42;352996;1738504;3830632;46.48;1949020;1216436
salmon;1;2014-05-26 19-27-47 UTC;501172;3548436;87.62;352996;1743784;3833832;46.52;1956004;1217868
salmon;1;2014-05-26 19-27-48 UTC;495444;3554164;87.77;353000;1745356;3837896;46.57;1960600;1218956
salmon;1;2014-05-26 19-27-49 UTC;500404;3549204;87.64;353000;1740308;3837896;46.57;1961000;1213520
salmon;1;2014-05-26 19-27-50 UTC;501612;3547996;87.61;353000;1738860;3837896;46.57;1961208;1211900
salmon;1;2014-05-26 19-27-51 UTC;481028;3568580;88.12;353000;1745468;3852212;46.74;1975332;1218460
salmon;1;2014-05-26 19-27-52 UTC;480036;3569572;88.15;353000;1744272;3854560;46.77;1977816;1216924
salmon;1;2014-05-26 19-27-53 UTC;477400;3572208;88.21;353000;1741112;3860352;46.84;1984016;1213112
salmon;1;2014-05-26 19-27-54 UTC;479028;3570580;88.17;353000;1739536;3860220;46.84;1984472;1211368
salmon;1;2014-05-26 19-27-55 UTC;477416;3572192;88.21;353004;1741240;3860220;46.84;1984624;1212608
salmon;1;2014-05-26 19-27-56 UTC;477044;3572564;88.22;353004;1741320;3860220;46.84;1984684;1212876
salmon;1;2014-05-26 19-27-57 UTC;478532;3571076;88.18;353008;1738932;3860220;46.84;1984932;1210476
salmon;1;2014-05-26 19-27-58 UTC;479276;3570332;88.16;353008;1739072;3860220;46.84;1985084;1209964
salmon;1;2014-05-26 19-27-59 UTC;471792;3577816;88.35;353008;1745968;3868944;46.94;1985824;1216596
salmon;1;2014-05-26 19-28-00 UTC;470944;3578664;88.37;353012;1746108;3870048;46.96;1987000;1216004
salmon;1;2014-05-26 19-28-01 UTC;472060;3577548;88.34;353012;1742720;3872856;46.99;1992952;1209620
salmon;1;2014-05-26 19-28-02 UTC;469512;3580096;88.41;353012;1739896;3877392;47.05;1998028;1207200
salmon;1;2014-05-26 19-28-03 UTC;466564;3583044;88.48;353012;1741828;3877828;47.05;1998732;1209088
salmon;1;2014-05-26 19-28-04 UTC;466796;3582812;88.47;353012;1742632;3877828;47.05;1998768;1209316
salmon;1;2014-05-26 19-28-05 UTC;461924;3587684;88.59;353012;1746336;3879428;47.07;1999436;1212636
