# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-36-35 UTC;-1;10.83;0.00;83.38;0.00;0.00;5.79
salmon;1;2014-05-26 19-36-36 UTC;-1;6.48;0.00;93.52;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-37 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-38 UTC;-1;5.51;0.00;94.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-39 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-40 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-41 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-42 UTC;-1;3.27;0.00;96.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-43 UTC;-1;4.22;0.00;95.78;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-44 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-45 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-46 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-47 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-48 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-49 UTC;-1;6.97;0.00;93.03;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-50 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-51 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-52 UTC;-1;3.75;0.00;96.00;0.25;0.00;0.00
salmon;1;2014-05-26 19-36-53 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-36-54 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-37-01 UTC;-1;8.04;0.00;86.68;0.00;0.00;5.28
salmon;1;2014-05-26 19-37-02 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-03 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-04 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-05 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-06 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-07 UTC;-1;4.76;0.00;95.24;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-08 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-09 UTC;-1;4.24;0.00;95.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-10 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-11 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-12 UTC;-1;3.98;0.00;96.02;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-13 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-14 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-15 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-16 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-17 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-18 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-19 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-37-20 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
