# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-36-35 UTC;426516;3623092;89.47;354420;1817424;3810336;46.23;2056108;1195864
salmon;1;2014-05-26 19-36-36 UTC;428204;3621404;89.43;354420;1816020;3810548;46.23;2056748;1194248
salmon;1;2014-05-26 19-36-37 UTC;423832;3625776;89.53;354420;1821108;3810548;46.23;2056760;1199200
salmon;1;2014-05-26 19-36-38 UTC;427180;3622428;89.45;354420;1815916;3811036;46.24;2057152;1193940
salmon;1;2014-05-26 19-36-39 UTC;423708;3625900;89.54;354420;1820196;3811036;46.24;2057600;1198032
salmon;1;2014-05-26 19-36-40 UTC;423256;3626352;89.55;354420;1819856;3884796;47.13;2057876;1197624
salmon;1;2014-05-26 19-36-41 UTC;424928;3624680;89.51;354420;1819220;3843916;46.64;2057984;1196616
salmon;1;2014-05-26 19-36-42 UTC;426808;3622800;89.46;354420;1815520;3844844;46.65;2059188;1192972
salmon;1;2014-05-26 19-36-43 UTC;420112;3629496;89.63;354420;1822344;3844844;46.65;2059292;1199420
salmon;1;2014-05-26 19-36-44 UTC;425568;3624040;89.49;354420;1817096;3844844;46.65;2059284;1194300
salmon;1;2014-05-26 19-36-45 UTC;422468;3627140;89.57;354420;1819580;3844848;46.65;2059456;1196604
salmon;1;2014-05-26 19-36-46 UTC;422096;3627512;89.58;354420;1820344;3844848;46.65;2059564;1197316
salmon;1;2014-05-26 19-36-47 UTC;424328;3625280;89.52;354420;1817488;3844848;46.65;2059708;1194328
salmon;1;2014-05-26 19-36-48 UTC;426312;3623296;89.47;354420;1816292;3844848;46.65;2059848;1192912
salmon;1;2014-05-26 19-36-49 UTC;421476;3628132;89.59;354420;1820568;3845548;46.66;2060640;1196952
salmon;1;2014-05-26 19-36-50 UTC;423244;3626364;89.55;354424;1818120;3845548;46.66;2060712;1194728
salmon;1;2014-05-26 19-36-51 UTC;422020;3627588;89.58;354424;1819724;3845548;46.66;2060800;1195832
salmon;1;2014-05-26 19-36-52 UTC;423972;3625636;89.53;354424;1817820;3845548;46.66;2061104;1193872
salmon;1;2014-05-26 19-36-53 UTC;425708;3623900;89.49;354424;1815920;3845548;46.66;2061216;1192000
salmon;1;2014-05-26 19-36-54 UTC;421180;3628428;89.60;354424;1820792;3847060;46.68;2061688;1196168
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-37-01 UTC;424072;3625536;89.53;354444;1815972;3810420;46.23;2041492;1209432
salmon;1;2014-05-26 19-37-02 UTC;423352;3626256;89.55;354448;1816204;3810628;46.24;2041560;1209688
salmon;1;2014-05-26 19-37-03 UTC;422732;3626876;89.56;354448;1816316;3810760;46.24;2041696;1209764
salmon;1;2014-05-26 19-37-04 UTC;423104;3626504;89.55;354448;1816316;3810920;46.24;2041752;1209764
salmon;1;2014-05-26 19-37-05 UTC;422732;3626876;89.56;354448;1816736;3810920;46.24;2041796;1210140
salmon;1;2014-05-26 19-37-06 UTC;422732;3626876;89.56;354448;1816504;3810920;46.24;2041908;1209736
salmon;1;2014-05-26 19-37-07 UTC;421708;3627900;89.59;354448;1816892;3811264;46.24;2057256;1195100
salmon;1;2014-05-26 19-37-08 UTC;421584;3628024;89.59;354448;1816980;3811264;46.24;2057372;1195228
salmon;1;2014-05-26 19-37-09 UTC;419932;3629676;89.63;354452;1818072;3852372;46.74;2058388;1195752
salmon;1;2014-05-26 19-37-10 UTC;417864;3631744;89.68;354452;1820692;3844176;46.64;2058556;1198088
salmon;1;2014-05-26 19-37-11 UTC;411120;3638488;89.85;354452;1827260;3844324;46.64;2059784;1203400
salmon;1;2014-05-26 19-37-12 UTC;408508;3641100;89.91;354452;1828488;3845316;46.66;2060880;1204528
salmon;1;2014-05-26 19-37-13 UTC;408152;3641456;89.92;354452;1828824;3845316;46.66;2060888;1204680
salmon;1;2014-05-26 19-37-14 UTC;419916;3629692;89.63;354452;1816544;3845352;46.66;2062040;1191324
salmon;1;2014-05-26 19-37-15 UTC;419544;3630064;89.64;354452;1816976;3845352;46.66;2062084;1191928
salmon;1;2014-05-26 19-37-16 UTC;409624;3639984;89.88;354456;1827208;3845352;46.66;2062372;1202180
salmon;1;2014-05-26 19-37-17 UTC;411592;3638016;89.84;354456;1825364;3845352;46.66;2062448;1199888
salmon;1;2014-05-26 19-37-18 UTC;412584;3637024;89.81;354456;1823980;3845352;46.66;2062448;1198472
salmon;1;2014-05-26 19-37-19 UTC;418752;3630856;89.66;354456;1817236;3846392;46.67;2063444;1191812
salmon;1;2014-05-26 19-37-20 UTC;413016;3636592;89.80;354456;1822768;3847848;46.69;2063904;1197264
