# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-23-03 UTC;345320;3704288;91.47;227720;2028380;3784128;45.91;1929252;1406988
salmon;1;2014-05-26 20-23-04 UTC;343312;3706296;91.52;227732;2030840;3784368;45.92;1929472;1409512
salmon;1;2014-05-26 20-23-05 UTC;341600;3708008;91.56;227772;2032556;3784368;45.92;1929696;1410960
salmon;1;2014-05-26 20-23-06 UTC;339492;3710116;91.62;227784;2035116;3784368;45.92;1929728;1413408
salmon;1;2014-05-26 20-23-07 UTC;345196;3704412;91.48;227784;2027992;3784368;45.92;1929732;1406672
salmon;1;2014-05-26 20-23-08 UTC;338252;3711356;91.65;227788;2035532;3784368;45.92;1929860;1413876
salmon;1;2014-05-26 20-23-09 UTC;338500;3711108;91.64;227792;2035244;3784368;45.92;1929880;1413624
salmon;1;2014-05-26 20-23-10 UTC;345320;3704288;91.47;227808;2027956;3784368;45.92;1929644;1406592
salmon;1;2014-05-26 20-23-11 UTC;339608;3710000;91.61;227812;2034552;3784368;45.92;1929704;1412688
salmon;1;2014-05-26 20-23-12 UTC;342832;3706776;91.53;227828;2031224;3784368;45.92;1929800;1409620
salmon;1;2014-05-26 20-23-13 UTC;343296;3706312;91.52;227832;2030592;3784368;45.92;1929876;1409104
salmon;1;2014-05-26 20-23-14 UTC;338972;3710636;91.63;227836;2035052;3784368;45.92;1929952;1413576
salmon;1;2014-05-26 20-23-15 UTC;340708;3708900;91.59;227836;2032116;3784368;45.92;1929780;1410696
salmon;1;2014-05-26 20-23-16 UTC;342568;3707040;91.54;227840;2030940;3784368;45.92;1929812;1409488
salmon;1;2014-05-26 20-23-17 UTC;345048;3704560;91.48;227848;2028936;3784368;45.92;1929784;1407464
salmon;1;2014-05-26 20-23-18 UTC;344180;3705428;91.50;227860;2029200;3784368;45.92;1930016;1407540
salmon;1;2014-05-26 20-23-19 UTC;339236;3710372;91.62;227864;2034884;3784368;45.92;1929840;1412960
salmon;1;2014-05-26 20-23-20 UTC;344940;3704668;91.48;227864;2028596;3784368;45.92;1930044;1407140
salmon;1;2014-05-26 20-23-21 UTC;343468;3706140;91.52;227876;2030420;3784368;45.92;1929944;1408772
salmon;1;2014-05-26 20-23-22 UTC;342320;3707288;91.55;227932;2030024;3785968;45.94;1930448;1408640
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-23-28 UTC;339244;3710364;91.62;227976;2029520;3784320;45.92;1911588;1426424
salmon;1;2014-05-26 20-23-29 UTC;339004;3710604;91.63;227976;2029520;3784320;45.92;1911592;1426424
salmon;1;2014-05-26 20-23-30 UTC;338996;3710612;91.63;227976;2029520;3784320;45.92;1911596;1426424
salmon;1;2014-05-26 20-23-31 UTC;339012;3710596;91.63;227976;2029520;3784320;45.92;1911652;1426368
salmon;1;2014-05-26 20-23-32 UTC;338640;3710968;91.64;227976;2029520;3784200;45.91;1911764;1426292
salmon;1;2014-05-26 20-23-33 UTC;338764;3710844;91.63;227976;2029520;3784200;45.91;1911764;1426216
salmon;1;2014-05-26 20-23-34 UTC;338764;3710844;91.63;227980;2029528;3784200;45.91;1911768;1426152
salmon;1;2014-05-26 20-23-35 UTC;338764;3710844;91.63;227988;2029504;3784200;45.91;1912080;1425972
salmon;1;2014-05-26 20-23-36 UTC;338516;3711092;91.64;227988;2029572;3784200;45.91;1912156;1425888
salmon;1;2014-05-26 20-23-37 UTC;338144;3711464;91.65;227988;2029876;3784200;45.91;1912196;1426228
salmon;1;2014-05-26 20-23-38 UTC;338144;3711464;91.65;227988;2029708;3784200;45.91;1914944;1423252
salmon;1;2014-05-26 20-23-39 UTC;338012;3711596;91.65;228000;2029668;3784200;45.91;1926552;1411708
salmon;1;2014-05-26 20-23-40 UTC;338136;3711472;91.65;228000;2029696;3784200;45.91;1926796;1411496
salmon;1;2014-05-26 20-23-41 UTC;337888;3711720;91.66;228000;2030020;3784200;45.91;1927100;1411516
salmon;1;2014-05-26 20-23-42 UTC;335408;3714200;91.72;228000;2033156;3784200;45.91;1927816;1413752
salmon;1;2014-05-26 20-23-43 UTC;332308;3717300;91.79;228000;2035948;3784200;45.91;1928028;1416516
salmon;1;2014-05-26 20-23-44 UTC;327860;3721748;91.90;228004;2040196;3784200;45.91;1928720;1419704
salmon;1;2014-05-26 20-23-45 UTC;327612;3721996;91.91;228004;2040480;3784200;45.91;1928896;1420148
salmon;1;2014-05-26 20-23-46 UTC;327000;3722608;91.93;228004;2041044;3784200;45.91;1928912;1420708
salmon;1;2014-05-26 20-23-47 UTC;326736;3722872;91.93;228004;2041008;3786000;45.94;1929116;1420488
