# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-32-26 UTC;-1;10.78;0.00;83.46;0.00;0.00;5.76
salmon;1;2014-05-26 19-32-27 UTC;-1;15.29;0.00;84.71;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-28 UTC;-1;13.97;0.00;86.03;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-29 UTC;-1;15.50;0.00;84.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-30 UTC;-1;6.77;0.00;93.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-31 UTC;-1;11.72;0.00;88.28;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-32 UTC;-1;14.00;0.00;86.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-33 UTC;-1;10.28;0.00;89.72;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-34 UTC;-1;15.67;0.00;84.33;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-35 UTC;-1;19.30;0.00;80.70;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-36 UTC;-1;19.75;0.00;80.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-37 UTC;-1;21.50;0.00;78.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-38 UTC;-1;10.72;0.00;89.28;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-39 UTC;-1;21.70;0.00;78.30;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-40 UTC;-1;10.78;0.00;89.22;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-41 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-42 UTC;-1;7.98;0.00;92.02;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-43 UTC;-1;8.75;0.00;91.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-44 UTC;-1;11.25;0.00;88.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-45 UTC;-1;14.29;0.00;85.71;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-32-52 UTC;-1;7.54;0.00;87.19;0.00;0.00;5.28
salmon;1;2014-05-26 19-32-53 UTC;-1;9.73;0.00;90.02;0.00;0.00;0.25
salmon;1;2014-05-26 19-32-54 UTC;-1;10.25;0.00;89.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-55 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-56 UTC;-1;12.75;0.00;87.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-57 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-58 UTC;-1;8.77;0.00;91.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-32-59 UTC;-1;10.78;0.00;89.22;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-00 UTC;-1;10.70;0.00;89.30;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-01 UTC;-1;16.54;0.00;83.46;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-02 UTC;-1;15.46;0.00;84.54;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-03 UTC;-1;11.50;0.00;88.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-04 UTC;-1;12.75;0.00;87.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-05 UTC;-1;10.22;0.00;89.78;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-06 UTC;-1;6.22;0.00;93.78;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-07 UTC;-1;11.19;0.00;88.81;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-08 UTC;-1;12.72;0.00;87.28;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-09 UTC;-1;11.03;0.00;88.97;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-10 UTC;-1;12.47;0.00;87.53;0.00;0.00;0.00
salmon;1;2014-05-26 19-33-11 UTC;-1;11.17;0.00;88.83;0.00;0.00;0.00
