# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-32-26 UTC;438680;3610928;89.17;354064;1790524;3827480;46.44;2015724;1225136
salmon;1;2014-05-26 19-32-27 UTC;419676;3629932;89.64;354064;1793808;3845032;46.65;2033524;1226768
salmon;1;2014-05-26 19-32-28 UTC;417320;3632288;89.69;354068;1785424;3855056;46.77;2044192;1218636
salmon;1;2014-05-26 19-32-29 UTC;409756;3639852;89.88;354068;1788948;3859280;46.83;2048648;1221600
salmon;1;2014-05-26 19-32-30 UTC;408004;3641604;89.92;354072;1784972;3863844;46.88;2053612;1217888
salmon;1;2014-05-26 19-32-31 UTC;399184;3650424;90.14;354072;1792328;3866964;46.92;2056548;1224212
salmon;1;2014-05-26 19-32-32 UTC;404792;3644816;90.00;354072;1785800;3867368;46.92;2057444;1217832
salmon;1;2014-05-26 19-32-33 UTC;400968;3648640;90.10;354072;1786956;3870856;46.97;2060472;1218152
salmon;1;2014-05-26 19-32-34 UTC;394068;3655540;90.27;354072;1785988;3877348;47.04;2067544;1217532
salmon;1;2014-05-26 19-32-35 UTC;389684;3659924;90.38;354072;1786456;3882296;47.10;2072688;1217596
salmon;1;2014-05-26 19-32-36 UTC;385592;3664016;90.48;354072;1785832;3885776;47.15;2076480;1216788
salmon;1;2014-05-26 19-32-37 UTC;384304;3665304;90.51;354072;1786032;3886872;47.16;2077884;1216868
salmon;1;2014-05-26 19-32-38 UTC;380816;3668792;90.60;354072;1788644;3887716;47.17;2078972;1219280
salmon;1;2014-05-26 19-32-39 UTC;378352;3671256;90.66;354072;1791148;3888364;47.18;2079840;1221188
salmon;1;2014-05-26 19-32-40 UTC;378044;3671564;90.66;354072;1790544;3897464;47.29;2081184;1220124
salmon;1;2014-05-26 19-32-41 UTC;376968;3672640;90.69;354072;1790976;3897620;47.29;2081976;1220372
salmon;1;2014-05-26 19-32-42 UTC;378448;3671160;90.65;354076;1788800;3898412;47.30;2082820;1218076
salmon;1;2014-05-26 19-32-43 UTC;376348;3673260;90.71;354076;1790812;3899136;47.31;2083648;1219556
salmon;1;2014-05-26 19-32-44 UTC;374916;3674692;90.74;354076;1791048;3916344;47.52;2084884;1219912
salmon;1;2014-05-26 19-32-45 UTC;378704;3670904;90.65;354076;1786184;3917900;47.54;2085832;1214556
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-32-52 UTC;446516;3603092;88.97;354100;1788308;3817020;46.31;2021432;1206516
salmon;1;2014-05-26 19-32-53 UTC;437200;3612408;89.20;354104;1786452;3827764;46.44;2035416;1202188
salmon;1;2014-05-26 19-32-54 UTC;413948;3635660;89.78;354104;1786160;3851292;46.73;2058648;1201848
salmon;1;2014-05-26 19-32-55 UTC;403252;3646356;90.04;354104;1793472;3855048;46.77;2062680;1208440
salmon;1;2014-05-26 19-32-56 UTC;403360;3646248;90.04;354104;1789556;3858468;46.82;2066016;1204552
salmon;1;2014-05-26 19-32-57 UTC;402616;3646992;90.06;354104;1786920;3862568;46.87;2070500;1201472
salmon;1;2014-05-26 19-32-58 UTC;392912;3656696;90.30;354108;1793584;3866084;46.91;2073856;1207856
salmon;1;2014-05-26 19-32-59 UTC;391084;3658524;90.34;354108;1793808;3867036;46.92;2074672;1208252
salmon;1;2014-05-26 19-33-00 UTC;397376;3652232;90.19;354108;1786820;3868212;46.93;2075308;1201340
salmon;1;2014-05-26 19-33-01 UTC;391832;3657776;90.32;354112;1787928;3872352;46.98;2079536;1202568
salmon;1;2014-05-26 19-33-02 UTC;377552;3672056;90.68;354112;1792352;3882252;47.10;2089772;1206788
salmon;1;2014-05-26 19-33-03 UTC;377800;3671808;90.67;354112;1792092;3882456;47.11;2090076;1206364
salmon;1;2014-05-26 19-33-04 UTC;378156;3671452;90.66;354112;1791300;3882456;47.11;2090288;1205608
salmon;1;2014-05-26 19-33-05 UTC;378660;3670948;90.65;354116;1790732;3882456;47.11;2090328;1204832
salmon;1;2014-05-26 19-33-06 UTC;377052;3672556;90.69;354116;1792172;3907448;47.41;2090948;1205696
salmon;1;2014-05-26 19-33-07 UTC;378520;3671088;90.65;354116;1789388;3908508;47.42;2092040;1203256
salmon;1;2014-05-26 19-33-08 UTC;372320;3677288;90.81;354116;1791804;3912460;47.47;2096036;1205492
salmon;1;2014-05-26 19-33-09 UTC;373436;3676172;90.78;354116;1790372;3912736;47.47;2096648;1204160
salmon;1;2014-05-26 19-33-10 UTC;370460;3679148;90.85;354116;1791432;3913856;47.49;2097900;1204928
salmon;1;2014-05-26 19-33-11 UTC;368172;3681436;90.91;354120;1792524;3916728;47.52;2099580;1205784
