# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-49-45 UTC;-1;11.06;0.00;82.91;0.00;0.00;6.03
salmon;1;2014-05-26 19-49-46 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-47 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-48 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-49 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-50 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-51 UTC;-1;4.50;0.00;95.25;0.00;0.00;0.25
salmon;1;2014-05-26 19-49-52 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-53 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-54 UTC;-1;4.51;0.00;95.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-55 UTC;-1;4.74;0.00;95.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-56 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-57 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-58 UTC;-1;2.48;0.00;97.52;0.00;0.00;0.00
salmon;1;2014-05-26 19-49-59 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-00 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-01 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-02 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-03 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-04 UTC;-1;2.76;0.00;97.24;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-50-10 UTC;-1;4.75;0.00;89.50;0.00;0.00;5.75
salmon;1;2014-05-26 19-50-11 UTC;-1;9.30;0.00;90.70;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-12 UTC;-1;3.23;0.00;96.53;0.00;0.00;0.25
salmon;1;2014-05-26 19-50-13 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-14 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-15 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-16 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-17 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-18 UTC;-1;1.75;0.00;98.00;0.25;0.00;0.00
salmon;1;2014-05-26 19-50-19 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-20 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-21 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-22 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-23 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-24 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-25 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-26 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-27 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-50-28 UTC;-1;2.25;0.00;97.50;0.00;0.00;0.25
salmon;1;2014-05-26 19-50-29 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
