# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-49-45 UTC;591604;3458004;85.39;276820;1713808;3975932;48.24;1836884;1255744
salmon;1;2014-05-26 19-49-46 UTC;600996;3448612;85.16;276820;1702592;3975932;48.24;1839068;1243292
salmon;1;2014-05-26 19-49-47 UTC;595540;3454068;85.29;276820;1707920;3975932;48.24;1840232;1248368
salmon;1;2014-05-26 19-49-48 UTC;595780;3453828;85.29;276820;1706184;3984300;48.34;1841796;1246512
salmon;1;2014-05-26 19-49-49 UTC;598152;3451456;85.23;276820;1703364;3992496;48.44;1842148;1243704
salmon;1;2014-05-26 19-49-50 UTC;596448;3453160;85.27;276828;1704812;3992496;48.44;1841928;1244956
salmon;1;2014-05-26 19-49-51 UTC;593092;3456516;85.35;276828;1708944;3992496;48.44;1842160;1248932
salmon;1;2014-05-26 19-49-52 UTC;599052;3450556;85.21;276828;1702796;3992496;48.44;1842244;1242340
salmon;1;2014-05-26 19-49-53 UTC;594556;3455052;85.32;276828;1707376;3992496;48.44;1842496;1247008
salmon;1;2014-05-26 19-49-54 UTC;598680;3450928;85.22;276828;1702864;3992496;48.44;1842460;1242300
salmon;1;2014-05-26 19-49-55 UTC;595580;3454028;85.29;276828;1706692;3992496;48.44;1842560;1245988
salmon;1;2014-05-26 19-49-56 UTC;596696;3452912;85.27;276828;1704652;3992496;48.44;1842668;1244252
salmon;1;2014-05-26 19-49-57 UTC;598656;3450952;85.22;276832;1702940;3993524;48.45;1843032;1242248
salmon;1;2014-05-26 19-49-58 UTC;590124;3459484;85.43;276832;1711888;3993524;48.45;1843328;1250964
salmon;1;2014-05-26 19-49-59 UTC;598060;3451548;85.23;276832;1702688;3993524;48.45;1843260;1241944
salmon;1;2014-05-26 19-50-00 UTC;587032;3462576;85.50;276832;1714584;3993524;48.45;1843500;1253484
salmon;1;2014-05-26 19-50-01 UTC;589628;3459980;85.44;276832;1712200;3993524;48.45;1843460;1251024
salmon;1;2014-05-26 19-50-02 UTC;589140;3460468;85.45;276832;1711692;3993524;48.45;1843668;1250768
salmon;1;2014-05-26 19-50-03 UTC;596332;3453276;85.27;276832;1705232;3993524;48.45;1843840;1244144
salmon;1;2014-05-26 19-50-04 UTC;597144;3452464;85.25;276832;1702916;3994912;48.47;1843960;1241548
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-50-10 UTC;602196;3447412;85.13;276860;1703764;3966868;48.13;1829248;1247320
salmon;1;2014-05-26 19-50-11 UTC;585060;3464548;85.55;276860;1713636;3975872;48.24;1841440;1251860
salmon;1;2014-05-26 19-50-12 UTC;592312;3457296;85.37;276860;1705940;3975872;48.24;1842108;1243988
salmon;1;2014-05-26 19-50-13 UTC;589724;3459884;85.44;276860;1706532;3977016;48.25;1843676;1244232
salmon;1;2014-05-26 19-50-14 UTC;590096;3459512;85.43;276860;1706208;3977016;48.25;1843996;1243932
salmon;1;2014-05-26 19-50-15 UTC;590592;3459016;85.42;276860;1706096;3977016;48.25;1843420;1244040
salmon;1;2014-05-26 19-50-16 UTC;589096;3460512;85.45;276860;1706304;3985272;48.35;1844484;1243900
salmon;1;2014-05-26 19-50-17 UTC;589088;3460520;85.45;276860;1706048;3993468;48.45;1844852;1243880
salmon;1;2014-05-26 19-50-18 UTC;590220;3459388;85.43;276860;1705036;3993468;48.45;1844840;1242540
salmon;1;2014-05-26 19-50-19 UTC;588608;3461000;85.47;276860;1706936;3993468;48.45;1844916;1244524
salmon;1;2014-05-26 19-50-20 UTC;586112;3463496;85.53;276864;1709004;3993468;48.45;1844952;1246532
salmon;1;2014-05-26 19-50-21 UTC;588732;3460876;85.46;276868;1705780;3993468;48.45;1845072;1243452
salmon;1;2014-05-26 19-50-22 UTC;583028;3466580;85.60;276868;1713104;3993468;48.45;1845196;1250328
salmon;1;2014-05-26 19-50-23 UTC;589352;3460256;85.45;276868;1706280;3993468;48.45;1845256;1243520
salmon;1;2014-05-26 19-50-24 UTC;589476;3460132;85.44;276868;1706156;3993468;48.45;1845232;1243240
salmon;1;2014-05-26 19-50-25 UTC;588080;3461528;85.48;276872;1706928;4008896;48.64;1845504;1244228
salmon;1;2014-05-26 19-50-26 UTC;585228;3464380;85.55;276872;1710080;4008896;48.64;1845704;1247284
salmon;1;2014-05-26 19-50-27 UTC;589576;3460032;85.44;276876;1706120;4008896;48.64;1845772;1242948
salmon;1;2014-05-26 19-50-28 UTC;590940;3458668;85.41;276876;1704100;4008896;48.64;1845900;1241000
salmon;1;2014-05-26 19-50-29 UTC;582600;3467008;85.61;276876;1712536;4010660;48.66;1846072;1249256
