# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-33-51 UTC;-1;8.65;0.00;13.49;39.19;0.00;38.68
salmon;1;2014-05-26 20-33-52 UTC;-1;7.39;0.00;25.86;29.55;0.00;37.20
salmon;1;2014-05-26 20-33-53 UTC;-1;1.56;0.00;26.49;28.31;0.00;43.64
salmon;1;2014-05-26 20-33-54 UTC;-1;4.37;0.00;13.37;45.24;0.00;37.02
salmon;1;2014-05-26 20-33-55 UTC;-1;0.78;0.00;13.32;53.52;0.00;32.38
salmon;1;2014-05-26 20-33-56 UTC;-1;1.57;0.00;26.63;31.33;0.00;40.47
salmon;1;2014-05-26 20-33-57 UTC;-1;1.06;0.00;21.01;28.19;0.00;49.73
salmon;1;2014-05-26 20-33-58 UTC;-1;3.17;0.00;23.81;33.60;0.00;39.42
salmon;1;2014-05-26 20-33-59 UTC;-1;1.85;0.00;22.16;35.09;0.00;40.90
salmon;1;2014-05-26 20-34-00 UTC;-1;1.83;0.00;16.45;38.64;0.00;43.08
salmon;1;2014-05-26 20-34-01 UTC;-1;1.53;0.00;12.76;27.55;0.00;58.16
salmon;1;2014-05-26 20-34-02 UTC;-1;2.85;0.00;28.76;27.98;0.00;40.41
salmon;1;2014-05-26 20-34-03 UTC;-1;2.64;0.00;26.39;27.18;0.00;43.80
salmon;1;2014-05-26 20-34-04 UTC;-1;0.78;0.00;15.14;35.51;0.00;48.56
salmon;1;2014-05-26 20-34-05 UTC;-1;1.57;0.00;15.40;48.30;0.00;34.73
salmon;1;2014-05-26 20-34-06 UTC;-1;2.07;0.00;27.13;30.49;0.00;40.31
salmon;1;2014-05-26 20-34-07 UTC;-1;1.82;0.00;16.15;39.06;0.00;42.97
salmon;1;2014-05-26 20-34-08 UTC;-1;2.34;0.00;27.01;33.25;0.00;37.40
salmon;1;2014-05-26 20-34-09 UTC;-1;2.36;0.00;25.39;30.63;0.00;41.62
salmon;1;2014-05-26 20-34-10 UTC;-1;2.37;0.00;31.05;27.89;0.00;38.68
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-34-16 UTC;-1;5.78;0.00;88.19;0.25;0.00;5.78
salmon;1;2014-05-26 20-34-17 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-18 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-19 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-20 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-21 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-22 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-23 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-24 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-25 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-26 UTC;-1;0.82;0.00;99.18;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-27 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-28 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-29 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-30 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-31 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-32 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-33 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-34 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-34-35 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
