# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-33-51 UTC;315108;3734500;92.22;232176;2049348;3788860;45.97;1929960;1437180
salmon;1;2014-05-26 20-33-52 UTC;313940;3735668;92.25;232176;2049920;3788860;45.97;1948556;1419336
salmon;1;2014-05-26 20-33-53 UTC;309236;3740372;92.36;232180;2053732;3788860;45.97;1948848;1423524
salmon;1;2014-05-26 20-33-54 UTC;314196;3735412;92.24;232180;2050124;3788860;45.97;1948636;1419036
salmon;1;2014-05-26 20-33-55 UTC;314436;3735172;92.24;232184;2049504;3788860;45.97;1948716;1418984
salmon;1;2014-05-26 20-33-56 UTC;306748;3742860;92.43;232188;2057992;3788860;45.97;1948636;1427212
salmon;1;2014-05-26 20-33-57 UTC;305632;3743976;92.45;232196;2058368;3788860;45.97;1948784;1427672
salmon;1;2014-05-26 20-33-58 UTC;314684;3734924;92.23;232204;2049648;3788860;45.97;1948688;1419108
salmon;1;2014-05-26 20-33-59 UTC;314344;3735264;92.24;232212;2049696;3788860;45.97;1948644;1419300
salmon;1;2014-05-26 20-34-00 UTC;314312;3735296;92.24;232220;2049848;3788860;45.97;1948724;1419380
salmon;1;2014-05-26 20-34-01 UTC;311336;3738272;92.31;232220;2052116;3788860;45.97;1948764;1421384
salmon;1;2014-05-26 20-34-02 UTC;312204;3737404;92.29;232224;2052560;3788860;45.97;1948792;1422056
salmon;1;2014-05-26 20-34-03 UTC;311708;3737900;92.30;232224;2051500;3788860;45.97;1948952;1421192
salmon;1;2014-05-26 20-34-04 UTC;305260;3744348;92.46;232224;2059776;3788860;45.97;1948720;1428872
salmon;1;2014-05-26 20-34-05 UTC;310468;3739140;92.33;232228;2054008;3788860;45.97;1948908;1423312
salmon;1;2014-05-26 20-34-06 UTC;313700;3735908;92.25;232232;2049632;3788860;45.97;1948896;1418996
salmon;1;2014-05-26 20-34-07 UTC;314452;3735156;92.24;232232;2049780;3788860;45.97;1948684;1418848
salmon;1;2014-05-26 20-34-08 UTC;310360;3739248;92.34;232252;2054172;3788860;45.97;1948840;1423288
salmon;1;2014-05-26 20-34-09 UTC;313956;3735652;92.25;232256;2049240;3788860;45.97;1948848;1418860
salmon;1;2014-05-26 20-34-10 UTC;303392;3746216;92.51;232256;2060432;3790616;45.99;1949276;1429544
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-34-16 UTC;306892;3742716;92.42;232292;2050456;3792108;46.01;1931612;1438232
salmon;1;2014-05-26 20-34-17 UTC;306652;3742956;92.43;232292;2050468;3792304;46.01;1931716;1438232
salmon;1;2014-05-26 20-34-18 UTC;306644;3742964;92.43;232292;2050468;3792304;46.01;1931720;1438232
salmon;1;2014-05-26 20-34-19 UTC;306504;3743104;92.43;232292;2050468;3792304;46.01;1931724;1438304
salmon;1;2014-05-26 20-34-20 UTC;306180;3743428;92.44;232300;2050792;3791940;46.01;1931680;1438688
salmon;1;2014-05-26 20-34-21 UTC;305476;3744132;92.46;232300;2050844;3791940;46.01;1931680;1438688
salmon;1;2014-05-26 20-34-22 UTC;305352;3744256;92.46;232308;2050972;3791940;46.01;1931688;1438832
salmon;1;2014-05-26 20-34-23 UTC;305612;3743996;92.45;232308;2050972;3791940;46.01;1931744;1438776
salmon;1;2014-05-26 20-34-24 UTC;305708;3743900;92.45;232308;2050860;3791940;46.01;1931800;1438644
salmon;1;2014-05-26 20-34-25 UTC;305708;3743900;92.45;232308;2050972;3791940;46.01;1931828;1438692
salmon;1;2014-05-26 20-34-26 UTC;305816;3743792;92.45;232308;2050972;3791940;46.01;1931832;1438540
salmon;1;2014-05-26 20-34-27 UTC;305384;3744224;92.46;232316;2051252;3791940;46.01;1932248;1438356
salmon;1;2014-05-26 20-34-28 UTC;305136;3744472;92.47;232316;2051200;3791940;46.01;1946732;1424048
salmon;1;2014-05-26 20-34-29 UTC;305012;3744596;92.47;232316;2051244;3791940;46.01;1946872;1423952
salmon;1;2014-05-26 20-34-30 UTC;305204;3744404;92.46;232316;2051268;3791940;46.01;1946916;1423932
salmon;1;2014-05-26 20-34-31 UTC;301120;3748488;92.56;232328;2055036;3791940;46.01;1947996;1426536
salmon;1;2014-05-26 20-34-32 UTC;298524;3751084;92.63;232328;2057844;3791940;46.01;1948256;1428944
salmon;1;2014-05-26 20-34-33 UTC;297284;3752324;92.66;232328;2059016;3791940;46.01;1948668;1429828
salmon;1;2014-05-26 20-34-34 UTC;294192;3755416;92.74;232328;2062036;3791940;46.01;1948948;1432716
salmon;1;2014-05-26 20-34-35 UTC;293168;3756440;92.76;232328;2062924;3793764;46.03;1949468;1433092
