# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-51-18 UTC;-1;9.75;0.00;84.75;0.00;0.00;5.50
salmon;1;2014-05-26 19-51-19 UTC;-1;8.79;0.00;91.21;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-20 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-21 UTC;-1;6.22;0.00;93.78;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-22 UTC;-1;8.75;0.00;91.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-23 UTC;-1;12.78;0.00;87.22;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-24 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-25 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-26 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-27 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-28 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-29 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-30 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-31 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-32 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-33 UTC;-1;3.02;0.00;96.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-34 UTC;-1;5.47;0.00;94.53;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-35 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-36 UTC;-1;10.30;0.00;89.70;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-37 UTC;-1;20.45;0.00;79.55;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-51-44 UTC;-1;25.38;0.00;72.59;0.00;0.00;2.03
salmon;1;2014-05-26 19-51-45 UTC;-1;21.00;0.00;79.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-46 UTC;-1;11.00;0.00;89.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-47 UTC;-1;19.30;0.00;80.70;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-48 UTC;-1;16.50;0.00;83.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-49 UTC;-1;16.00;0.00;84.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-50 UTC;-1;20.25;0.00;79.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-51 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-52 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-53 UTC;-1;11.22;0.00;88.78;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-54 UTC;-1;9.25;0.00;90.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-55 UTC;-1;17.50;0.00;82.25;0.00;0.00;0.25
salmon;1;2014-05-26 19-51-56 UTC;-1;18.25;0.00;81.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-57 UTC;-1;16.21;0.00;83.79;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-58 UTC;-1;18.52;0.00;81.48;0.00;0.00;0.00
salmon;1;2014-05-26 19-51-59 UTC;-1;17.54;0.00;82.46;0.00;0.00;0.00
salmon;1;2014-05-26 19-52-00 UTC;-1;18.45;0.00;81.30;0.25;0.00;0.00
salmon;1;2014-05-26 19-52-01 UTC;-1;16.25;0.00;83.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-52-02 UTC;-1;17.66;0.00;82.09;0.00;0.00;0.25
salmon;1;2014-05-26 19-52-03 UTC;-1;17.25;0.00;82.75;0.00;0.00;0.00
