# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-51-18 UTC;610992;3438616;84.91;277148;1706288;3827544;46.44;1831516;1240436
salmon;1;2014-05-26 19-51-19 UTC;612704;3436904;84.87;277148;1706412;3863896;46.88;1829760;1240576
salmon;1;2014-05-26 19-51-20 UTC;604528;3445080;85.07;277148;1714812;3825360;46.41;1829920;1248828
salmon;1;2014-05-26 19-51-21 UTC;608364;3441244;84.98;277148;1711516;3825360;46.41;1830080;1245228
salmon;1;2014-05-26 19-51-22 UTC;610604;3439004;84.92;277148;1706580;3852728;46.75;1832296;1240552
salmon;1;2014-05-26 19-51-23 UTC;592028;3457580;85.38;277148;1713500;3874944;47.02;1843772;1247260
salmon;1;2014-05-26 19-51-24 UTC;596368;3453240;85.27;277148;1709316;3874944;47.02;1843996;1242920
salmon;1;2014-05-26 19-51-25 UTC;596360;3453248;85.27;277148;1709220;3874944;47.02;1844252;1242720
salmon;1;2014-05-26 19-51-26 UTC;592888;3456720;85.36;277148;1713444;3874944;47.02;1844700;1246756
salmon;1;2014-05-26 19-51-27 UTC;593632;3455976;85.34;277148;1711788;3891336;47.21;1844800;1244760
salmon;1;2014-05-26 19-51-28 UTC;594616;3454992;85.32;277148;1710044;3891336;47.21;1844884;1243336
salmon;1;2014-05-26 19-51-29 UTC;597120;3452488;85.25;277148;1707832;3891476;47.22;1845156;1240836
salmon;1;2014-05-26 19-51-30 UTC;595104;3454504;85.30;277148;1709996;3907868;47.41;1845192;1242912
salmon;1;2014-05-26 19-51-31 UTC;597492;3452116;85.25;277148;1707328;3907868;47.41;1845404;1240240
salmon;1;2014-05-26 19-51-32 UTC;591780;3457828;85.39;277148;1713596;3908532;47.42;1846028;1246420
salmon;1;2014-05-26 19-51-33 UTC;596236;3453372;85.28;277148;1707248;4031556;48.92;1845980;1240312
salmon;1;2014-05-26 19-51-34 UTC;595448;3454160;85.30;277152;1707236;3916836;47.52;1847208;1240196
salmon;1;2014-05-26 19-51-35 UTC;590000;3459608;85.43;277152;1708120;3935464;47.75;1850708;1240992
salmon;1;2014-05-26 19-51-36 UTC;567540;3482068;85.99;277152;1720288;4001816;48.55;1862512;1252652
salmon;1;2014-05-26 19-51-37 UTC;564036;3485572;86.07;277152;1723216;4001724;48.55;1862368;1255448
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-51-44 UTC;496620;3552988;87.74;277176;1796192;3917352;47.53;1835048;1344636
salmon;1;2014-05-26 19-51-45 UTC;488412;3561196;87.94;277176;1804552;3916056;47.51;1835324;1352592
salmon;1;2014-05-26 19-51-46 UTC;480600;3569008;88.13;277180;1810632;3917316;47.53;1836968;1358688
salmon;1;2014-05-26 19-51-47 UTC;471748;3577860;88.35;277180;1819680;3915772;47.51;1851100;1352740
salmon;1;2014-05-26 19-51-48 UTC;450056;3599552;88.89;277180;1837212;3920992;47.57;1858192;1367744
salmon;1;2014-05-26 19-51-49 UTC;456536;3593072;88.73;277180;1831852;3956944;48.01;1857636;1360632
salmon;1;2014-05-26 19-51-50 UTC;446004;3603604;88.99;277184;1842120;3918576;47.54;1858892;1370600
salmon;1;2014-05-26 19-51-51 UTC;444652;3604956;89.02;277188;1843112;3918408;47.54;1858764;1371648
salmon;1;2014-05-26 19-51-52 UTC;442688;3606920;89.07;277188;1843208;3952256;47.95;1860428;1371636
salmon;1;2014-05-26 19-51-53 UTC;430268;3619340;89.38;277192;1843992;3976052;48.24;1872356;1372368
salmon;1;2014-05-26 19-51-54 UTC;420612;3628996;89.61;277192;1855272;3974852;48.23;1871232;1383368
salmon;1;2014-05-26 19-51-55 UTC;416768;3632840;89.71;277192;1856824;3976116;48.24;1873244;1385000
salmon;1;2014-05-26 19-51-56 UTC;407824;3641784;89.93;277192;1864896;3975924;48.24;1874656;1392600
salmon;1;2014-05-26 19-51-57 UTC;393528;3656080;90.28;277192;1879884;3974668;48.23;1874076;1407220
salmon;1;2014-05-26 19-51-58 UTC;390440;3659168;90.36;277192;1881832;3976184;48.24;1875032;1409300
salmon;1;2014-05-26 19-51-59 UTC;374956;3674652;90.74;277192;1896772;3976184;48.24;1875756;1423380
salmon;1;2014-05-26 19-52-00 UTC;373984;3675624;90.76;277196;1896256;4018432;48.76;1877948;1422732
salmon;1;2014-05-26 19-52-01 UTC;366060;3683548;90.96;277196;1905016;3975540;48.24;1876896;1431496
salmon;1;2014-05-26 19-52-02 UTC;354032;3695576;91.26;277196;1916340;3976192;48.24;1877932;1442432
salmon;1;2014-05-26 19-52-03 UTC;348736;3700872;91.39;277196;1920020;3977932;48.26;1878660;1446120
