# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-15-51 UTC;-1;11.08;0.00;83.38;0.50;0.00;5.04
salmon;1;2014-05-26 20-15-52 UTC;-1;18.45;0.00;81.55;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-53 UTC;-1;21.55;0.00;78.45;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-54 UTC;-1;14.25;0.00;85.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-55 UTC;-1;7.98;0.00;92.02;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-56 UTC;-1;5.01;0.00;94.99;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-57 UTC;-1;9.77;0.00;90.23;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-58 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-15-59 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-00 UTC;-1;12.72;0.00;87.28;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-01 UTC;-1;7.52;0.00;92.48;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-02 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-03 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-04 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-05 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-06 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-07 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-08 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-09 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-10 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-16-17 UTC;-1;6.78;0.00;87.94;0.00;0.00;5.28
salmon;1;2014-05-26 20-16-18 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-19 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-20 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-21 UTC;-1;13.53;0.00;86.47;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-22 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-23 UTC;-1;8.71;0.00;91.04;0.00;0.00;0.25
salmon;1;2014-05-26 20-16-24 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-25 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-26 UTC;-1;1.26;0.00;98.74;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-27 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-28 UTC;-1;1.74;0.00;98.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-29 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-30 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-31 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-32 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-33 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-34 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-35 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-36 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-16-17 UTC;-1;6.78;0.00;87.94;0.00;0.00;5.28
salmon;1;2014-05-26 20-16-18 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-19 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-20 UTC;-1;7.77;0.00;92.23;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-21 UTC;-1;13.53;0.00;86.47;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-22 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-23 UTC;-1;8.71;0.00;91.04;0.00;0.00;0.25
salmon;1;2014-05-26 20-16-24 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-25 UTC;-1;3.74;0.00;96.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-26 UTC;-1;1.26;0.00;98.74;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-27 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-28 UTC;-1;1.74;0.00;98.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-29 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-30 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-31 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-32 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-33 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-34 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-35 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-16-36 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;5;2014-05-26 20-16-41 UTC;-1;1.93;0.00;76.09;0.00;0.00;21.98
