# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 20-15-51 UTC;336652;3712956;91.69;225896;2030624;3802540;46.14;1925112;1418888
salmon;1;2014-05-26 20-15-52 UTC;342968;3706640;91.53;225904;2023528;3802844;46.14;1926976;1410256
salmon;1;2014-05-26 20-15-53 UTC;338844;3710764;91.63;225928;2027616;3803116;46.14;1927484;1414412
salmon;1;2014-05-26 20-15-54 UTC;338768;3710840;91.63;225972;2027516;3811612;46.25;1927708;1414076
salmon;1;2014-05-26 20-15-55 UTC;336900;3712708;91.68;225972;2028772;3811744;46.25;1927796;1415328
salmon;1;2014-05-26 20-15-56 UTC;332560;3717048;91.79;226008;2033308;3811744;46.25;1927892;1419668
salmon;1;2014-05-26 20-15-57 UTC;332296;3717312;91.79;226036;2028020;3831916;46.49;1934224;1413304
salmon;1;2014-05-26 20-15-58 UTC;320748;3728860;92.08;226040;2036888;3834448;46.52;1937044;1422044
salmon;1;2014-05-26 20-15-59 UTC;320028;3729580;92.10;226052;2028260;3846084;46.67;1946772;1413468
salmon;1;2014-05-26 20-16-00 UTC;313688;3735920;92.25;226068;2030432;3854652;46.77;1950292;1415584
salmon;1;2014-05-26 20-16-01 UTC;316424;3733184;92.19;226080;2025672;3848608;46.70;1952140;1410872
salmon;1;2014-05-26 20-16-02 UTC;305760;3743848;92.45;226168;2032804;3856804;46.80;1955872;1417840
salmon;1;2014-05-26 20-16-03 UTC;309348;3740260;92.36;226176;2029100;3865000;46.89;1956488;1414184
salmon;1;2014-05-26 20-16-04 UTC;309100;3740508;92.37;226176;2029496;3865000;46.89;1956508;1414396
salmon;1;2014-05-26 20-16-05 UTC;309480;3740128;92.36;226176;2028476;3865000;46.89;1956616;1413368
salmon;1;2014-05-26 20-16-06 UTC;309464;3740144;92.36;226188;2028328;3865440;46.90;1956908;1413396
salmon;1;2014-05-26 20-16-07 UTC;309108;3740500;92.37;226196;2028340;3865440;46.90;1956912;1413536
salmon;1;2014-05-26 20-16-08 UTC;309116;3740492;92.37;226212;2029300;3865440;46.90;1956852;1414088
salmon;1;2014-05-26 20-16-09 UTC;304768;3744840;92.47;226220;2033896;3865440;46.90;1956840;1418656
salmon;1;2014-05-26 20-16-10 UTC;307132;3742476;92.42;226228;2031544;3866884;46.92;1957208;1416440
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
