# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-47-47 UTC;-1;8.56;0.00;85.89;0.00;0.00;5.54
salmon;1;2014-05-26 19-47-48 UTC;-1;12.75;0.00;87.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-49 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-50 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-51 UTC;-1;8.00;0.00;92.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-52 UTC;-1;5.49;0.00;94.51;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-53 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-54 UTC;-1;9.23;0.00;90.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-55 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-56 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-57 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-58 UTC;-1;4.26;0.00;95.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-47-59 UTC;-1;7.48;0.00;92.52;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-00 UTC;-1;7.23;0.00;92.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-01 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-02 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-03 UTC;-1;5.50;0.00;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-04 UTC;-1;8.77;0.00;91.23;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-05 UTC;-1;11.97;0.00;88.03;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-06 UTC;-1;11.03;0.00;88.97;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-48-12 UTC;-1;6.98;0.00;87.03;0.25;0.00;5.74
salmon;1;2014-05-26 19-48-13 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-14 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-15 UTC;-1;5.26;0.00;94.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-16 UTC;-1;5.51;0.00;94.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-17 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-18 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-19 UTC;-1;8.25;0.00;91.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-20 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-21 UTC;-1;5.47;0.00;94.53;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-22 UTC;-1;5.29;0.00;94.71;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-23 UTC;-1;6.23;0.00;93.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-24 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-25 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-26 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-27 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-28 UTC;-1;5.51;0.00;94.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-29 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-30 UTC;-1;7.23;0.00;92.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-48-31 UTC;-1;5.76;0.00;94.24;0.00;0.00;0.00
