# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-47-47 UTC;613376;3436232;84.85;276480;1714556;3838692;46.58;1799632;1270860
salmon;1;2014-05-26 19-47-48 UTC;623548;3426060;84.60;276480;1701296;3822488;46.38;1803136;1256768
salmon;1;2014-05-26 19-47-49 UTC;620812;3428796;84.67;276480;1703496;3822628;46.38;1803504;1258720
salmon;1;2014-05-26 19-47-50 UTC;621788;3427820;84.65;276480;1702864;3821960;46.37;1802828;1257884
salmon;1;2014-05-26 19-47-51 UTC;622664;3426944;84.62;276480;1701316;3823176;46.39;1804296;1256648
salmon;1;2014-05-26 19-47-52 UTC;622532;3427076;84.63;276480;1701180;3823176;46.39;1804148;1256216
salmon;1;2014-05-26 19-47-53 UTC;618316;3431292;84.73;276480;1705780;3822908;46.38;1804316;1260872
salmon;1;2014-05-26 19-47-54 UTC;623524;3426084;84.60;276480;1701184;3859388;46.83;1803076;1256060
salmon;1;2014-05-26 19-47-55 UTC;618680;3430928;84.72;276480;1706436;3821552;46.37;1802984;1261076
salmon;1;2014-05-26 19-47-56 UTC;619184;3430424;84.71;276480;1706340;3821960;46.37;1803612;1260992
salmon;1;2014-05-26 19-47-57 UTC;619556;3430052;84.70;276480;1704276;3823048;46.39;1804600;1258792
salmon;1;2014-05-26 19-47-58 UTC;620828;3428780;84.67;276480;1704176;3822224;46.38;1803876;1258656
salmon;1;2014-05-26 19-47-59 UTC;617016;3432592;84.76;276480;1707532;3823312;46.39;1805132;1261716
salmon;1;2014-05-26 19-48-00 UTC;621124;3428484;84.66;276480;1703120;3822228;46.38;1804348;1257536
salmon;1;2014-05-26 19-48-01 UTC;621976;3427632;84.64;276488;1703208;3821428;46.37;1803924;1257016
salmon;1;2014-05-26 19-48-02 UTC;619744;3429864;84.70;276488;1705520;3821552;46.37;1804252;1259148
salmon;1;2014-05-26 19-48-03 UTC;619768;3429840;84.70;276488;1705228;3821960;46.37;1804676;1258824
salmon;1;2014-05-26 19-48-04 UTC;618272;3431336;84.73;276488;1706116;3822760;46.38;1805780;1259524
salmon;1;2014-05-26 19-48-05 UTC;620620;3428988;84.67;276488;1703140;3822908;46.38;1806236;1256364
salmon;1;2014-05-26 19-48-06 UTC;612916;3436692;84.86;276488;1705692;3829860;46.47;1811552;1258556
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-48-12 UTC;617304;3432304;84.76;276512;1701440;3815960;46.30;1790444;1272192
salmon;1;2014-05-26 19-48-13 UTC;614460;3435148;84.83;276512;1701848;3826500;46.43;1792324;1272448
salmon;1;2014-05-26 19-48-14 UTC;617676;3431932;84.75;276512;1701844;3822484;46.38;1788308;1272444
salmon;1;2014-05-26 19-48-15 UTC;618644;3430964;84.72;276512;1702456;3859364;46.83;1787476;1272888
salmon;1;2014-05-26 19-48-16 UTC;612352;3437256;84.88;276512;1708668;3820688;46.36;1803736;1262116
salmon;1;2014-05-26 19-48-17 UTC;610600;3439008;84.92;276512;1709796;3821416;46.37;1804916;1263076
salmon;1;2014-05-26 19-48-18 UTC;615172;3434436;84.81;276512;1704728;3822084;46.37;1806248;1256988
salmon;1;2014-05-26 19-48-19 UTC;615560;3434048;84.80;276524;1704108;3823168;46.39;1807912;1255964
salmon;1;2014-05-26 19-48-20 UTC;616552;3433056;84.78;276524;1703052;3822616;46.38;1807584;1254896
salmon;1;2014-05-26 19-48-21 UTC;614212;3435396;84.83;276524;1706416;3820688;46.36;1806316;1258012
salmon;1;2014-05-26 19-48-22 UTC;617808;3431800;84.74;276528;1702480;3822484;46.38;1807076;1254312
salmon;1;2014-05-26 19-48-23 UTC;614576;3435032;84.82;276536;1705972;3820688;46.36;1806548;1257400
salmon;1;2014-05-26 19-48-24 UTC;615692;3433916;84.80;276540;1704528;3859364;46.83;1806684;1255940
salmon;1;2014-05-26 19-48-25 UTC;612468;3437140;84.88;276596;1707004;3822352;46.38;1807664;1258288
salmon;1;2014-05-26 19-48-26 UTC;616668;3432940;84.77;276644;1703496;3822352;46.38;1807676;1254744
salmon;1;2014-05-26 19-48-27 UTC;613452;3436156;84.85;276644;1706496;3823032;46.39;1808468;1257520
salmon;1;2014-05-26 19-48-28 UTC;613568;3436040;84.85;276644;1707180;3821948;46.37;1807348;1258252
salmon;1;2014-05-26 19-48-29 UTC;612476;3437132;84.88;276644;1706976;3822616;46.38;1808260;1257964
salmon;1;2014-05-26 19-48-30 UTC;613708;3435900;84.85;276644;1705768;3823164;46.39;1808816;1256548
salmon;1;2014-05-26 19-48-31 UTC;613312;3436296;84.86;276696;1705048;3824352;46.40;1808736;1256168
