# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 13-57-47 UTC;230868;3818740;94.30;459788;1925824;3744168;45.43;2183864;1269888
salmon;1;2014-05-26 13-57-48 UTC;228208;3821400;94.36;459792;1927188;3762324;45.65;2185708;1270704
salmon;1;2014-05-26 13-57-49 UTC;228820;3820788;94.35;459792;1925932;3762324;45.65;2185588;1269916
salmon;1;2014-05-26 13-57-50 UTC;228588;3821020;94.36;459792;1926056;3762324;45.65;2185704;1269996
salmon;1;2014-05-26 13-57-51 UTC;228020;3821588;94.37;459792;1926100;3763056;45.66;2186344;1270016
salmon;1;2014-05-26 13-57-52 UTC;227600;3822008;94.38;459792;1925880;3763056;45.66;2186460;1269824
salmon;1;2014-05-26 13-57-53 UTC;225352;3824256;94.44;459792;1928640;3763056;45.66;2186496;1272432
salmon;1;2014-05-26 13-57-54 UTC;221384;3828224;94.53;459792;1933268;3763056;45.66;2186500;1276728
salmon;1;2014-05-26 13-57-55 UTC;225644;3823964;94.43;459792;1928344;3763056;45.66;2186724;1272064
salmon;1;2014-05-26 13-57-56 UTC;227240;3822368;94.39;459792;1926536;3763056;45.66;2186644;1270016
salmon;1;2014-05-26 13-57-57 UTC;224488;3825120;94.46;459792;1929712;3763056;45.66;2186788;1273120
salmon;1;2014-05-26 13-57-58 UTC;226536;3823072;94.41;459796;1926380;3763512;45.66;2187568;1269732
salmon;1;2014-05-26 13-57-59 UTC;221080;3828528;94.54;459796;1931172;3772016;45.77;2189044;1274520
salmon;1;2014-05-26 13-58-00 UTC;219304;3830304;94.58;459796;1932180;3772164;45.77;2189352;1275376
salmon;1;2014-05-26 13-58-01 UTC;221792;3827816;94.52;459796;1929004;3772164;45.77;2190128;1272104
salmon;1;2014-05-26 13-58-02 UTC;219528;3830080;94.58;459796;1931872;3772164;45.77;2189956;1274792
salmon;1;2014-05-26 13-58-03 UTC;219844;3829764;94.57;459796;1931096;3772164;45.77;2190096;1274004
salmon;1;2014-05-26 13-58-04 UTC;221920;3827688;94.52;459796;1929096;3772316;45.77;2189980;1272032
salmon;1;2014-05-26 13-58-05 UTC;223056;3826552;94.49;459796;1928612;3772316;45.77;2189896;1271752
salmon;1;2014-05-26 13-58-06 UTC;218528;3831080;94.60;459800;1933036;3774096;45.79;2190456;1276024
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 13-58-12 UTC;227448;3822160;94.38;459824;1931512;3711876;45.04;2182064;1270972
salmon;1;2014-05-26 13-58-13 UTC;218604;3831004;94.60;459828;1931764;3762204;45.65;2192836;1268928
salmon;1;2014-05-26 13-58-14 UTC;218280;3831328;94.61;459828;1929428;3771188;45.76;2195216;1266444
salmon;1;2014-05-26 13-58-15 UTC;218164;3831444;94.61;459832;1929516;3771188;45.76;2195288;1266360
salmon;1;2014-05-26 13-58-16 UTC;218164;3831444;94.61;459832;1929840;3771188;45.76;2195304;1266600
salmon;1;2014-05-26 13-58-17 UTC;217900;3831708;94.62;459832;1929852;3771188;45.76;2195332;1266664
salmon;1;2014-05-26 13-58-18 UTC;216908;3832700;94.64;459832;1929932;3773568;45.79;2196368;1266592
salmon;1;2014-05-26 13-58-19 UTC;216536;3833072;94.65;459832;1931168;3771340;45.76;2195684;1267892
salmon;1;2014-05-26 13-58-20 UTC;216156;3833452;94.66;459832;1931552;3771340;45.76;2195704;1268344
salmon;1;2014-05-26 13-58-21 UTC;215140;3834468;94.69;459848;1932536;3771340;45.76;2195708;1269216
salmon;1;2014-05-26 13-58-22 UTC;212032;3837576;94.76;459856;1934132;3780128;45.86;2196596;1270908
salmon;1;2014-05-26 13-58-23 UTC;210288;3839320;94.81;459856;1935448;3780128;45.86;2197108;1272272
salmon;1;2014-05-26 13-58-24 UTC;208784;3840824;94.84;459856;1936696;3781152;45.88;2197512;1273372
salmon;1;2014-05-26 13-58-25 UTC;207644;3841964;94.87;459860;1936932;3789380;45.98;2198000;1273452
salmon;1;2014-05-26 13-58-26 UTC;198912;3850696;95.09;459864;1945760;3789380;45.98;2198252;1282260
salmon;1;2014-05-26 13-58-27 UTC;198152;3851456;95.11;459868;1946384;3797708;46.08;2198632;1282816
salmon;1;2014-05-26 13-58-28 UTC;206476;3843132;94.90;459868;1936992;3797840;46.08;2198984;1273780
salmon;1;2014-05-26 13-58-29 UTC;203996;3845612;94.96;459868;1940420;3797840;46.08;2199212;1276696
salmon;1;2014-05-26 13-58-30 UTC;206244;3843364;94.91;459872;1937060;3797840;46.08;2199008;1273876
salmon;1;2014-05-26 13-58-31 UTC;202740;3846868;94.99;459876;1939960;3799060;46.09;2199332;1276884
