# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-03-52 UTC;-1;10.25;0.00;85.25;0.00;0.00;4.50
salmon;1;2014-05-26 14-03-53 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-03-54 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-03-55 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 14-03-56 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-03-57 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-03-58 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-03-59 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-00 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-01 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-02 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-03 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-04 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-05 UTC;-1;1.99;0.00;98.01;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-06 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-07 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-08 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-09 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-10 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-11 UTC;-1;5.00;0.00;95.00;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-04-17 UTC;-1;8.04;0.00;87.44;0.00;0.00;4.52
salmon;1;2014-05-26 14-04-18 UTC;-1;7.02;0.00;92.98;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-19 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-20 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-21 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-22 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-23 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-24 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-25 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-26 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-27 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-28 UTC;-1;1.00;0.00;98.75;0.00;0.00;0.25
salmon;1;2014-05-26 14-04-29 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-30 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-31 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-32 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-33 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-34 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-35 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-04-36 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
