# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-03-52 UTC;217156;3832452;94.64;460292;1945012;3773284;45.78;2185312;1279528
salmon;1;2014-05-26 14-03-53 UTC;210552;3839056;94.80;460292;1952228;3773284;45.78;2185840;1286736
salmon;1;2014-05-26 14-03-54 UTC;214008;3835600;94.72;460292;1948156;3773284;45.78;2185968;1282660
salmon;1;2014-05-26 14-03-55 UTC;216800;3832808;94.65;460292;1944548;3773284;45.78;2185992;1279712
salmon;1;2014-05-26 14-03-56 UTC;213460;3836148;94.73;460292;1948708;3765108;45.68;2185916;1283184
salmon;1;2014-05-26 14-03-57 UTC;214544;3835064;94.70;460292;1947200;3765108;45.68;2186032;1282008
salmon;1;2014-05-26 14-03-58 UTC;212668;3836940;94.75;460292;1948920;3765108;45.68;2185932;1283584
salmon;1;2014-05-26 14-03-59 UTC;214156;3835452;94.71;460292;1948328;3765252;45.68;2185952;1282836
salmon;1;2014-05-26 14-04-00 UTC;215396;3834212;94.68;460292;1946320;3765252;45.68;2185960;1280968
salmon;1;2014-05-26 14-04-01 UTC;216140;3833468;94.66;460292;1945892;3765252;45.68;2186004;1280372
salmon;1;2014-05-26 14-04-02 UTC;212528;3837080;94.75;460292;1949148;3765252;45.68;2185980;1283820
salmon;1;2014-05-26 14-04-03 UTC;216000;3833608;94.67;460292;1945256;3765252;45.68;2185972;1279976
salmon;1;2014-05-26 14-04-04 UTC;212824;3836784;94.74;460292;1949068;3765252;45.68;2186516;1283400
salmon;1;2014-05-26 14-04-05 UTC;214560;3835048;94.70;460292;1947856;3765252;45.68;2186344;1282032
salmon;1;2014-05-26 14-04-06 UTC;216124;3833484;94.66;460292;1944888;3765252;45.68;2186540;1279232
salmon;1;2014-05-26 14-04-07 UTC;216876;3832732;94.64;460292;1945028;3765252;45.68;2186492;1279164
salmon;1;2014-05-26 14-04-08 UTC;216976;3832632;94.64;460292;1944760;3765252;45.68;2186440;1279168
salmon;1;2014-05-26 14-04-09 UTC;216432;3833176;94.66;460292;1945008;3765620;45.69;2186456;1279376
salmon;1;2014-05-26 14-04-10 UTC;212248;3837360;94.76;460292;1949640;3765620;45.69;2186540;1283856
salmon;1;2014-05-26 14-04-11 UTC;216060;3833548;94.66;460292;1945040;3766620;45.70;2187032;1279448
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-04-17 UTC;222372;3827236;94.51;460316;1942700;3738428;45.36;2174332;1281944
salmon;1;2014-05-26 14-04-18 UTC;213196;3836412;94.74;460316;1950904;3738820;45.36;2178784;1286144
salmon;1;2014-05-26 14-04-19 UTC;220380;3829228;94.56;460316;1942344;3739872;45.38;2181712;1275916
salmon;1;2014-05-26 14-04-20 UTC;220340;3829268;94.56;460316;1942656;3740024;45.38;2181748;1276304
salmon;1;2014-05-26 14-04-21 UTC;220432;3829176;94.56;460316;1942232;3740024;45.38;2181964;1275940
salmon;1;2014-05-26 14-04-22 UTC;220664;3828944;94.55;460316;1942008;3740024;45.38;2181832;1275844
salmon;1;2014-05-26 14-04-23 UTC;209860;3839748;94.82;460316;1952512;3740024;45.38;2182192;1286044
salmon;1;2014-05-26 14-04-24 UTC;210728;3838880;94.80;460316;1952628;3740024;45.38;2182132;1286080
salmon;1;2014-05-26 14-04-25 UTC;220124;3829484;94.56;460316;1942432;3740024;45.38;2181996;1276292
salmon;1;2014-05-26 14-04-26 UTC;209600;3840008;94.82;460320;1953748;3740248;45.38;2182264;1286844
salmon;1;2014-05-26 14-04-27 UTC;219736;3829872;94.57;460320;1942764;3740248;45.38;2182124;1276192
salmon;1;2014-05-26 14-04-28 UTC;220172;3829436;94.56;460320;1942224;3740248;45.38;2182296;1276168
salmon;1;2014-05-26 14-04-29 UTC;214220;3835388;94.71;460320;1947548;3740248;45.38;2182360;1281128
salmon;1;2014-05-26 14-04-30 UTC;216700;3832908;94.65;460320;1944368;3742864;45.41;2183136;1277964
salmon;1;2014-05-26 14-04-31 UTC;213692;3835916;94.72;460324;1946868;3743488;45.42;2183892;1280596
salmon;1;2014-05-26 14-04-32 UTC;206500;3843108;94.90;460324;1954836;3743488;45.42;2183832;1288024
salmon;1;2014-05-26 14-04-33 UTC;216164;3833444;94.66;460324;1944436;3743488;45.42;2183740;1278156
salmon;1;2014-05-26 14-04-34 UTC;216024;3833584;94.67;460324;1944472;3743620;45.42;2183952;1278148
salmon;1;2014-05-26 14-04-35 UTC;213552;3836056;94.73;460324;1946856;3743800;45.42;2184048;1280496
salmon;1;2014-05-26 14-04-36 UTC;204608;3845000;94.95;460324;1956096;3746580;45.46;2184264;1289292
