# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-06-31 UTC;-1;12.12;0.00;82.83;0.00;0.00;5.05
salmon;1;2014-05-26 14-06-32 UTC;-1;8.02;0.00;91.98;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-33 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-34 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-35 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-36 UTC;-1;1.99;0.00;98.01;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-37 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-38 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-39 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-40 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-41 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-42 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-43 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-44 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-45 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-46 UTC;-1;5.49;0.00;94.51;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-47 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-48 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-49 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-50 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-06-57 UTC;-1;4.03;0.00;90.93;0.00;0.00;5.04
salmon;1;2014-05-26 14-06-58 UTC;-1;7.71;0.00;92.29;0.00;0.00;0.00
salmon;1;2014-05-26 14-06-59 UTC;-1;6.75;0.00;93.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-00 UTC;-1;3.75;0.00;96.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-01 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-02 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-03 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-04 UTC;-1;3.50;0.00;96.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-05 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-06 UTC;-1;1.49;0.00;98.51;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-07 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-08 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-09 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-10 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-11 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-12 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-13 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-14 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-15 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-07-16 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
