# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-06-31 UTC;200540;3849068;95.05;460788;1960948;3750412;45.50;2190176;1291228
salmon;1;2014-05-26 14-06-32 UTC;197872;3851736;95.11;460788;1964808;3750412;45.50;2190332;1294824
salmon;1;2014-05-26 14-06-33 UTC;201672;3847936;95.02;460788;1960784;3750412;45.50;2190432;1290688
salmon;1;2014-05-26 14-06-34 UTC;207588;3842020;94.87;460788;1954528;3750580;45.51;2190736;1284612
salmon;1;2014-05-26 14-06-35 UTC;205948;3843660;94.91;460788;1956044;3750580;45.51;2190724;1286080
salmon;1;2014-05-26 14-06-36 UTC;207720;3841888;94.87;460804;1953740;3750580;45.51;2190796;1283988
salmon;1;2014-05-26 14-06-37 UTC;206588;3843020;94.90;460808;1954684;3751508;45.52;2191780;1284568
salmon;1;2014-05-26 14-06-38 UTC;201168;3848440;95.03;460808;1960104;3751508;45.52;2191904;1290100
salmon;1;2014-05-26 14-06-39 UTC;205244;3844364;94.93;460812;1956136;3751508;45.52;2191904;1286036
salmon;1;2014-05-26 14-06-40 UTC;198424;3851184;95.10;460812;1962748;3751508;45.52;2191824;1292564
salmon;1;2014-05-26 14-06-41 UTC;199664;3849944;95.07;460812;1960568;3751508;45.52;2192100;1290536
salmon;1;2014-05-26 14-06-42 UTC;206420;3843188;94.90;460824;1953700;3751508;45.52;2192084;1283512
salmon;1;2014-05-26 14-06-43 UTC;206792;3842816;94.89;460824;1953884;3751508;45.52;2192272;1283556
salmon;1;2014-05-26 14-06-44 UTC;207024;3842584;94.89;460824;1954056;3751508;45.52;2192096;1283788
salmon;1;2014-05-26 14-06-45 UTC;201664;3847944;95.02;460824;1959432;3751508;45.52;2192296;1288888
salmon;1;2014-05-26 14-06-46 UTC;203736;3845872;94.97;460824;1955676;3751508;45.52;2192252;1285488
salmon;1;2014-05-26 14-06-47 UTC;204268;3845340;94.96;460824;1956276;3751508;45.52;2192204;1285864
salmon;1;2014-05-26 14-06-48 UTC;204608;3845000;94.95;460824;1956352;3751508;45.52;2192272;1285864
salmon;1;2014-05-26 14-06-49 UTC;203864;3845744;94.97;460824;1957680;3751508;45.52;2192108;1286740
salmon;1;2014-05-26 14-06-50 UTC;206864;3842744;94.89;460824;1954108;3753192;45.54;2192508;1283584
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-06-57 UTC;216608;3833000;94.65;460848;1954228;3736520;45.34;2169540;1291876
salmon;1;2014-05-26 14-06-58 UTC;201988;3847620;95.01;460852;1959416;3746524;45.46;2190204;1285688
salmon;1;2014-05-26 14-06-59 UTC;202800;3846808;94.99;460852;1954684;3797432;46.07;2193908;1280732
salmon;1;2014-05-26 14-07-00 UTC;192852;3856756;95.24;460852;1963364;3797996;46.08;2194932;1289088
salmon;1;2014-05-26 14-07-01 UTC;198556;3851052;95.10;460856;1958252;3797996;46.08;2195160;1284168
salmon;1;2014-05-26 14-07-02 UTC;200168;3849440;95.06;460856;1955000;3798328;46.09;2195176;1281536
salmon;1;2014-05-26 14-07-03 UTC;195332;3854276;95.18;460856;1960692;3798328;46.09;2195260;1286632
salmon;1;2014-05-26 14-07-04 UTC;197812;3851796;95.12;460856;1957768;3798328;46.09;2195280;1283664
salmon;1;2014-05-26 14-07-05 UTC;197788;3851820;95.12;460856;1957704;3798328;46.09;2195188;1283968
salmon;1;2014-05-26 14-07-06 UTC;200408;3849200;95.05;460860;1955296;3798328;46.09;2195368;1281300
salmon;1;2014-05-26 14-07-07 UTC;195928;3853680;95.16;460860;1959128;3798328;46.09;2195272;1285364
salmon;1;2014-05-26 14-07-08 UTC;196300;3853308;95.15;460860;1958620;3798328;46.09;2195356;1284768
salmon;1;2014-05-26 14-07-09 UTC;197296;3852312;95.13;460860;1959080;3798328;46.09;2195412;1285108
salmon;1;2014-05-26 14-07-10 UTC;201524;3848084;95.02;460860;1954612;3798328;46.09;2195340;1280156
salmon;1;2014-05-26 14-07-11 UTC;198304;3851304;95.10;460864;1957636;3798328;46.09;2195460;1283184
salmon;1;2014-05-26 14-07-12 UTC;194716;3854892;95.19;460864;1960164;3799280;46.10;2197332;1285560
salmon;1;2014-05-26 14-07-13 UTC;193600;3856008;95.22;460864;1959904;3799568;46.10;2197380;1285432
salmon;1;2014-05-26 14-07-14 UTC;195220;3854388;95.18;460864;1958372;3799316;46.10;2197640;1284352
salmon;1;2014-05-26 14-07-15 UTC;197700;3851908;95.12;460864;1955440;3799464;46.10;2197692;1281448
salmon;1;2014-05-26 14-07-16 UTC;192940;3856668;95.24;460872;1960500;3800844;46.12;2197916;1286044
