# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-08-23 UTC;-1;10.50;0.00;84.25;0.00;0.00;5.25
salmon;1;2014-05-26 14-08-24 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-25 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-26 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-27 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-28 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-29 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-30 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-31 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-32 UTC;-1;1.72;0.00;98.28;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-33 UTC;-1;3.49;0.00;96.51;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-34 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-35 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-36 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-37 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-38 UTC;-1;1.99;0.00;98.01;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-39 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-40 UTC;-1;4.24;0.00;95.76;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-41 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-42 UTC;-1;4.01;0.00;95.99;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 14-08-48 UTC;-1;7.04;0.00;87.19;0.00;0.00;5.78
salmon;1;2014-05-26 14-08-49 UTC;-1;8.48;0.00;91.52;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-50 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-51 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-52 UTC;-1;4.74;0.00;95.26;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-53 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-54 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-55 UTC;-1;0.75;0.00;99.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-56 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-57 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-58 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 14-08-59 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-00 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-01 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-02 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-03 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-04 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-05 UTC;-1;2.49;0.00;97.51;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-06 UTC;-1;1.00;0.00;99.00;0.00;0.00;0.00
salmon;1;2014-05-26 14-09-07 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
