# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-08-23 UTC;199876;3849732;95.06;460956;1969204;3758160;45.60;2189724;1293332
salmon;1;2014-05-26 14-08-24 UTC;206220;3843388;94.91;460956;1962428;3758160;45.60;2189572;1286904
salmon;1;2014-05-26 14-08-25 UTC;201336;3848272;95.03;460956;1967188;3758160;45.60;2189716;1291312
salmon;1;2014-05-26 14-08-26 UTC;202296;3847312;95.00;460956;1966660;3758160;45.60;2189776;1290840
salmon;1;2014-05-26 14-08-27 UTC;194004;3855604;95.21;460956;1974204;3758348;45.60;2189928;1298184
salmon;1;2014-05-26 14-08-28 UTC;198568;3851040;95.10;460956;1970888;3758348;45.60;2189984;1294648
salmon;1;2014-05-26 14-08-29 UTC;205900;3843708;94.92;460956;1962356;3758348;45.60;2189772;1286392
salmon;1;2014-05-26 14-08-30 UTC;205804;3843804;94.92;460956;1961768;3758348;45.60;2189876;1286372
salmon;1;2014-05-26 14-08-31 UTC;197868;3851740;95.11;460956;1970748;3758348;45.60;2189868;1294812
salmon;1;2014-05-26 14-08-32 UTC;198440;3851168;95.10;460956;1969564;3758704;45.61;2189924;1293664
salmon;1;2014-05-26 14-08-33 UTC;196208;3853400;95.15;460956;1971976;3758704;45.61;2189976;1295952
salmon;1;2014-05-26 14-08-34 UTC;199060;3850548;95.08;460956;1969816;3758704;45.61;2189844;1293828
salmon;1;2014-05-26 14-08-35 UTC;200888;3848720;95.04;460964;1966596;3759136;45.61;2189932;1290876
salmon;1;2014-05-26 14-08-36 UTC;198532;3851076;95.10;460964;1969580;3758648;45.60;2190012;1293524
salmon;1;2014-05-26 14-08-37 UTC;204004;3845604;94.96;460964;1964384;3758776;45.61;2189904;1288436
salmon;1;2014-05-26 14-08-38 UTC;203756;3845852;94.97;460964;1964772;3758776;45.61;2190312;1288532
salmon;1;2014-05-26 14-08-39 UTC;196936;3852672;95.14;460964;1970268;3767788;45.72;2190888;1293852
salmon;1;2014-05-26 14-08-40 UTC;200464;3849144;95.05;460964;1968112;3758760;45.61;2190364;1291884
salmon;1;2014-05-26 14-08-41 UTC;204120;3845488;94.96;460964;1964084;3758760;45.61;2190444;1288144
salmon;1;2014-05-26 14-08-42 UTC;203576;3846032;94.97;460964;1964292;3760888;45.63;2190784;1288344
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 14-08-48 UTC;204428;3845180;94.95;460996;1963896;3738228;45.36;2170244;1303388
salmon;1;2014-05-26 14-08-49 UTC;197956;3851652;95.11;461008;1969484;3748664;45.48;2187260;1292968
salmon;1;2014-05-26 14-08-50 UTC;199768;3849840;95.07;461008;1967040;3748664;45.48;2189272;1288788
salmon;1;2014-05-26 14-08-51 UTC;200388;3849220;95.05;461008;1965384;3748664;45.48;2191160;1286876
salmon;1;2014-05-26 14-08-52 UTC;198520;3851088;95.10;461008;1966168;3757424;45.59;2192220;1287392
salmon;1;2014-05-26 14-08-53 UTC;190584;3859024;95.29;461012;1974560;3757424;45.59;2192520;1295340
salmon;1;2014-05-26 14-08-54 UTC;198116;3851492;95.11;461012;1966204;3757900;45.60;2192376;1287832
salmon;1;2014-05-26 14-08-55 UTC;197704;3851904;95.12;461012;1966188;3757900;45.60;2192276;1287648
salmon;1;2014-05-26 14-08-56 UTC;197704;3851904;95.12;461012;1966540;3757900;45.60;2192308;1287896
salmon;1;2014-05-26 14-08-57 UTC;197828;3851780;95.11;461012;1966412;3757740;45.59;2192528;1287820
salmon;1;2014-05-26 14-08-58 UTC;197704;3851904;95.12;461012;1966728;3757740;45.59;2192576;1288100
salmon;1;2014-05-26 14-08-59 UTC;197456;3852152;95.12;461016;1966732;3757740;45.59;2192628;1288052
salmon;1;2014-05-26 14-09-00 UTC;197456;3852152;95.12;461016;1966816;3757740;45.59;2192696;1288068
salmon;1;2014-05-26 14-09-01 UTC;196216;3853392;95.15;461016;1967868;3758176;45.60;2192816;1289004
salmon;1;2014-05-26 14-09-02 UTC;194852;3854756;95.19;461016;1969200;3758176;45.60;2192852;1290304
salmon;1;2014-05-26 14-09-03 UTC;195232;3854376;95.18;461024;1969096;3757700;45.59;2192924;1290148
salmon;1;2014-05-26 14-09-04 UTC;194248;3855360;95.20;461024;1970148;3757700;45.59;2192944;1291180
salmon;1;2014-05-26 14-09-05 UTC;190544;3859064;95.29;461024;1973648;3758184;45.60;2193224;1294348
salmon;1;2014-05-26 14-09-06 UTC;186452;3863156;95.40;461024;1977608;3758184;45.60;2193276;1298384
salmon;1;2014-05-26 14-09-07 UTC;187164;3862444;95.38;461024;1976264;3759560;45.62;2193376;1297060
