# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 13-52-24 UTC;-1;7.29;0.00;86.43;0.75;0.00;5.53
salmon;1;2014-05-26 13-52-25 UTC;-1;7.00;0.00;93.00;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-26 UTC;-1;4.49;0.00;95.51;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-27 UTC;-1;3.76;0.00;96.24;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-28 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-29 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-30 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-31 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-32 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-33 UTC;-1;2.51;0.00;97.49;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-34 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-35 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-36 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-37 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-38 UTC;-1;2.00;0.00;98.00;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-39 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-40 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-41 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-42 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-43 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 13-52-49 UTC;-1;4.75;1.75;90.00;0.00;0.00;3.50
salmon;1;2014-05-26 13-52-50 UTC;-1;4.75;0.75;94.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-51 UTC;-1;14.50;0.00;85.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-52 UTC;-1;11.00;0.00;89.00;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-53 UTC;-1;13.47;0.00;86.53;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-54 UTC;-1;19.70;0.00;80.30;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-55 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-56 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-57 UTC;-1;4.49;0.00;95.51;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-58 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-52-59 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-00 UTC;-1;2.01;0.00;97.99;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-01 UTC;-1;2.25;0.00;97.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-02 UTC;-1;1.99;0.00;98.01;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-03 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-04 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-05 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-06 UTC;-1;0.50;0.00;99.50;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-07 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
salmon;1;2014-05-26 13-53-08 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
