# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 13-52-24 UTC;165492;3884116;95.91;458688;1905820;3944552;47.86;2192116;1326080
salmon;1;2014-05-26 13-52-25 UTC;167652;3881956;95.86;458688;1903792;3944552;47.86;2193232;1323040
salmon;1;2014-05-26 13-52-26 UTC;165372;3884236;95.92;458688;1906096;3944552;47.86;2194064;1324440
salmon;1;2014-05-26 13-52-27 UTC;165124;3884484;95.92;458688;1907536;3944552;47.86;2195164;1324808
salmon;1;2014-05-26 13-52-28 UTC;161620;3887988;96.01;458688;1910676;3944552;47.86;2196124;1326968
salmon;1;2014-05-26 13-52-29 UTC;159388;3890220;96.06;458688;1913628;3944552;47.86;2197044;1328684
salmon;1;2014-05-26 13-52-30 UTC;165820;3883788;95.91;458688;1906108;3944552;47.86;2197724;1320688
salmon;1;2014-05-26 13-52-31 UTC;166424;3883184;95.89;458688;1906076;3944552;47.86;2198572;1320096
salmon;1;2014-05-26 13-52-32 UTC;165928;3883680;95.90;458688;1906804;3944552;47.86;2200108;1318824
salmon;1;2014-05-26 13-52-33 UTC;166904;3882704;95.88;458688;1906116;3944552;47.86;2201208;1317072
salmon;1;2014-05-26 13-52-34 UTC;165772;3883836;95.91;458688;1906744;3944552;47.86;2201580;1317448
salmon;1;2014-05-26 13-52-35 UTC;167632;3881976;95.86;458688;1903832;3944552;47.86;2201820;1314612
salmon;1;2014-05-26 13-52-36 UTC;168004;3881604;95.85;458688;1903832;3944552;47.86;2201784;1314640
salmon;1;2014-05-26 13-52-37 UTC;165496;3884112;95.91;458688;1906760;3944552;47.86;2201844;1317336
salmon;1;2014-05-26 13-52-38 UTC;167124;3882484;95.87;458688;1904820;3944552;47.86;2201752;1315448
salmon;1;2014-05-26 13-52-39 UTC;164024;3885584;95.95;458688;1908820;3944552;47.86;2201820;1319212
salmon;1;2014-05-26 13-52-40 UTC;167744;3881864;95.86;458688;1904256;3944552;47.86;2201768;1314688
salmon;1;2014-05-26 13-52-41 UTC;163016;3886592;95.97;458688;1909236;3944552;47.86;2201876;1319768
salmon;1;2014-05-26 13-52-42 UTC;164412;3885196;95.94;458688;1908484;3944552;47.86;2201932;1318904
salmon;1;2014-05-26 13-52-43 UTC;167264;3882344;95.87;458688;1903872;3945716;47.87;2202044;1314740
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 13-52-49 UTC;269004;3780604;93.36;458744;1902372;3848300;46.69;2119856;1293332
salmon;1;2014-05-26 13-52-50 UTC;253208;3796400;93.75;458744;1915456;3867552;46.93;2147240;1281292
salmon;1;2014-05-26 13-52-51 UTC;241752;3807856;94.03;458764;1907704;3916892;47.52;2166668;1273604
salmon;1;2014-05-26 13-52-52 UTC;241324;3808284;94.04;458764;1904196;3923676;47.61;2170124;1269988
salmon;1;2014-05-26 13-52-53 UTC;219976;3829632;94.57;458764;1913056;3933644;47.73;2182796;1278868
salmon;1;2014-05-26 13-52-54 UTC;231924;3817684;94.27;458764;1904688;3940684;47.81;2179272;1270428
salmon;1;2014-05-26 13-52-55 UTC;227980;3821628;94.37;458768;1909628;3940684;47.81;2179204;1275140
salmon;1;2014-05-26 13-52-56 UTC;231948;3817660;94.27;458768;1904724;3940684;47.81;2179008;1270944
salmon;1;2014-05-26 13-52-57 UTC;220020;3829588;94.57;458768;1904624;3953288;47.97;2191188;1270664
salmon;1;2014-05-26 13-52-58 UTC;203032;3846576;94.99;458768;1912940;3961876;48.07;2199548;1278568
salmon;1;2014-05-26 13-52-59 UTC;204384;3845224;94.95;458768;1912148;3962116;48.07;2199564;1277960
salmon;1;2014-05-26 13-53-00 UTC;207724;3841884;94.87;458772;1908404;3962412;48.08;2199908;1274408
salmon;1;2014-05-26 13-53-01 UTC;208452;3841156;94.85;458772;1907732;3962412;48.08;2200004;1273652
salmon;1;2014-05-26 13-53-02 UTC;205352;3844256;94.93;458772;1910280;3962412;48.08;2199976;1275832
salmon;1;2014-05-26 13-53-03 UTC;207708;3841900;94.87;458772;1908252;3962412;48.08;2199972;1273848
salmon;1;2014-05-26 13-53-04 UTC;208080;3841528;94.86;458772;1907784;3962412;48.08;2199992;1273504
salmon;1;2014-05-26 13-53-05 UTC;209940;3839668;94.82;458772;1905844;3962412;48.08;2199984;1271416
salmon;1;2014-05-26 13-53-06 UTC;207592;3842016;94.87;458776;1907872;3962412;48.08;2199972;1273712
salmon;1;2014-05-26 13-53-07 UTC;205484;3844124;94.93;458780;1910328;3962680;48.08;2200216;1276016
salmon;1;2014-05-26 13-53-08 UTC;208064;3841544;94.86;458780;1907504;3964564;48.10;2200872;1273040
