# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-34-48 UTC;-1;10.28;0.00;83.96;0.00;0.00;5.76
salmon;1;2014-05-26 19-34-49 UTC;-1;19.90;0.00;80.10;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-50 UTC;-1;10.00;0.00;90.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-51 UTC;-1;14.21;0.00;85.79;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-52 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-53 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-54 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-55 UTC;-1;5.24;0.00;94.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-56 UTC;-1;10.28;0.00;89.72;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-57 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-58 UTC;-1;8.25;0.00;91.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-34-59 UTC;-1;3.51;0.00;96.49;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-00 UTC;-1;7.23;0.00;92.77;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-01 UTC;-1;7.50;0.00;92.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-02 UTC;-1;2.75;0.00;97.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-03 UTC;-1;4.50;0.00;95.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-04 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-05 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-06 UTC;-1;5.75;0.00;94.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-07 UTC;-1;9.77;0.00;90.23;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 19-35-13 UTC;-1;7.07;0.00;87.88;0.00;0.00;5.05
salmon;1;2014-05-26 19-35-14 UTC;-1;11.22;0.00;88.53;0.00;0.00;0.25
salmon;1;2014-05-26 19-35-15 UTC;-1;8.73;0.00;91.27;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-16 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-17 UTC;-1;9.00;0.00;91.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-18 UTC;-1;5.74;0.00;94.26;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-19 UTC;-1;3.26;0.00;96.74;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-20 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-21 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-22 UTC;-1;6.50;0.00;93.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-23 UTC;-1;7.75;0.00;92.25;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-24 UTC;-1;6.00;0.00;94.00;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-25 UTC;-1;6.25;0.00;93.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-26 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-27 UTC;-1;0.25;0.00;99.75;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-28 UTC;-1;4.02;0.00;95.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-29 UTC;-1;3.24;0.00;96.76;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-30 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-31 UTC;-1;6.02;0.00;93.98;0.00;0.00;0.00
salmon;1;2014-05-26 19-35-32 UTC;-1;4.99;0.00;95.01;0.00;0.00;0.00
