# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-34-48 UTC;420412;3629196;89.62;354360;1813184;3823340;46.39;2034944;1224440
salmon;1;2014-05-26 19-34-49 UTC;373716;3675892;90.77;354360;1813176;3870172;46.96;2097824;1207124
salmon;1;2014-05-26 19-34-50 UTC;351256;3698352;91.33;354360;1815288;3890112;47.20;2126484;1201276
salmon;1;2014-05-26 19-34-51 UTC;340832;3708776;91.58;354360;1815932;3899996;47.32;2136712;1201452
salmon;1;2014-05-26 19-34-52 UTC;342800;3706808;91.53;354368;1813456;3899996;47.32;2136912;1199188
salmon;1;2014-05-26 19-34-53 UTC;340092;3709516;91.60;354368;1815608;3907440;47.41;2136408;1200984
salmon;1;2014-05-26 19-34-54 UTC;342224;3707384;91.55;354368;1813752;3907440;47.41;2136640;1198852
salmon;1;2014-05-26 19-34-55 UTC;331980;3717628;91.80;354368;1820892;3911920;47.46;2141420;1205508
salmon;1;2014-05-26 19-34-56 UTC;316960;3732648;92.17;354368;1813724;3932736;47.72;2162388;1198020
salmon;1;2014-05-26 19-34-57 UTC;317440;3732168;92.16;354368;1813388;3932736;47.72;2162632;1197828
salmon;1;2014-05-26 19-34-58 UTC;276432;3773176;93.17;354368;1813532;3979732;48.29;2203616;1197760
salmon;1;2014-05-26 19-34-59 UTC;307680;3741928;92.40;354368;1813480;3942064;47.83;2172208;1197776
salmon;1;2014-05-26 19-35-00 UTC;306640;3742968;92.43;354368;1814996;3942068;47.83;2172300;1198660
salmon;1;2014-05-26 19-35-01 UTC;268944;3780664;93.36;354368;1815048;3979696;48.29;2210144;1198772
salmon;1;2014-05-26 19-35-02 UTC;268556;3781052;93.37;354368;1815488;3979696;48.29;2210396;1198448
salmon;1;2014-05-26 19-35-03 UTC;263084;3786524;93.50;354372;1821084;3979696;48.29;2210776;1203792
salmon;1;2014-05-26 19-35-04 UTC;264792;3784816;93.46;354372;1819484;3979696;48.29;2210812;1202136
salmon;1;2014-05-26 19-35-05 UTC;266808;3782800;93.41;354372;1817492;3979696;48.29;2211140;1200188
salmon;1;2014-05-26 19-35-06 UTC;262988;3786620;93.51;354372;1821372;3979696;48.29;2211240;1203808
salmon;1;2014-05-26 19-35-07 UTC;268580;3781028;93.37;354372;1814668;4005328;48.60;2211496;1196868
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 19-35-13 UTC;408100;3641508;89.92;354396;1815192;3820488;46.35;2051956;1214676
salmon;1;2014-05-26 19-35-14 UTC;391536;3658072;90.33;354396;1826060;3833544;46.51;2073668;1208204
salmon;1;2014-05-26 19-35-15 UTC;368300;3681308;90.91;354400;1815368;3869728;46.95;2109456;1196376
salmon;1;2014-05-26 19-35-16 UTC;336888;3712720;91.68;354400;1815040;3898516;47.30;2140324;1196212
salmon;1;2014-05-26 19-35-17 UTC;318768;3730840;92.13;354408;1823544;3908948;47.43;2150652;1204040
salmon;1;2014-05-26 19-35-18 UTC;323356;3726252;92.02;354408;1817876;3909604;47.44;2151552;1198432
salmon;1;2014-05-26 19-35-19 UTC;326260;3723348;91.94;354408;1815568;3941624;47.82;2150884;1196168
salmon;1;2014-05-26 19-35-20 UTC;316744;3732864;92.18;354408;1825620;3941624;47.82;2151228;1205616
salmon;1;2014-05-26 19-35-21 UTC;317116;3732492;92.17;354408;1821364;3945860;47.88;2155424;1201444
salmon;1;2014-05-26 19-35-22 UTC;316744;3732864;92.18;354408;1818308;3948368;47.91;2158052;1198648
salmon;1;2014-05-26 19-35-23 UTC;313504;3736104;92.26;354412;1822092;3948368;47.91;2158228;1202016
salmon;1;2014-05-26 19-35-24 UTC;308612;3740996;92.38;354412;1818544;3957136;48.01;2166768;1198604
salmon;1;2014-05-26 19-35-25 UTC;309552;3740056;92.36;354412;1817476;3957136;48.01;2167084;1197736
salmon;1;2014-05-26 19-35-26 UTC;307536;3742072;92.41;354412;1818412;3957136;48.01;2166904;1198552
salmon;1;2014-05-26 19-35-27 UTC;309984;3739624;92.35;354412;1815968;3957136;48.01;2166844;1195940
salmon;1;2014-05-26 19-35-28 UTC;310488;3739120;92.33;354412;1816580;3957136;48.01;2166896;1196384
salmon;1;2014-05-26 19-35-29 UTC;303048;3746560;92.52;354412;1823244;3957136;48.01;2167160;1202996
salmon;1;2014-05-26 19-35-30 UTC;304412;3745196;92.48;354416;1821952;3957136;48.01;2167184;1201396
salmon;1;2014-05-26 19-35-31 UTC;307512;3742096;92.41;354416;1819316;3957136;48.01;2167276;1199048
salmon;1;2014-05-26 19-35-32 UTC;307620;3741988;92.40;354416;1818592;3958488;48.03;2167520;1198296
