# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-00-30 UTC;-1;11.56;0.00;82.66;0.00;0.00;5.78
salmon;1;2014-05-26 20-00-31 UTC;-1;6.27;0.00;93.73;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-32 UTC;-1;6.73;0.00;93.27;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-33 UTC;-1;2.50;0.00;97.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-34 UTC;-1;2.26;0.00;97.74;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-35 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-36 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-37 UTC;-1;3.99;0.00;96.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-38 UTC;-1;4.77;0.00;95.23;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-39 UTC;-1;9.75;0.00;90.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-40 UTC;-1;7.48;0.00;92.52;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-41 UTC;-1;1.50;0.00;98.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-42 UTC;-1;7.54;0.00;92.46;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-43 UTC;-1;3.23;0.00;96.77;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-44 UTC;-1;3.77;0.00;96.23;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-45 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-46 UTC;-1;3.25;0.00;96.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-47 UTC;-1;2.99;0.00;97.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-48 UTC;-1;5.51;0.00;94.49;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-49 UTC;-1;2.24;0.00;97.76;0.00;0.00;0.00
# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
salmon;1;2014-05-26 20-00-56 UTC;-1;10.05;0.00;84.17;0.25;0.00;5.53
salmon;1;2014-05-26 20-00-57 UTC;-1;9.50;0.00;90.50;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-58 UTC;-1;4.98;0.00;95.02;0.00;0.00;0.00
salmon;1;2014-05-26 20-00-59 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-00 UTC;-1;3.01;0.00;96.99;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-01 UTC;-1;2.74;0.00;97.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-02 UTC;-1;1.25;0.00;98.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-03 UTC;-1;3.00;0.00;97.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-04 UTC;-1;4.00;0.00;96.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-05 UTC;-1;3.00;0.00;96.75;0.25;0.00;0.00
salmon;1;2014-05-26 20-01-06 UTC;-1;4.74;0.00;95.26;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-07 UTC;-1;1.75;0.00;98.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-08 UTC;-1;5.25;0.00;94.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-09 UTC;-1;4.75;0.00;95.25;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-10 UTC;-1;4.25;0.00;95.75;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-11 UTC;-1;4.99;0.00;95.01;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-12 UTC;-1;16.00;0.00;84.00;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-13 UTC;-1;11.78;0.00;88.22;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-14 UTC;-1;10.97;0.00;89.03;0.00;0.00;0.00
salmon;1;2014-05-26 20-01-15 UTC;-1;13.03;0.00;86.97;0.00;0.00;0.00
